Id	status	lable	lable_zh_TW	lable_en_UK	lable_ja_JP	lable_ko_KR	lable_th_TH
int	int	int	int	int	int	int	int
1	1	通用	通用	General	通常	공용	ทั่วไป
2	1	破灭伤害	破滅傷害	Dire DMG	弱体特攻ダメージ	파멸 대미지	ดาเมจทำลายล้าง
3	1	诅咒	詛咒	Curse	呪詛	저주	คำสาป
4	1	毒	毒	Poison	毒	독	พิษ
5	1	浴血	浴血	Blood Rage	血浴び	피의 목욕	อาบเลือด
6	1	通缉	通緝	Warrant	指名手配	지명 수배	หมายจับ
7	1	能量掌控	能量掌控	Energy Matery	エナジーコントロール	에너지 컨트롤	การคุมพลังงาน
8	1	增益	增益	Buff	バフ	버프	บัฟ
9	1	群体	群體	AoE		광역	ดาเมจหมู่
10	1	蓄势	蓄勢	Energy Build-up	蓄勢	차지	สะสมพลัง
11	1	反击	反擊	Counterstrike	カウンター	카운터	โต้กลับ
12	1	伤害传递	傷害傳遞	Transferal	とばっちり	대미지 공유	ถ่ายทอดดาเมจ
