id	region	levelID	score	increase_type	increase_num	status
int	int	int	int	int	int	int
1	1,2,3,4,5,6	1	200	1,2,3,4	0.1,0.3,0.5,0.5	1
2	1,2,3,4,5,6	2	250	1,2,3,4	0.1,0.3,0.5,0.5	1
3	1,2,3,4,5,6	3	300	1,2,3,4	0.1,0.3,0.5,0.5	1
4	1,2,3,4,5,6	4	400	1,2,3,4	0.1,0.3,0.5,0.5	1
5	1,2,3,4,5,6	5	550	1,2,3,4	0.1,0.3,0.5,0.5	1
6	1,2,3,4,5,6	6	400	1,2,3,4	0.1,0.3,0.5,0.5	1
7	1,2,3,4,5,6	7	450	1,2,3,4	0.1,0.3,0.5,0.5	1
8	1,2,3,4,5,6	8	500	1,2,3,4	0.1,0.3,0.5,0.5	1
9	1,2,3,4,5,6	9	700	1,2,3,4	0.1,0.3,0.5,0.5	1
10	1,2,3,4,5,6	10	800	1,2,3,4	0.1,0.3,0.5,0.5	1
11	1,2,3,4,5,6	11	600	1,2,3,4	0.1,0.3,0.5,0.5	1
12	1,2,3,4,5,6	12	650	1,2,3,4	0.1,0.3,0.5,0.5	1
13	1,2,3,4,5,6	13	800	1,2,3,4	0.1,0.3,0.5,0.5	1
14	1,2,3,4,5,6	14	900	1,2,3,4	0.1,0.3,0.5,0.5	1
15	1,2,3,4,5,6	15	1260	1,2,3,4	0.1,0.3,0.5,0.5	1
16	1,2,3,4,5,6	16	800	1,2,3,4	0.1,0.3,0.5,0.5	1
17	1,2,3,4,5,6	17	900	1,2,3,4	0.1,0.3,0.5,0.5	1
18	1,2,3,4,5,6	18	1000	1,2,3,4	0.1,0.3,0.5,0.5	1
19	1,2,3,4,5,6	19	1200	1,2,3,4	0.1,0.3,0.5,0.5	1
20	1,2,3,4,5,6	20	4000	1,2,3,4	0.1,0.3,0.5,0.5	1
