id	region	assistId	cardSkin	starCoefficient	star	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int
12179165	1	162008	16200899		3	1						
12179166	1	149008	14900899		3	1						
12179167	1	163008	16300899		3	1						
12179168	1	132008	13200899		3	1						
12179169	1	141008	14100899		3	1						
12179170	1	101002	10100299		3	1						
12179171	1	136008	13600899		3	1						
12179172	1	133008	13300899		3	1						
12179173	2	103021	10302199		3	1						
12179174	2	114008	11400899		3	1						
12179175	2	136008	13600899		3	1						
12179176	2	141008	14100899		3	1						
12179177	2	114008	11400899		3	1						
12179178	2	803008	80300899		3	1						
12179179	2	802008	80200899		3	1						
12179180	2	127001	12700199		3	1						
12179181	3	123008	12300899		3	1						
12179182	3	119008	11900899		3	1						
12179183	3	125008	12500899		3	1						
12179184	3	138008	13800899		3	1						
12179185	3	141008	14100899		3	1						
12179186	3	122008	12200899		3	1						
12179187	3	136008	13600899		3	1						
12179188	3	133008	13300899		3	1						
12179189	1	163008	16300899		3	1						
12179190	1	132008	13200899		3	1						
12179191	1	166008	16600899		3	1						
12179192	1	101002	10100299		3	1						
12179193	2	155008	15500899		3	1						
12179194	2	145008	14500899		3	1						
12179195	2	164008	16400899		3	1						
12179196	2	161008	16100899		3	1						
12179197	3	135002	13500299		3	1						
12179198	3	144002	14400299		3	1						
12179199	3	102018	10201899		3	1						
12179200	3	165008	16500899		3	1						
