id	region	floor	monster_level	monsterLowUp	monsterMidUp	monsterBossUp	monsterHardBossUp	rewardUp	status
int	int	int	int	int	int	int	int	int	int
1	1	1	400	1,0.72;2,1;3,0.6664	1,0.72;2,1;3,0.77	1,0.8;2,1;3,1	1,0.8;2,1;3,1	0	1
2	1	2	405	1,0.77;2,0.99;3,0.7	1,0.77;2,0.99;3,1.24	1,0.85;2,0.99;3,1.606	1,0.85;2,0.99;3,1.606	0.1	1
3	1	3	410	1,0.8;2,0.98;3,0.8	1,0.8;2,0.98;3,1.36	1,0.89;2,0.98;3,1.771	1,0.89;2,0.98;3,1.771	0.12	1
4	1	4	415	1,0.85;2,0.96;3,0.9	1,0.85;2,0.96;3,1.64	1,0.94;2,0.96;3,2.124	1,0.94;2,0.96;3,2.124	0.14	1
5	1	5	421	1,0.9;2,0.95;3,1.4	1,0.9;2,0.95;3,2.2	1,1;2,0.95;3,2.496	1,1;2,0.95;3,2.496	0	1
6	1	6	426	1,0.95;2,0.94;3,1.61	1,0.95;2,0.94;3,2.52	1,1.05;2,0.94;3,2.868	1,1.05;2,0.94;3,2.868	0.18	1
7	1	7	431	1,0.99;2,0.93;3,2.02	1,0.99;2,0.93;3,3.18	1,1.1;2,0.93;3,3.612	1,1.1;2,0.93;3,3.612	0.2	1
8	1	8	436	1,1.04;2,0.92;3,2.4	1,1.04;2,0.92;3,3.77	1,1.16;2,0.92;3,4.284	1,1.16;2,0.92;3,4.284	0.22	1
9	1	9	442	1,1.1;2,0.91;3,2.69	1,1.1;2,0.91;3,4.23	1,1.22;2,0.91;3,4.802	1,1.22;2,0.91;3,4.802	0.24	1
10	1	10	447	1,1.14;2,0.9;3,4.17	1,1.14;2,0.9;3,6.55	1,1.27;2,0.9;3,7.008	1,1.27;2,0.9;3,7.008	0	1
11	1	11	452	1,1.21;2,0.89;3,5.51	1,1.21;2,0.89;3,8.66	1,1.34;2,0.89;3,9.264	1,1.34;2,0.89;3,9.264	0.28	1
12	1	12	457	1,1.26;2,0.88;3,7.26	1,1.26;2,0.88;3,11.41	1,1.4;2,0.88;3,12.208	1,1.4;2,0.88;3,12.208	0.3	1
13	1	13	463	1,1.31;2,0.86;3,8.79	1,1.31;2,0.86;3,13.82	1,1.46;2,0.86;3,14.778	1,1.46;2,0.86;3,14.778	0.32	1
14	1	14	468	1,1.38;2,0.86;3,9.78	1,1.38;2,0.86;3,15.37	1,1.53;2,0.86;3,16.434	1,1.53;2,0.86;3,16.434	0.34	1
15	1	15	473	1,1.44;2,0.85;3,11.45	1,1.44;2,0.85;3,18	1,1.6;2,0.85;3,18.18	1,1.6;2,0.85;3,18.18	0	1
16	1	16	478	1,1.5;2,0.84;3,14.44	1,1.5;2,0.84;3,22.69	1,1.67;2,0.84;3,20.628	1,1.67;2,0.84;3,20.628	0.38	1
17	1	17	484	1,1.57;2,0.83;3,15.41	1,1.57;2,0.83;3,24.22	1,1.74;2,0.83;3,23.237	1,1.74;2,0.83;3,23.237	0.4	1
18	1	18	489	1,1.63;2,0.82;3,16.87	1,1.63;2,0.82;3,26.51	1,1.81;2,0.82;3,25.441	1,1.81;2,0.82;3,25.441	0.42	1
19	1	19	494	1,1.7;2,0.81;3,18.41	1,1.7;2,0.81;3,28.93	1,1.89;2,0.81;3,29.22	1,1.89;2,0.81;3,29.22	0.44	1
20	1	20	490	1,1.77;2,0.83;3,25.3	1,1.77;2,0.83;3,39.75	1,1.97;2,0.83;3,36.806	1,1.97;2,0.83;3,36.806	0	1
21	2	1	400	1,0.72;2,1;3,0.77	1,0.72;2,1;3,0.85	1,0.8;2,1;3,1.1	1,0.8;2,1;3,1.1	0	1
22	2	2	405	1,0.76;2,0.99;3,0.9009	1,0.76;2,0.99;3,0.99	1,0.84;2,0.99;3,1.287	1,0.84;2,0.99;3,1.287	0.1	1
23	2	3	410	1,0.78;2,0.98;3,1.0318	1,0.78;2,0.98;3,1.13	1,0.87;2,0.98;3,1.474	1,0.87;2,0.98;3,1.474	0.12	1
24	2	4	415	1,0.82;2,0.96;3,1.1704	1,0.82;2,0.96;3,1.29	1,0.91;2,0.96;3,1.672	1,0.91;2,0.96;3,1.672	0.14	1
25	2	5	421	1,0.86;2,0.95;3,1.54	1,0.86;2,0.95;3,1.69	1,0.96;2,0.95;3,1.925	1,0.96;2,0.95;3,1.925	0	1
26	2	6	426	1,0.9;2,0.94;3,1.936	1,0.9;2,0.94;3,2.13	1,1;2,0.94;3,2.42	1,1;2,0.94;3,2.42	0.18	1
27	2	7	431	1,0.94;2,0.93;3,2.6312	1,0.94;2,0.93;3,2.89	1,1.04;2,0.93;3,3.289	1,1.04;2,0.93;3,3.289	0.2	1
28	2	8	436	1,0.98;2,0.92;3,3.0008	1,0.98;2,0.92;3,3.3	1,1.09;2,0.92;3,3.751	1,1.09;2,0.92;3,3.751	0.22	1
29	2	9	442	1,1.03;2,0.91;3,3.432	1,1.03;2,0.91;3,3.78	1,1.14;2,0.91;3,4.29	1,1.14;2,0.91;3,4.29	0.24	1
30	2	10	447	1,1.07;2,0.9;3,4.5628	1,1.07;2,0.9;3,5.02	1,1.19;2,0.9;3,5.368	1,1.19;2,0.9;3,5.368	0	1
31	2	11	452	1,1.13;2,0.89;3,5.41365	1,1.13;2,0.89;3,5.96	1,1.25;2,0.89;3,6.369	1,1.25;2,0.89;3,6.369	0.28	1
32	2	12	457	1,1.17;2,0.88;3,6.68525	1,1.17;2,0.88;3,7.35	1,1.3;2,0.88;3,7.865	1,1.3;2,0.88;3,7.865	0.3	1
33	2	13	463	1,1.22;2,0.87;3,7.1434	1,1.22;2,0.87;3,7.86	1,1.36;2,0.87;3,8.404	1,1.36;2,0.87;3,8.404	0.32	1
