id	effectType	effectNum	targetType	targetNum	quality	showType	effectiveTime	photoId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12178001	1	0.5	1	1	3	921	0	32:maze_item_icon_1009	1	情绪助剂I型	情緒助劑I型	Pathos Booster Type I	エモーショナルエイドⅠ	이모션 보조제I	สารกระตุ้นพาโธสรุ่น I	使目标战斗员恢复生命50%	使目標戰鬥員恢復生命50%	Restores 50% HP to a target combatant.	対象とする戦闘員のHPを50%回復する	목표 전투원 HP 50% 회복	ฟื้นฟู​ HP​ ให้​ตัวละคร​ 50%​
12178002	1	1	1	1	4	921	0	32:maze_item_icon_1010	1	情绪助剂II型	情緒助劑II型	Pathos Booster Type II	エモーショナルエイドⅡ	이모션 보조제II	สาร​กระตุ้น​พา​โธส​รุ่น​ II​	使目标战斗员恢复生命100%	使目標戰鬥員恢復生命100%	Restores 100% HP to a target combatant.	対象とする戦闘員のHPを100%回復する	목표 전투원 HP 100% 회복	ฟื้นฟู​ HP​ ให้​ตัวละคร​เป้าหมาย​ 100%​
12178003	6	1	1	1	3	921	0	32:maze_item_icon_1031	1	模拟聚变核心I型	模擬聚變核心I型	Simulated Fusion Core I	模擬融合核心Ⅰ	시뮬레이션 코어I	แกนหลักจำลองรุ่น I	提升指定战斗员星级1星	提升指定戰鬥員星級1星	Upgrades a specified Combatant by 1★.	指定戦闘員の★数＋1。	지정한 전투원의 별 등급을 1★까지 올린다	เพิ่ม​ระดับ​ดาว​ตัวละคร​ที่​กำหนด​ขึ้น​ 1★​
12178004	6	2	1	1	4	921	0	32:maze_item_icon_1032	1	模拟聚变核心II型	模擬聚變核心II型	Simulated Fusion Core II	模擬融合核心Ⅱ	시뮬레이션 코어II	แกนหลักจำลองรุ่น II	提升指定战斗员星级2星	提升指定戰鬥員星級2星	Upgrades a specified Combatant by 2★.	指定戦闘員の★数＋2。	지정한 전투원의 별 등급을 2★까지 올린다	เพิ่ม​ระดับ​ดาว​ตัวละคร​ที่​กำหนด​ขึ้น​ 2★​
12178005	6	3	1	1	5	921	0	32:maze_item_icon_1033	1	模拟聚变核心Ⅲ型	模擬聚變核心Ⅲ型	Simulated Fusion Core III	模擬融合核心Ⅲ	시뮬레이션 코어Ⅲ	แกนหลักจำลองรุ่น III	提升指定战斗员星级3星	提升指定戰鬥員星級3星	Upgrades a specified Combatant by 3★.	指定戦闘員の★数＋3。	지정한 전투원의 별 등급을 3★까지 올린다	เพิ่ม​ระดับ​ดาว​ตัวละคร​ที่​กำหนด​ขึ้น​ 3★​
12178006	2	0.5	1	1	4	921	0	32:maze_item_icon_1019	1	浓缩喷雾I型	濃縮噴霧I型	Condensed Spray I	濃縮スプレーⅠ	농축 스프레이I	สเปรย์เข้มข้นรุ่น I	复活指定战斗员并回复50%生命值	復活指定戰鬥員並回復50%生命值	Revives a specified Combatant and restores 50% HP.	指定戦闘員を復活させ、最大HPの50%まで回復する。	지정한 전투원을 부활하고, HP를 50%까지 회복한다	คืนชีพ​ให้​กับ​ตัวละคร​ที่​กำหนด​และ​ฟื้นฟู​ HP​ 50%​ 
12178007	2	1	1	1	5	921	0	32:maze_item_icon_1020	1	浓缩喷雾II型	濃縮噴霧II型	Condensed Spray II	濃縮スプレーⅡ	농축 스프레이II	สเปรย์เข้มข้นรุ่น II	复活指定战斗员并回复100%生命值	復活指定戰鬥員並回復100%生命值	Revives a specified Combatant and restores 100% HP.	指定戦闘員を復活させ、最大HPの100%まで回復する。	지정한 전투원을 부활하고, HP를 100%까지 회복한다	คืนชีพ​ให้​กับ​ตัวละคร​ที่​กำหนด​และ​ฟื้นฟู​ HP​ 100%​ 
12178008	3	1	3	1	3	921	0	32:maze_item_icon_1011	1	舒缓剂	舒緩劑	Soothing Agent	鎮静剤	이완제	สารผ่อนคลาย	随机清除诅咒1个	隨機清除詛咒1個	Removes 1 random Curse.	ランダムで呪詛を1つ解除する	저주를 1개 제거한다	สุ่ม​ลบล้าง​คำสาป​ 1​ อย่าง​
12178009	3	2	3	2	4	921	0	32:maze_item_icon_1012	1	舒缓喷雾	舒緩噴霧	Soothing Spray	鎮静スプレー	이완 스프레이	สเปรย์ผ่อนคลาย	随机清除诅咒2个	隨機清除詛咒2個	Removes 2 random Curses.	ランダムで呪詛を2つ解除する	저주를 2개 제거한다	สุ่ม​ลบล้าง​คำสาป​ 2​ อย่าง​
