id	type	region	SceneId	monster_id	levelId	rounds	RewardId	battleRules	powerRatioTeamID	status
int	int	int	int	int	int	int	int	int	int	int
12171111	1	1	15301	12171111	0	10	12171101	13	0	1
12171112	1	1	15301	12171112	0	10	12171102	13	0	1
12171113	1	1	15301	12171113	0	10	12171103	13	0	1
12171114	1	1	15301	12171114	0	10	12171104	13	0	1
12171115	1	1	15301	12171115	0	10	12171105	13	0	1
12171116	1	1	15301	12171116	0	10	12171106	13	0	1
12171117	1	1	15301	12171117	0	10	12171107	13	0	1
12171118	1	1	15301	12171118	0	10	12171108	13	0	1
12171119	1	1	15301	12171119	0	10	12171109	13	0	1
12171120	1	1	15301	12171120	0	10	12171110	13	0	1
12171121	2	1	14802	12171121	0	10	12171201	13	0	1
12171122	2	1	14802	12171122	0	10	12171202	13	0	1
12171123	2	1	14802	12171123	0	10	12171203	13	0	1
12171124	2	1	14802	12171124	0	10	12171204	13	0	1
12171125	2	1	14802	12171125	0	10	12171205	13	0	1
12171126	2	1	14802	12171126	0	10	12171206	13	0	1
12171127	2	1	14802	12171127	0	10	12171207	13	0	1
12171128	2	1	14802	12171128	0	10	12171208	13	0	1
12171129	2	1	14802	12171129	0	10	12171209	13	0	1
12171130	2	1	14802	12171130	0	10	12171210	13	0	1
12171131	3	1	16401	12171131	5	15	12171301	13	0	1
12171132	3	1	16401	12171132	10	15	12171302	13	0	1
12171133	3	1	16401	12171133	15	15	12171303	13	0	1
12171134	4	1	16401	12171134	20	15	12171401	13	0	1
12172111	1	2	12202	12172111	0	10	12172101	13	0	1
12172112	1	2	12202	12172112	0	10	12172102	13	0	1
12172113	1	2	12202	12172113	0	10	12172103	13	0	1
12172114	1	2	12202	12172114	0	10	12172104	13	0	1
12172115	1	2	12202	12172115	0	10	12172105	13	0	1
12172116	1	2	12202	12172116	0	10	12172106	13	0	1
12172117	1	2	12202	12172117	0	10	12172107	13	0	1
12172118	1	2	12202	12172118	0	10	12172108	13	0	1
12172119	1	2	12202	12172119	0	10	12172109	13	0	1
12172120	1	2	12202	12172120	0	10	12172110	13	0	1
12172121	2	2	12101	12172121	0	10	12172201	13	0	1
12172122	2	2	12101	12172122	0	10	12172202	13	0	1
12172123	2	2	12101	12172123	0	10	12172203	13	0	1
12172124	2	2	12101	12172124	0	10	12172204	13	0	1
12172125	2	2	12101	12172125	0	10	12172205	13	0	1
12172126	2	2	12101	12172126	0	10	12172206	13	0	1
12172127	2	2	12101	12172127	0	10	12172207	13	0	1
12172128	2	2	12101	12172128	0	10	12172208	13	0	1
12172129	2	2	12101	12172129	0	10	12172209	13	0	1
12172130	2	2	12101	12172130	0	10	12172210	13	0	1
12172131	3	2	12001	12172131	5	15	12172301	13	0	1
12172132	3	2	12001	12172132	10	15	12172302	13	0	1
12172133	3	2	12001	12172133	15	15	12172303	13	0	1
12172134	4	2	12001	12172134	20	15	12172401	13	0	1
12173111	1	3	13201	12173111	0	10	12173101	13	0	1
12173112	1	3	13201	12173112	0	10	12173102	13	0	1
12173113	1	3	13201	12173113	0	10	12173103	13	0	1
12173114	1	3	13201	12173114	0	10	12173104	13	0	1
12173115	1	3	13201	12173115	0	10	12173105	13	0	1
12173116	1	3	13201	12173116	0	10	12173106	13	0	1
12173117	1	3	13201	12173117	0	10	12173107	13	0	1
12173118	1	3	13201	12173118	0	10	12173108	13	0	1
12173119	1	3	13201	12173119	0	10	12173109	13	0	1
12173120	1	3	13201	12173120	0	10	12173110	13	0	1
12173121	2	3	13402	12173121	0	10	12173201	13	0	1
12173122	2	3	13402	12173122	0	10	12173202	13	0	1
12173123	2	3	13402	12173123	0	10	12173203	13	0	1
12173124	2	3	13402	12173124	0	10	12173204	13	0	1
12173125	2	3	13402	12173125	0	10	12173205	13	0	1
12173126	2	3	13402	12173126	0	10	12173206	13	0	1
12173127	2	3	13402	12173127	0	10	12173207	13	0	1
12173128	2	3	13402	12173128	0	10	12173208	13	0	1
12173129	2	3	13402	12173129	0	10	12173209	13	0	1
12173130	2	3	13402	12173130	0	10	12173210	13	0	1
12173131	3	3	13301	12173131	5	15	12173301	13	0	1
12173132	3	3	13301	12173132	10	15	12173302	13	0	1
12173133	3	3	13301	12173133	15	15	12173303	13	0	1
12173134	4	3	13301	12173134	20	15	12173401	13	0	1
