id	region	levelID	rewardId	RewardsNum	rewardIcon	status
int	int	int	int	int	int	int
49	1	200	3000002;3000003	50;50000	6:goods_icon_5110002	1
50	1	800	3000002;3000003	50;100000	6:goods_icon_5110002	1
51	1	2000	4190001;3000003	500;150000	6:goods_icon_5110002	1
52	1	3500	3000002;3000003	100;200000	6:goods_icon_5110002	1
53	1	5500	4190004;3000003	200;250000	6:goods_icon_5110002	1
54	1	7800	3000002;3000003	100;300000	6:goods_icon_5110002	1
55	1	10600	4190001;3000003	1000;350000	6:goods_icon_5110002	1
56	1	17000	4190004;3000003	500;400000	6:goods_icon_5110002	1
57	2	200	3000002;3000003	50;50000	6:goods_icon_5110002	1
58	2	800	3000002;3000003	50;100000	6:goods_icon_5110002	1
59	2	2000	4190001;3000003	500;150000	6:goods_icon_5110002	1
60	2	3500	3000002;3000003	100;200000	6:goods_icon_5110002	1
61	2	5500	4190004;3000003	200;250000	6:goods_icon_5110002	1
62	2	7800	3000002;3000003	100;300000	6:goods_icon_5110002	1
63	2	10600	4190001;3000003	1000;350000	6:goods_icon_5110002	1
64	2	17000	4190004;3000003	500;400000	6:goods_icon_5110002	1
65	3	200	3000002;3000003	50;50000	6:goods_icon_5110002	1
66	3	800	3000002;3000003	50;100000	6:goods_icon_5110002	1
67	3	2000	4190001;3000003	500;150000	6:goods_icon_5110002	1
68	3	3500	3000002;3000003	100;200000	6:goods_icon_5110002	1
69	3	5500	4190004;3000003	200;250000	6:goods_icon_5110002	1
70	3	7800	3000002;3000003	100;300000	6:goods_icon_5110002	1
71	3	10600	4190001;3000003	1000;350000	6:goods_icon_5110002	1
72	3	17000	4190004;3000003	500;400000	6:goods_icon_5110002	1
73	4	200	3000002;3000003	50;50000	6:goods_icon_5110002	1
74	4	800	3000002;3000003	50;100000	6:goods_icon_5110002	1
75	4	2000	4190001;3000003	500;150000	6:goods_icon_5110002	1
76	4	3500	3000002;3000003	100;200000	6:goods_icon_5110002	1
77	4	5500	4190004;3000003	200;250000	6:goods_icon_5110002	1
78	4	7800	3000002;3000003	100;300000	6:goods_icon_5110002	1
79	4	10600	4190001;3000003	1000;350000	6:goods_icon_5110002	1
80	4	17000	4190004;3000003	500;400000	6:goods_icon_5110002	1
81	5	200	3000002;3000003	50;50000	6:goods_icon_5110002	1
82	5	800	3000002;3000003	50;100000	6:goods_icon_5110002	1
83	5	2000	4190001;3000003	500;150000	6:goods_icon_5110002	1
84	5	3500	3000002;3000003	100;200000	6:goods_icon_5110002	1
85	5	5500	4190004;3000003	200;250000	6:goods_icon_5110002	1
86	5	7800	3000002;3000003	100;300000	6:goods_icon_5110002	1
87	5	10600	4190001;3000003	1000;350000	6:goods_icon_5110002	1
88	5	17000	4190004;3000003	500;400000	6:goods_icon_5110002	1
89	6	200	3000002;3000003	50;50000	6:goods_icon_5110002	1
90	6	800	3000002;3000003	50;100000	6:goods_icon_5110002	1
91	6	2000	4190001;3000003	500;150000	6:goods_icon_5110002	1
92	6	3500	3000002;3000003	100;200000	6:goods_icon_5110002	1
93	6	5500	4190004;3000003	200;250000	6:goods_icon_5110002	1
94	6	7800	3000002;3000003	100;300000	6:goods_icon_5110002	1
95	6	10600	4190001;3000003	1000;350000	6:goods_icon_5110002	1
96	6	17000	4190004;3000003	500;400000	6:goods_icon_5110002	1
