id	storyId	groupId	people	headIcon	jumpId	choiceOneType	choiceOneId	choiceOneJumpId	type1	reward1	rewardNum1	choiceTwoType	choiceTwoId	choiceTwoJumpId	type2	reward2	rewardNum2	choiceThreeType	choiceThreeId	choiceThreeJumpId	type3	reward3	rewardNum3	chapterBg	end	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	choiceOne	choiceOne_zh_TW	choiceOne_en_UK	choiceOne_ja_JP	choiceOne_ko_KR	choiceOne_th_TH	choiceTwo	choiceTwo_zh_TW	choiceTwo_en_UK	choiceTwo_ja_JP	choiceTwo_ko_KR	choiceTwo_th_TH	choiceThree	choiceThree_zh_TW	choiceThree_en_UK	choiceThree_ja_JP	choiceThree_ko_KR	choiceThree_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1			2																			57:dialg_bg_200		1							<color=#d8d8d8>一只浑身乌黑的猫咪正立于路灯下。突然，它快步走到跟前，弓起背，用琥珀色的眼睛直勾勾地望着我们……</color>	<color=#d8d8d8>一隻渾身烏黑的貓咪正立於路燈下。突然，它快步走到跟前，弓起背，用琥珀色的眼睛直勾勾地望著我們……</color>	<color=#d8d8d8>A pitch-black cat stands beneath the flickering street lamp. Suddenly, it approaches us with swift steps, its back arched and amber eyes locked onto us...</color>	<color=#d8d8d8>街灯の下に漆黒の猫が佇んでいた。突然、足早にこちらに近づき、背中を丸めると、琥珀色の目で私たちをじっと見つめてきた……</color>	<color=#d8d8d8>검은 고양이가 가로등 아래에 서있다. 갑자기 그가 우리 쪽으로 빠르게 다가와 등을 곧게 펴고 호박색 눈으로 우리를 쳐다봤다...</color>	<color=#d8d8d8>แมวสีดำสนิทตัวหนึ่งยืนอยู่ใต้เสาไฟ ทันใดนั้นมันก็ก้าวเข้ามาอย่างรวดเร็ว โก่งหลังขึ้น และจ้องมองพวกเราด้วยดวงตาสีอำพัน...</color>​																		
2	1	2				1		3	5	3000023	500	1		5	4	12177904	1	1		7	2	0	0.3	57:dialg_bg_200		1							<color=#d8d8d8>一只浑身乌黑的猫咪正立于路灯下。突然，它快步走到跟前，弓起背，用琥珀色的眼睛直勾勾地望着我们……</color>	<color=#d8d8d8>一隻渾身烏黑的貓咪正立於路燈下。突然，它快步走到跟前，弓起背，用琥珀色的眼睛直勾勾地望著我們……</color>	<color=#d8d8d8>A pitch-black cat stands beneath the flickering street lamp. Suddenly, it approaches us with swift steps, its back arched and amber eyes locked onto us...</color>	<color=#d8d8d8>街灯の下に漆黒の猫が佇んでいた。突然、足早にこちらに近づき、背中を丸めると、琥珀色の目で私たちをじっと見つめてきた……</color>	<color=#d8d8d8>검은 고양이가 가로등 아래에 서있다. 갑자기 그가 우리 쪽으로 빠르게 다가와 등을 곧게 펴고 호박색 눈으로 우리를 쳐다봤다...</color>	<color=#d8d8d8>แมวสีดำสนิทตัวหนึ่งยืนอยู่ใต้เสาไฟ ทันใดนั้นมันก็ก้าวเข้ามาอย่างรวดเร็ว โก่งหลังขึ้น และจ้องมองพวกเราด้วยดวงตาสีอำพัน...</color>​	摸摸它	摸摸它	Give it a gentle pat.	撫でてみる	만져보기	ลูบหัวน้อง	「残忍」拒绝	「殘忍」拒絕	Reject it cruelly...	「非情」に断る	「잔인한」 거절	ปฏิเสธ​อย่าง​ [​โหดร้าย​]​	热情投喂	熱情投喂	Feed it friendly...	エサをやる	열정적인 먹이 주기	ป้อน​อาหาร​อย่าง​เป็นกันเอง​
3	1	3			4																			57:dialg_bg_200		1							「呜噜呜噜~」猫咪似乎感觉很舒服。很快，它便放松地朝我们露出肚皮。	「嗚嚕嗚嚕~」貓咪似乎感覺很舒服。很快，它便放鬆地朝我們露出肚皮。	The cat seems comfortable. Soon, it relaxes and shows its belly to us.	猫は「ゴロゴロ〜」と気持ちよさそうな声を立てていた。ほどなくして、すっかり無防備になりお腹を出してくれた。	「야옹야옹~」고양이는 기분이 좋은 것 같다. 곧이어 그는 우리에게 배를 드러내며 편안해하는 것 같다	[​ครึ่ด​ๆ​~]​ แมว​เหมือน​จะ​รู้สึก​สบายใจ​ มัน​นอนหงาย​โชว์​พุง​อย่าง​ผ่อนคลาย​ให้​เรา​เห็น​ใน​เวลา​ไม่​นาน​																		
4	1	4																						57:dialg_bg_200	1	1							唔……我有些忍不住了，伸手揉了揉它柔软的肚子，但不知为何，工作一天的疲惫感也渐渐消失了。	嗯……我有些忍不住了，伸手揉了揉它柔軟的肚子，但不知為何，工作一天的疲憊感也漸漸消失了。	Hmm... I can't resist. I reach out and give its belly a gentle stroke, feeling a strange sense of relaxation wash over me, as if the weariness of the day melts away.	うーん……ついに我慢できなくなって、その柔らかそうなお腹に手を伸ばしてしまった。するとなぜか、一日の疲れがすっかり取れたような気がした。	음... 나도 모르게 손으로 그 녀석의 부드러운 배를 쓰다듬었는데, 왠지 모르게 오늘 하루 쌓인 피로감도 사라졌다	ฉัน​อดใจ​ไม่​ไหว​ ยื่นมือ​ไป​ลูบ​พุง​นุ่มนิ่ม​ของ​มัน​ มัน​แปลก​มาก​ ความ​เหนื่อยล้า​จาก​การทำงาน​มา​ทั้งวัน​กลับ​ค่อยๆ​ หาย​ไป​																		
5	1	5			6																			57:dialg_bg_200		1							还是继续巡逻任务吧！不过那只猫咪一直跟着我们，保持不远不近的距离。	還是繼續巡邏任務吧！不過那只貓咪一直跟著我們，保持不遠不近的距離。	Let's continue with our patrol mission! However, the cat continues to follow us, maintaining a distance that is neither too close nor too far.	やはりパトロールを続けないと！ところがその猫はずっといい感じの距離で私たちの後をついていた。	계속 순찰하자! 그러나 그 고양이가 우리와 거리를 유지하며 따라오고 있었다	ถึง​เวลา​ต้อง​กลับ​ไป​ทำ​ภารกิจ​ลาดตระเวน​ต่อ​แล้ว​!​ แต่​เจ้า​แมว​ยังคง​เดินตาม​เรา​อยู่ห่างๆ​ ไม่ใกล้ไม่ไกล​																		
6	1	6																						57:dialg_bg_200	1	1							它突然坐下，发出轻微喵声，情绪粒子探测仪响起警鸣。大量傀化物从街巷阴暗的拐角不断涌出……	它突然坐下，發出輕微喵聲，情緒粒子探測儀響起警鳴。大量傀化物從街巷陰暗的拐角不斷湧出……	Suddenly, it sits down and emits a soft meow, causing the Pathos Particle Detector to sound an alarm. Tons of Anomalies keep flooding out from the dark alley corners...	猫が急に座り込んで、ニャーと小さく鳴いた。するとエモーション粒子探知機のブザーが鳴りだし、路地の暗い曲がり角から大量の傀が湧いてきた……	그 녀석이 갑자기 자리에 앉았고, 조그만 소리로 울었다. 이모션 파티클 탐지기 경보가 울렸다. 대량 퍼펫이 뒷골목 구석에서 계속 나왔다…	มัน​จู่​ ๆ​ ก็​นั่งลง​แล้ว​ส่งเสียง​ "​เหมียว​"​ เบา​ๆ​ เครื่อง​ตรวจจับ​อนุภาค​พา​โธส​ดัง​ขึ้น​กะทันหัน​ หุ่นเชิด​จำนวนมาก​เริ่ม​โผล่​ออก​มาจาก​มุมมืด​ของ​ตรอก​...​																		
7	1	7			8																			57:dialg_bg_200		1							没有猫咪能够抵御猫罐头的诱惑！猫咪大口享用后，轻轻蹭过我的手以示感谢。它似乎非常满意。	沒有貓咪能夠抵禦貓罐頭的誘惑！貓咪大口享用後，輕輕蹭過我的手以示感謝。它似乎非常滿意。	No cat can say no to canned cat food! After munching down, the cat gently brushes against my hand, expressing its gratitude. It seems pretty satisfying.	猫缶の誘惑を拒める猫はいない！ご馳走をむさぼってから手をすりすりしてくる様子からすると、かなり気に入ってくれたみたいだ。	어떤 고양이도 통조림의 유혹을 무시할 수 없다! 맛있게 먹은 고양이가 내 손을 스치며 고마움을 표시한다. 정말 만족한 것 같았다	ไม่​มี​แมว​ตัว​ไหน​ต้านทาน​เสน่ห์​ของ​ปลากระป๋อง​ได้​!​ หลังจาก​กิน​เสร็จ​ มัน​ถู​มือ​ฉัน​เบา​ๆ​ เป็นการ​ขอบคุณ​ ดูเหมือน​มัน​จะ​พอใจ​มาก​																		
8	1	8																						57:dialg_bg_200	1	1							一个黑色粒子态的猫爪印在掌心一闪而过，是我的错觉吗？	一個黑色粒子態的貓爪印在掌心一閃而過，是我的錯覺嗎？	A fleeting black particle-like cat paw print flashes across my palm. Was it just my imagination?	気のせいだろうか。手のひらに一瞬だけ黒い粒子状の猫の肉球が見えたような気がした。	블랙 파티클의 고양이 발톱 자국이 손바닥에 번쩍이고 지나갔다. 내 착각인가?	อุ้งเท้า​แมว​ดำ​ที่​เป็น​อนุภาค​ กะพริบ​หาย​ไป​บน​ฝ่ามือ​ของ​ฉัน​ หรือ​ฉัน​แค่​ตาฝาด​ไป​?​																		
9	2	1			2																			57:dialg_bg_32		1							一阵激烈的打斗声打破了商业街的宁静。我迅速赶到现场，只见蒙面男性猫族正与一群傀化物战斗。他身手矫健，但敌人数量众多，显然有些力不从心……	一陣激烈的打鬥聲打破了商業街的寧靜。我迅速趕到現場，只見蒙面男性貓族正與一群傀化物戰鬥。他身手矯健，但敵人數量眾多，顯然有些力不從心……	The peaceful ambiance of the commercial street shatters with the sound of intense combat. I swiftly arrive at the scene, witnessing a masked male Felinian engaged in a desperate struggle against a group of Anomalies. Despite his agility, the sheer number of enemies overwhelms him, and he appears to be in a challenging predicament...	戦闘の激声が商店街の静寂を破り、現場には覆面の男性フェリニアンスが傀の大群と戦っていた。彼は腕前があるが、数に圧倒されて苦しんでいるようだった。	격렬한 싸움 소리가 상점가의 평화를 깨뜨렸다. 나는 신속하게 현장으로 이동했는데, 얼굴을 가린 남성 캣족이퍼펫들과 전투 중이었다. 움직임이 매우 가벼웠는데, 적의 숫자가 너무 많아서 힘에 부치는 모양이었다…	เสียง​การต่อสู้​อย่าง​ดุเดือด​ดัง​ขึ้น​ ฉัน​รีบ​ไป​ยัง​ที่เกิดเหตุ​ พบ​ชาย​ปิดหน้า​เผ่า​แมว​กำลัง​ต่อสู้​กับ​กลุ่ม​หุ่นเชิด​ แม้​เขา​จะ​ว่องไว​ แต่​จำนวน​ศัตรู​มากเกินไป​ ทำให้​เขา​ดูเหมือน​เริ่ม​จะ​เหนื่อย​...​																		
