id	activityId	people	upperLimit	lowerLimit	reward	rewardNum	mailId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	103	1	1	6200111;6200113;3000002;3000003	1;1;500;1000000	70001	1	前1%	前1%	Top 1%	上位1%	상위 1%	TOP 1%
102	1	103	2	10	6200111;6200113;3000002;3000003	1;1;400;800000	70002	1	前10%	前10%	Top 10%	上位10%	상위 10%	TOP 10%
103	1	103	11	20	6200113;3000002;3000003	1;400;800000	70003	1	前20%	前20%	Top 20%	上位20%	상위 20%	TOP 20%
104	1	103	21	50	6200113;3000002;3000003	1;350;600000	70004	1	前50%	前50%	Top 50%	上位50%	상위 50%	TOP 50%
105	1	103	51	70	6200113;3000002;3000003	1;300;500000	70005	1	前70%	前70%	Top 70%	上位70%	상위 70%	TOP 70%
106	1	103	71	80	3000002;3000003	250;400000	70006	1	前80%	前80%	Top 80%	上位80%	상위 80%	TOP 80%
107	1	103	81	100	3000002;3000003	200;200000	70007	1	未进入80%	未進入80%	Not in the top 80% ranking	80%圏外	상위 80% 외	ไม่อยู่ใน TOP 80%
108	1	109	1	1	6200112;6200114;3000002;3000003	1;1;500;1000000	70008	1	前1%	前1%	Top 1%	上位1%	상위 1%	TOP 1%
109	1	109	2	10	6200112;6200114;3000002;3000003	1;1;400;800000	70009	1	前10%	前10%	Top 10%	上位10%	상위 10%	TOP 10%
110	1	109	11	20	6200114;3000002;3000003	1;400;800000	70010	1	前20%	前20%	Top 20%	上位20%	상위 20%	TOP 20%
111	1	109	21	50	6200114;3000002;3000003	1;350;600000	70011	1	前50%	前50%	Top 50%	上位50%	상위 50%	TOP 50%
112	1	109	51	70	6200114;3000002;3000003	1;300;500000	70012	1	前70%	前70%	Top 70%	上位70%	상위 70%	TOP 70%
113	1	109	71	80	3000002;3000003	250;400000	70013	1	前80%	前80%	Top 80%	上位80%	상위 80%	TOP 80%
114	1	109	81	100	3000002;3000003	200;200000	70014	1	未进入80%	未進入80%	Not in the top 80% ranking	80%圏外	상위 80% 외	ไม่อยู่ใน TOP 80%
