id	activityId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	2102	0	1	9000033	1			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
2	1	2102	0	3	9000033	1			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
3	1	2102	0	7	9000033	2			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
4	1	601	1	10	9000033	2			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
5	1	7	3000004	200	9000033	2			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
6	1	1101	6	1	9000033	2			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
7	1	1101	4	1	9000033	2			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
8	1	2101	1	50	9000033	10			1	在本期活动中抽取达到50次	在本期活動中抽取達到50次	Make 50 summons in the current event.	今期の外観ガチャを50回引く	이번 이벤트 소환 50회 진행	ทำการ​สุ่ม​ใน​กิจกรรม​นี้​ถึง​ 50​ ครั้ง​
9	1	2101	1	100	9000033	10			1	在本期活动中抽取达到100次	在本期活動中抽取達到100次	Make 100 summons in the current event.	今期の外観ガチャを100回引く	이번 이벤트 소환 100회 진행	ทำการ​สุ่ม​ใน​กิจกรรม​นี้​ถึง​ 100​ ครั้ง​
10	1	2101	1	150	9000033	10			1	在本期活动中抽取达到150次	在本期活動中抽取達到150次	Make 150 summons in the current event.	今期の外観ガチャを150回引く	이번 이벤트 소환 150회 진행	ทำการ​สุ่ม​ใน​กิจกรรม​นี้​ถึง​ 150​ ครั้ง​
11	1	2101	1	200	9000034	1			1	在本期活动中抽取达到200次	在本期活動中抽取達到200次	Make 200 summons in the current event.	今期の外観ガチャを200回引く	이번 이벤트 소환 200회 진행	ทำการ​สุ่ม​ใน​กิจกรรม​นี้​ถึง​ 200​ ครั้ง​
12	2	1803	0	200	9000027	10			1	累计获得200点活跃度	累計獲得200點活躍度	Get 200 Activeness Pts in total.	活躍度が累計で200に達する	활약도 누적 200pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 200​ แต้ม​
13	2	1803	0	500	4190001	500			1	累计获得500点活跃度	累計獲得500點活躍度	Get 500 Activeness Pts in total.	活躍度が累計で500に達する	활약도 누적 500pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 500​ แต้ม​
14	2	1803	0	1000	9000027	10			1	累计获得1000点活跃度	累計獲得1000點活躍度	Get 1000 Activeness Pts in total.	活躍度が累計で1000に達する	활약도 누적 1000 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 1,000​ แต้ม​
15	2	1803	0	1500	5200011	40			1	累计获得1500点活跃度	累計獲得1500點活躍度	Get 1500 Activeness Pts in total.	活躍度が累計で1500に達する	활약도 누적 1500pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 1500​ แต้ม​
16	2	1803	0	2000	4190004	1000			1	累计获得2000点活跃度	累計獲得2000點活躍度	Get 2000 Activeness Pts in total.	活躍度が累計で2000に達する	활약도 누적 2000pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 2,000​ แต้ม​
17	3	1803	0	200	9000027	10			1	累计获得200点活跃度	累計獲得200點活躍度	Get 200 Activeness Pts in total.	活躍度が累計で200に達する	활약도 누적 200pt 획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ครบ​ 200​ แต้ม​
