id	copyId	difficulty	scale	monsterShow	costNum	costNumLose	exp	cardExp	battleRules	proposalLevel	costItem	SceneId	rounds	roleNun	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
11511011	1	1	0.112	1009	0	0	0	0	1	80800	0	40101	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11511012	1	2	0.17	1009	0	0	0	0	1	137000	0	40104	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11511013	1	3	0.334	1009	0	0	0	0	1	190000	0	40107	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11511021	1	1	0.112	1020	0	0	0	0	1	80800	0	40101	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11511022	1	2	0.17	1020	0	0	0	0	1	137000	0	40104	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11511023	1	3	0.334	1020	0	0	0	0	1	190000	0	40107	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11511031	1	1	0.112	4020	0	0	0	0	1	80800	0	40101	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11511032	1	2	0.17	4020	0	0	0	0	1	137000	0	40104	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11511033	1	3	0.334	4020	0	0	0	0	1	190000	0	40107	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11512011	1	1	0.112	8002	0	0	0	0	1	80800	0	40103	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11512012	1	2	0.17	8002	0	0	0	0	1	137000	0	40106	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11512013	1	3	0.334	8002	0	0	0	0	1	190000	0	40109	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11512021	1	1	0.112	4041	0	0	0	0	1	80800	0	40103	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11512022	1	2	0.17	4041	0	0	0	0	1	137000	0	40106	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11512023	1	3	0.334	4041	0	0	0	0	1	190000	0	40109	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11512031	1	1	0.112	4003	0	0	0	0	1	80800	0	40103	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11512032	1	2	0.17	4003	0	0	0	0	1	137000	0	40106	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11512033	1	3	0.334	4003	0	0	0	0	1	190000	0	40109	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11513011	1	1	0.112	4043	0	0	0	0	1	80800	0	40102	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11513012	1	2	0.17	4043	0	0	0	0	1	137000	0	40105	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11513013	1	3	0.334	4043	0	0	0	0	1	190000	0	40109	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11513021	1	1	0.112	4005	0	0	0	0	1	80800	0	40102	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11513022	1	2	0.17	4005	0	0	0	0	1	137000	0	40105	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11513023	1	3	0.334	4005	0	0	0	0	1	190000	0	40109	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11513031	1	1	0.112	4026	0	0	0	0	1	80800	0	40102	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11513032	1	2	0.17	4026	0	0	0	0	1	137000	0	40105	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
11513033	1	3	0.334	4026	0	0	0	0	1	190000	0	40109	99	4	1	始祖的考验	始祖的考驗	Trial of the Ancestors	始祖の試練	시조의 시련	บททดสอบบรรพชน
