id	num	status	txt	txt_zh_TW	txt_en_UK	txt_ja_JP	txt_ko_KR	txt_th_TH
int	int	int	int	int	int	int	int	int
1	30;10;5;1	1	调查官们请注意，【天梯竞技场】将于_NUM_分钟后开启。	調查官們請注意，【天梯競技場】將於_NUM_分鐘後開啟。	Dear Inspector, the Arena will begin in _NUM_ min.	ご注意ください、【アリーナランク戦】は_NUM_分後に開始します。	조사관님, [래더 아레나]가 _NUM_분 후에 오픈됩니다.	คุณ​ผู้ตรวจการ​คะ​ [​สกาย​อารี​น่า​]​ จะ​เปิด​ใน​อีก​ _NUM_​ นาที​ค่ะ​
2	30;10;5;1	1	调查官们请注意，【天梯竞技场】将于_NUM_分钟后进行结算。	調查官們請注意，【天梯競技場】將於_NUM_分鐘後進行結算。	Dear Inspector, the Arena rewards will be tallied in _NUM_ min.	ご注意ください、【アリーナランク戦】は_NUM_分後に集計します。	조사관님, [래더 아레나]가 _NUM_분 후 결산을 시작합니다.	คุณ​ผู้ตรวจการ​คะ​ [​สกาย​อารี​น่า​]​ จะ​สรุป​ผล​ใน​อีก​ _NUM_​ ค่ะ​
3	30;10;5;1	1	调查官们请注意，【幻影斗技场】将于_NUM_分钟后开启。	調查官們請注意，【幻影鬥技場】將於_NUM_分鐘後開啟。	Attention, Phantom Clash will begin in _NUM_ min.	ご注意ください、【ファントム闘技場】は_NUM_分後に開放します。	조사관님, 주의해 주십시오. [팬텀 투기장]이 _NUM_분 후에 오픈됩니다.	คุณ​ผู้ตรวจการ​คะ​ [​แฟน​ธอม​อารี​น่า​]​ จะ​เปิด​ใน​อีก​ _NUM_​ นาที​ค่ะ​
4	30;10;5;1	1	调查官们请注意，【幻影斗技场】将于_NUM_分钟后进行结算。	調查官們請注意，【幻影鬥技場】將於_NUM_分鐘後進行結算。	Attention, the Phantom Clash rewards will be tallied in _NUM_ min.	ご注意ください、【ファントム闘技場】は_NUM_分後に集計します。	조사관님, 주의해 주십시오. [팬텀 투기장]이 _NUM_분 후에 결산을 진행합니다.	คุณ​ผู้ตรวจการ​คะ​ [​แฟน​ธอม​อารี​น่า​]​ จะ​สรุป​ผล​ใน​อีก​ _NUM_​ ค่ะ​
5	30;10;5;1	1	调查官们请注意，【世界首领】将于_NUM_分钟后开启。	調查官們請注意，【世界首領】將于_NUM_分鐘後開啟。	Attention, the World Boss will be unlocked in _NUM_ min.	ご注意ください、【ワールドBOSS】は_NUM_分後に開放します。	조사관님, 주의해 주십시오. [월드 보스]가 _NUM_분 후에 오픈됩니다.	คุณ​ผู้ตรวจการ​คะ​ [​เวิลด์​บอส​]​ จะ​เปิด​ใน​อีก​ _NUM_​ นาที​ค่ะ​
6	30;10;5;1	1	调查官们请注意，【世界首领】将于_NUM_分钟后结束。	調查官們請注意，【世界首領】將于_NUM_分鐘後結束。	Attention, the World Boss will be concluded in _NUM_ min.	ご注意ください、【ワールドBOSS】は_NUM_分後に終了します。	조사관님, 주의해 주십시오. [월드 보스]가 _NUM_분 후에 종료됩니다.	คุณ​ผู้ตรวจการ​คะ​ [​เวิลด์​บอส​]​ จะ​จบ​ลง​ใน​อีก​ _NUM_​ นาที​ค่ะ​
7	101013;102007;102011;102021;103007;103021;104001;105008;106002;107001;108001;108006;110008;111002;112002;113001;114001;904014;904015;904020;908002;109008;117008;127008;130008;131008;103006;106009;107010;129008;123008	1	恭喜调查官【_name_】召唤到了SSR战斗员<color=#ffb027>【_id_】</color>。	恭喜調查官【_name_】召喚到了SSR戰鬥員<color=#ffb027>【_id_】</color>。	Congrats! Inspector _name_ gets SSR Combatant <color=#ffb027>_id_</color>!	おめでとうございます！調査官【_name_】はSSR戦闘員<color=#ffb027>【_id_】</color>を召喚しました。	축하합니다. 조사관 [_name_]님이 SSR 전투원  <color=#ffb027>[_id_]</color>(을)를 소환했습니다.	ขอ​ยินดี​กับ​ [_name_]​ ที่​รับสมัคร​ได้​ตัวละคร​ SSR​ <color=#ffb027>[_id_]</color>​
8		1	你在幻影斗技场被【_name_】击败了，下降到第_NUM_名。去查看	你在幻影鬥技場被【_name_】擊敗了，下降到第_NUM_名。去查看	You were defeated by _name_ in Phantom Clash, dropping your rank to _NUM_.	ファントム闘技場で【_name_】に敗れ、_NUM_位に落ちました。詳細をチェック	팬텀 투기장에서 [_name_]님에게 처치당해 _NUM_위로 강등되었습니다. 보러가기	คุณ​โดน​ [_name_]​ จัดการ​ใน​แฟน​ธอม​อารี​น่า​ อันดับ​ลดลง​เป็น​ _NUM_​  กรุณา​ไป​ตรวจสอบ​
9	6401001;6401002;6401003;6401004;6401005;6401006;6401008;6401010;642001;6402002;6402003;6402004;6402005;6402006;6402010;6403001;6403002;6403003;6403004;6403005;6403007;6403008;6403009;6403010;6404001	1	恭喜调查官【_name_】召唤到了SSR猫球<color=#ffb027>【_id_】</color>。	恭喜調查官【_name_】召喚到了SSR貓球<color=#ffb027>【_id_】</color>。	Congrats! Inspector _name_ gets SSR Cato <color=#ffb027>_id_</color>!	おめでとうございます！調査官【_name_】はSSRガト<color=#ffb027>【_id_】</color>を召喚しました。	축하합니다. 조사관 [_name_]님이 SSR 냥냥볼  <color=#ffb027>[_id_]</color>(을)를 소환했습니다.	ขอ​ยินดี​กับ​ [_name_]​ ที่​หมุน​ได้​แค​ทบ​อล​ SSR​ <color=#ffb027>[_id_]</color>​
