id	name	num	status	txt	txt_zh_TW	txt_en_UK	txt_ja_JP	txt_ko_KR	txt_th_TH
int	int	int	int	int	int	int	int	int	int
1	普通档位名称		1	普通版	普通版	Basic	通常版	일반 버전	ทั่วไป
2	付费档名称		1	豪华版	豪華版	Deluxe	豪華版	프리미엄	พรีเมียม
4	豪华合约价格；档位表ID	1060001	1						
5	规则说明ID		1						
6	购买等级消耗的道具ID	3000002	1						
7	购买等级消耗的道具数量	200	1						
8	广告语		1	解锁豪华通行证，获取丰厚奖励	解鎖豪華通行證，獲取豐厚獎勵	Unlock the Deluxe Contract to get massive rewards.	豪華版パスを開放で、豪華報酬をゲット！	프리미엄 패스를 해제하면 풍성한 보상을 획득할 수 있습니다	ปลดล็อกพาสพรีเมียม\nเพื่อรับรางวัลจำนวนมาก
9	巅峰奖励规则内容		1	合约满级后，\n每_target_num_点可获得巅峰礼包x1 \n点击领取礼包	合約滿級後，\n每_target_num_點可獲得巔峰禮包x1 \n點擊領取禮包	Once the Contract is at max level,\nevery _target_num_ Contract EXP will grant you Pinnacle Bundle x1\nTap to claim this bundle.	契約が最大レベルに達した後、\n契約EXPを_target_num_入手するごとに、クライマックスパックを1個受け取ることができます。 \nタップして受け取る	계약 최대 레벨 후\n계약 EXP _target_num_마다 MAX 패키지x1를 획득할 수 있습니다\n탭하여 패키지 받기	เมื่อ​พา​สมี​เล​เวล​เต็ม​แล้ว​\nEXP​ ทุกๆ​ _target_num_​ หน่วย​ จะ​ได้รับ​แพ็ก​รางวัล​สูงสุด​ x1​
10	最大奖励等级	30	1						
11	循环宝箱经验值（满级后多少经验开一个宝箱	150	1						
12	PASS卡经验点数道具ID	5300021	1						
13	噩梦回响1颗星星转化为多少经验	50	1						
14	日韩服一级货币购买；货币ID	3000001	1						
15	日韩服一级货币购买；货币数量	980	1						
16	pass卡每一级的经验（每级固定，初始0	150	1						
17	巅峰奖励道具id	5003001	1						
