id	PassLv	id1	id2	freeRewardId	freeRewardNum	PayRewardId	PayRewardNum	status
int	int	int	int	int	int	int	int	int
201001	1	101001	201001	5112001	70	5200009;4105023;3000002	160;60;980	1
201002	2	101002	201002	5112001	70	5200009;4105023;3000003	160;60;200000	1
201003	3	101003	201003	5112001	70	5200009;4105023;3000003	160;60;200000	1
201004	4	101004	201004	5112001	70	5200009;4105023;3000003	160;60;200000	1
201005	5	101005	201005	5112001	70	5200009;4105023;3000003	160;60;200000	1
201006	6	101006	201006	5112001	70	5200009;4105023;3000003	160;60;200000	1
201007	7	101007	201007	5112001	70	5200009;4105023;3000003	160;60;200000	1
201008	8	101008	201008	5112001	70	5200009;4105023;3000003	160;60;200000	1
201009	9	101009	201009	5112001	70	5200009;4105023;3000003	160;60;200000	1
201010	10	101010	201010	5112001	70	5200009;4105023;3000003	160;60;200000	1
201011	11	101011	201011	5112001	70	5200009;4105023;3000003	160;60;200000	1
201012	12	101012	201012	5112001	70	5200009;4105023;3000003	160;60;200000	1
201013	13	101013	201013	5112001	70	5200009;4105023;3000003	160;60;200000	1
201014	14	101014	201014	5112001	70	5200009;4105023;3000003	160;60;200000	1
201015	15	101015	201015	5112001	70	5200009;4105023;3000003	160;60;200000	1
201016	16	101016	201016	5112001	70	5200009;4105023;3000003	160;60;200000	1
201017	17	101017	201017	5112001	70	5200009;4105023;3000003	160;60;200000	1
201018	18	101018	201018	5112001	70	5200009;4105023;3000003	160;60;200000	1
201019	19	101019	201019	5112001	70	5200009;4105023;3000003	160;60;200000	1
201020	20	101020	201020	5112001	70	5200009;4105023;3000003	160;60;200000	1
201021	21	101021	201021	5112001	70	5200009;4105023;3000003	160;60;200000	1
201022	22	101022	201022	5112001	70	5200009;4105023;3000003	160;60;200000	1
201023	23	101023	201023	5112001	70	5200009;4105023;3000003	160;60;200000	1
201024	24	101024	201024	5112001	70	5200009;4105023;3000003	160;60;200000	1
201025	25	101025	201025	5112001	70	5200009;4105023;3000003	160;60;200000	1
201026	26	101026	201026	5112001	70	5200009;4105023;3000003	160;60;200000	1
201027	27	101027	201027	5112001	70	5200009;4105023;3000003	160;60;200000	1
201028	28	101028	201028	5112001	70	5200009;4105023;3000003	160;60;200000	1
201029	29	101029	201029	5112001	70	5200009;4105023;3000003	160;60;200000	1
201030	30	101030	201030	5112001	70	4105031;5200009;4105023	1;160;60	1
