id	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	groupId	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	405		1	4190004	100			1	1	登录游戏	登入遊戲	Log in to the game.	ログインする	게임 로그인	ล็อกอินเกม
2	602	112024	20	3000002	200			1	1	召唤20次	召喚20次	Summon 20 times.	召喚を20回行う	소환 20회 하기	รับสมัคร 20 ครั้ง
3	602	112024	30	3000002	500			1	1	召唤30次	召喚30次	Summon 30 times.	召喚を30回行う	소환 30회 하기	รับสมัคร 30 ครั้ง
4	602	112024	40	4190004	500			1	1	召唤40次	召喚40次	Summon 40 times.	召喚を40回行う	소환 40회 하기	รับสมัคร 40 ครั้ง
5	602	112024	50	4190001	1000			1	1	召唤50次	召喚50次	Summon 50 times.	召喚を50回行う	소환 50회 하기	รับสมัคร 50 ครั้ง
6	602	112024	60	4190004	1000			1	1	召唤60次	召喚60次	Summon 60 times.	召喚を60回行う	소환 60회 하기	รับสมัคร 60 ครั้ง
7	602	112024	70	4190001	1500			1	1	召唤70次	召喚70次	Summon 70 times.	召喚を70回行う	소환 70회 하기	รับสมัคร 70 ครั้ง
8	602	112024	80	4190004	1500			1	1	召唤80次	召喚80次	Summon 80 times.	召喚を80回行う	소환 80회 하기	รับสมัคร 80 ครั้ง
9	602	112024	90	4190004	2000			1	1	召唤90次	召喚90次	Summon 90 times.	召喚を90回行う	소환 90회 하기	รับสมัคร 90 ครั้ง
10	602	112024	100	4190002	1			1	1	召唤100次	召喚100次	Summon 100 times.	召喚を100回行う	소환 100회 하기	รับสมัคร 100 ครั้ง
