id	cardId	rewardId	rewardNum	picture	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int
1	5910001;5910002;5910003;5910004;5910005;5910006;5910007;5910008;5910009;5910010	4190001	100	6:goods_icon_5003000	1	城市之影	城市之影	Urban Shade	シャドウ・オブ・シティー	도시의 그림자	เงาของเมือง
2	5920001;5920002;5920003;5920010;5920011;5920012;5920014;5920015	4190001	100	6:goods_icon_5003000	1	兔兔骑士团	兔兔騎士團	Bunny Knights Order	ウサギ騎士団	바니 기사단	กองอัศวินกระต่าย
3	5920004;5920005;5920006;5920007;5920008;5920009;5920013	4190001	100	6:goods_icon_5003000	1	兔兔亲卫团	兔兔親衛團	Bunny Honor Guards	ウサギ親衛隊	바니 친위대	กององครักษ์กระต่าย
4	5930001;5930002;5930003;5930004;5930005;5930006;5930013	4190001	100	6:goods_icon_5003000	1	暴风眼	暴風眼	StormEye	ストームアイ	스톰아이	สตอร์มอาย
5	5930008;5930009;5930007;5930015;5930017;5930018;5930019	4190001	100	6:goods_icon_5003000	1	甜蜜友邻	甜蜜友鄰	Sweet Neighbors	仲良しのお隣さん	스윗한 이웃	เพื่อนบ้านแสนหวาน
6	5930010;5930011;5930012;5930014;5930016;5930020;5930021;5930022	4190001	100	6:goods_icon_5003000	1	探索奇遇	探索奇遇	Surprising Adventures	冒険中の巡り合い	탐험 속의 만남	ผจญภัยสุดมหัสจรรย์
7	5960003;5950006;5940004;5940012;5940002;5940001	4190001	100	6:goods_icon_5003000	1	心灵偶像	心靈偶像	Idol of Souls	心のアイドル	마음의 아이돌	จิตวิญญาณไอดอล
8	5960001;5940006;5940005;5940003;5940011;5940009	4190001	200	6:goods_icon_5003000	1	不屈守卫	不屈守衛	Unyielding Guardian	不屈のガーディアン	불굴의 수호자	ผู้พิทักษ์ผู้ยืนหยัด
9	5960002;5950001;5950005;5940010;5940007;5940008	4190001	300	6:goods_icon_5003000	1	领域达人	領域達人	Talents of the Realm	スペシャリスト	영역 통달자	ผู้เชี่ยวชาญเฉพาะด้าน
10	5960004;5950002;5950003;5950004;5950007;5950008	4190001	300	6:goods_icon_5003000	1	神秘来客	神秘來客	Mysterious Guest	謎の来訪者	신비한 방문자	แขกลึกลับ
