id	costItem	costNum	deck	rate	rules	lockDemand	rawardLimit	reward	rewardNum	dropRate	showReward	draw	head	headframe	status	title	title_zh_TW	title_en_UK	title_ja_JP	title_ko_KR	title_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	lines	lines_zh_TW	lines_en_UK	lines_ja_JP	lines_ko_KR	lines_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1			5910001,5910002,5910005,5910007,5910010;	10	3	0	100						6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	小蒲	小蒲	Cattia	蒲	칼라모스	โคบะ	与【牌手 小蒲】来一场对决吧	與【牌手 小蒲】來一場對決吧	Alright, let's have a round with [Player: Cattia].	「選手　蒲」と対決せよ	[카드 플레이어-칼라모스]와 승부하자	ดวล​กับ​ [​การ์ด​ไฟต์​เตอร์​ โคบะ​]​ หนึ่ง​รอบ​
2			5910007,5910010,5910004,5910010,5920014;	10	3;8	0	100						6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	小蒲	小蒲	Cattia	蒲	칼라모스	โคบะ	与【牌手 小蒲】来一场对决吧	與【牌手 小蒲】來一場對決吧	Alright, let's have a round with [Player: Cattia].	「選手　蒲」と対決せよ	[카드 플레이어-칼라모스]와 승부하자	ดวล​กับ​ [​การ์ด​ไฟต์​เตอร์​ โคบะ​]​ หนึ่ง​รอบ​
3			5910003,5910008,5910002,5910006,5920013;	10	2;8	0	100					123008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	赤沼莲	赤沼蓮	Akanuma Ren	赤沼蓮	아카누마 렌	อาคานุมะ เร็น	与【牌手 赤沼莲】来一场对决吧	與【牌手 赤沼蓮】來一場對決吧	Time to duel with [Player: Akanuma Ren].	「選手　赤沼蓮」と対決せよ	[카드 플레이어-아카누마 렌]과 승부하자	ดวล​กับ​ [การ์ด​ไฟต์​เตอร์​ อาคานุมะ เร็น]​ หนึ่ง​รอบ​
101	9000053	10	5910003,5920012,5910009,5910001,5910004;	10	3	0	40	5930001;5920001;3000029;9030006	1;1;100;10	100;100;200;50	5930001;5920001	101008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	非天	非天	Asura	アスラ	아수라	อาสึระ	规则……是比大小吗？我明白了。	規則……是比大小嗎？我明白了。	Comparing values, huh? Got it, no problem.	ルールというのは…数字比べのことですか？了解しました。	규칙은.. 더 큰 패를 가진 사람이 승리지? 이해했어.	กฏ​คือ​...​วัด​แต้ม​ใคร​ใหญ่​กว่า​กัน​เหรอ​?​ เข้าใจ​แล้ว​
102	9000053	10	5910003,5920012,5910009,5930001,5910004;	10	3;8	0	40	5930002;5920002;3000029;9030006	1;1;115;10	100;100;200;50	5930002;5920002	109008	6200001	6220010	1	牌王	牌王	King of Cards	王者	카드킹	เจ้าแห่งการ์ด	艾琳娜	艾琳娜	Erina	エリナ	에리나	เอรินา	看在你这么想玩的份儿上，本小姐就勉强拿出一成的功力跟你打一把吧。	看在你這麼想玩的份兒上，本小姐就勉強拿出一成的功力跟你打一把吧。	Heh, since you're so eager, I guess I can hold back and only use about a tenth of my real skills for our little game here.	そこまで遊びたいって言うなら、特別に本気の……まぁ、遊び気分で相手してあげるわよ。	그렇게 나랑 놀고 싶다니 어쩔 수 없네. 한 10% 정도의 실력을 발휘해 볼까나.	เห็น​ว่า​คุณ​อยาก​เล่น​หรอก​นะ​ ฉัน​คน​นี้​จะ​ยอม​ใช้​พลัง​แค่​ 10%​ ใน​การ​ดวล​กับ​คุณ​แล้วกัน​
103	9000053	10	5920008,5920010,5920015,5910001,5910005;	10	3;9	10	40	5940001;5930003;3000029;9030006	1;1;130;10	100;100;200;50	5940001;5930003	136008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	法夕黛	法夕黛	Felicia	ファルスタ	파르시타	เฟริเซีย	和店长玩游戏的机会很珍贵，我会好好抓住的。	和店長玩遊戲的機會很珍貴，我會好好抓住的。	You don't give me the chance to play with you very often, Manager, so you can bet I'll make the most of it.	店長さんとゲームをする機会なんて滅多にないですから、しっかり楽しませてもらいますね。	점장님과 함께 게임이라니, 정말 소중한 기회네요.	โอกาส​ได้​เล่น​เกม​กับ​คุณ​ผู้จัดการ​หา​ยาก​สุด​ๆ​ ฉัน​จะ​เต็มที่​นะ​
104	9000053	10	5920008,5920010,5920013,5910006,5910005;	10	3;9;4	12	40	5940001;5930004;3000029;9030006	1;1;145;10	100;100;200;50	5940001;5930004	112008	6200001	6220010	1	牌王	牌王	King of Cards	王者	카드킹	เจ้าแห่งการ์ด	米娅	米婭	Mia	ミーヤ	미아	มีอา	艾、艾琳娜说让我给她报仇……请多指教！	艾、艾琳娜說讓我給她報仇……請多指教！	E-Erina wants me to get revenge... Let's do it!	エ、エレナが…リベンジしてくれって言ってましたので……どうぞ、よろしくお願いします！	에, 에리나가 대신 복수해달라고 했어요.. 잘 부탁드려요!	เอ​...​เอ​ริ​นา​บอก​ให้​ฉัน​มา​เอาคืน​...​ฝากตัว​ด้วย​นะคะ​!​
105	9000053	10	5930022,5940009,5920005,5930020,5930001;5930020,5940009,5920005,5930019,5930004;	10;10	3;7	15	40	5940002;5930005;3000029;9030006	1;1;160;10	100;100;200;50	5940002;5930005	113008	6200001	6220010	1	牌手	牌手	Player	選手	카드 플레이어	การ์ดไฟต์เตอร์	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน	原来调查官也喜欢这个呀？我经常陪沛沛玩哦！	原來調查官也喜歡這個呀？我經常陪沛沛玩哦！	Wait, you're into this too, Inspector? Haha, I play with Yunpei all the time, you know.	調査官もこれが好きなの？よく沛ちゃんと遊んでたんだ！	조사관도 이런 걸 좋아했나 보네? 내가 자주 어울려줄게!	คุณ​ผู้ตรวจการ​ก็​ชอบ​เหมือนกัน​เหรอ​?​ เกมนี้​ฉัน​เล่น​กับ​เพ่ยเพ่ย​ประจำ​เลย​!​
106	9000053	10	5930022,5940009,5920005,5930020,5930001;5930020,5940009,5920005,5930019,5930004;	10;10	3;7;8	18	40	5950001;5940002;3000029;9030006	1;1;175;10	100;100;200;50	5950001;5940002	103008	6200001	6220010	1	牌王	牌王	King of Cards	王者	카드킹	เจ้าแห่งการ์ด	特莉丝	特莉絲	Triss	トリス	트리스	ทริส	不知道练习到现在……能不能和调查官对战呢。	不知道練習到現在……能不能和調查官對戰呢。	After all that practice, I wonder if I'm finally ready to take you on, Inspector...	ここまで練習してきましたが、調査官と勝負の手合わせを……お願いできるのかしら。	지금까지 연습만으로... 조사관님과 승부할 수 있는지 모르겠네요.	ไม่​รู้​ว่า​ตั้งแต่​ที่​ฝึก​มา​...​จะ​พอ​ต่อกร​กับ​คุณ​ผู้ตรวจการ​ได้​ไหม​
