id	groupId	areaId	rewardGroup	SceneId	rounds	roleNun	proposalLevel	proposalLevelInterval	powerRatioTeamID	damageTotal	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
120361011	101	1	1	15801	10	4	21000	0;240000	11	1	1	基因微光	基因微光	Gene Ember	ゲノムの微光	유전자의 잔빛	ประกายชีวะพันธุ์
120361012	101	2	2	13301	10	4	21000	240000;480000	11	1	1	矩阵进化	矩陣進化	Matrix Leap	マトリクスの進化	매트릭시 진화	เมทริกซ์กลายพันธุ์
120361013	101	3	3	10901	10	4	21000	480000	11	1	1	奇点终局	奇點終局	Collapse Finale	シンギュラリティの終焉	특이점의 종말	จุดดับเอกฐาน
120361021	102	1	4	15801	10	4	21000	0;240000	11	1	1	基因微光	基因微光	Gene Ember	ゲノムの微光	유전자의 잔빛	ประกายชีวะพันธุ์
120361022	102	2	5	13301	10	4	21000	240000;480000	11	1	1	矩阵进化	矩陣進化	Matrix Leap	マトリクスの進化	매트릭시 진화	เมทริกซ์กลายพันธุ์
120361023	102	3	6	10901	10	4	21000	480000	11	1	1	奇点终局	奇點終局	Collapse Finale	シンギュラリティの終焉	특이점의 종말	จุดดับเอกฐาน
120361031	103	1	7	15801	10	4	21000	0;240000	11	1	1	基因微光	基因微光	Gene Ember	ゲノムの微光	유전자의 잔빛	ประกายชีวะพันธุ์
120361032	103	2	8	13301	10	4	21000	240000;480000	11	1	1	矩阵进化	矩陣進化	Matrix Leap	マトリクスの進化	매트릭시 진화	เมทริกซ์กลายพันธุ์
120361033	103	3	9	10901	10	4	21000	480000	11	1	1	奇点终局	奇點終局	Collapse Finale	シンギュラリティの終焉	특이점의 종말	จุดดับเอกฐาน
120361041	104	1	10	15801	10	4	21000	0;240000	11	1	1	基因微光	基因微光	Gene Ember	ゲノムの微光	유전자의 잔빛	ประกายชีวะพันธุ์
120361042	104	2	11	13301	10	4	21000	240000;480000	11	1	1	矩阵进化	矩陣進化	Matrix Leap	マトリクスの進化	매트릭시 진화	เมทริกซ์กลายพันธุ์
120361043	104	3	12	10901	10	4	21000	480000	11	1	1	奇点终局	奇點終局	Collapse Finale	シンギュラリティの終焉	특이점의 종말	จุดดับเอกฐาน
