id	upperLimit	reward	rewardNum	rewardGroup	status
int	int	int	int	int	int
1001	100	4100032;5121065;4100011;3000003	5;5;250;200000	1	1
1002	36000	4100032;5121065;4100011;3000003	5;5;300;200000	1	1
1003	187000	4100032;5121065;4100011;3000003	10;5;350;200000	1	1
1004	596000	4100032;5121065;4100011;3000003	10;5;400;200000	1	1
1005	1299000	4100032;5121065;4100011;3000003	15;5;450;200000	1	1
1006	2363000	4100032;5121065;4100011;3000003	20;5;500;200000	1	1
1007	100	4100032;5121065;4100011;3000003	5;5;250;500000	2	1
1008	3750000	4100032;4100031;3000003	10;10;500000	2	1
1009	5741000	4100032;4100031;3000003	10;15;500000	2	1
1010	8295000	4100032;4100031;3000003	15;15;500000	2	1
1011	11499000	4100032;4100031;3000003	15;20;500000	2	1
1012	15373000	4100032;4100031;3000003	20;30;500000	2	1
1013	100	4100032;5121065;4100011;3000003	5;5;250;800000	3	1
1014	20699000	4100034;4100032;4100031;3000003	3;10;5;800000	3	1
1015	28772000	4100034;4100032;4100031;3000003	3;10;10;800000	3	1
1016	38553000	4100034;4100032;4100031;3000003	5;15;10;800000	3	1
1017	50188000	4100034;4100032;4100031;3000003	5;15;15;800000	3	1
1018	63820000	4100034;4100032;4100031;3000003	10;20;20;800000	3	1
1019	100	4100032;5121065;4100011;3000003	5;5;250;200000	4	1
1020	324000	4100032;5121065;4100011;3000003	5;5;300;200000	4	1
1021	1683000	4100032;5121065;4100011;3000003	10;5;350;200000	4	1
1022	5364000	4100032;5121065;4100011;3000003	10;5;400;200000	4	1
1023	11691000	4100032;5121065;4100011;3000003	15;5;450;200000	4	1
1024	21267000	4100032;5121065;4100011;3000003	20;5;500;200000	4	1
1025	100	4100032;5121065;4100011;3000003	5;5;250;500000	5	1
1026	33750000	4100032;4100031;3000003	10;10;500000	5	1
1027	51669000	4100032;4100031;3000003	10;15;500000	5	1
1028	74655000	4100032;4100031;3000003	15;15;500000	5	1
1029	103491000	4100032;4100031;3000003	15;20;500000	5	1
1030	138357000	4100032;4100031;3000003	20;30;500000	5	1
1031	100	4100032;5121065;4100011;3000003	5;5;250;800000	6	1
1032	186291000	4100034;4100032;4100031;3000003	3;10;5;800000	6	1
1033	258948000	4100034;4100032;4100031;3000003	3;10;10;800000	6	1
1034	346977000	4100034;4100032;4100031;3000003	5;15;10;800000	6	1
1035	451692000	4100034;4100032;4100031;3000003	5;15;15;800000	6	1
1036	631818000	4100034;4100032;4100031;3000003	10;20;20;800000	6	1
1037	100	4100032;5121065;4100011;3000003	5;5;250;200000	7	1
1038	57600	4100032;5121065;4100011;3000003	5;5;300;200000	7	1
1039	299200	4100032;5121065;4100011;3000003	10;5;350;200000	7	1
1040	953600	4100032;5121065;4100011;3000003	10;5;400;200000	7	1
1041	2078400	4100032;5121065;4100011;3000003	15;5;450;200000	7	1
1042	3780800	4100032;5121065;4100011;3000003	20;5;500;200000	7	1
1043	100	4100032;5121065;4100011;3000003	5;5;250;500000	8	1
1044	6000000	4100032;4100031;3000003	10;10;500000	8	1
1045	9185600	4100032;4100031;3000003	10;15;500000	8	1
1046	13272000	4100032;4100031;3000003	15;15;500000	8	1
1047	18398400	4100032;4100031;3000003	15;20;500000	8	1
1048	24596800	4100032;4100031;3000003	20;30;500000	8	1
1049	100	4100032;5121065;4100011;3000003	5;5;250;800000	9	1
1050	28150700	4100034;4100032;4100031;3000003	3;10;5;800000	9	1
1051	39130000	4100034;4100032;4100031;3000003	3;10;10;800000	9	1
1052	52432100	4100034;4100032;4100031;3000003	5;15;10;800000	9	1
1053	68255700	4100034;4100032;4100031;3000003	5;15;15;800000	9	1
1054	86795200	4100034;4100032;4100031;3000003	10;20;20;800000	9	1
1055	0	4100032;5121065;4100011;3000003	5;5;250;200000	10	1
1056	405000	4100032;5121065;4100011;3000003	5;5;300;200000	10	1
1057	2103000	4100032;5121065;4100011;3000003	10;5;350;200000	10	1
1058	6705000	4100032;5121065;4100011;3000003	10;5;400;200000	10	1
1059	14613000	4100032;5121065;4100011;3000003	15;5;450;200000	10	1
1060	26583000	4100032;5121065;4100011;3000003	20;5;500;200000	10	1
1061	0	4100032;5121065;4100011;3000003	5;5;250;500000	11	1
1062	42187000	4100032;4100031;3000003	10;10;500000	11	1
1063	64586000	4100032;4100031;3000003	10;15;500000	11	1
1064	93318000	4100032;4100031;3000003	15;15;500000	11	1
1065	129363000	4100032;4100031;3000003	15;20;500000	11	1
1066	172946000	4100032;4100031;3000003	20;30;500000	11	1
1067	0	4100032;5121065;4100011;3000003	5;5;250;800000	12	1
1068	197933600	4100034;4100032;4100031;3000003	3;10;5;800000	12	1
1069	275132300	4100034;4100032;4100031;3000003	3;10;10;800000	12	1
1070	368662900	4100034;4100032;4100031;3000003	5;15;10;800000	12	1
1071	479922800	4100034;4100032;4100031;3000003	5;15;15;800000	12	1
1072	671306200	4100034;4100032;4100031;3000003	10;20;20;800000	12	1
