id	group	upType	upParam	upStar	upBuff	status
int	int	int	int	int	int	int
1	2001	1	133008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
2	2001	1	144001	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
3	2002	1	123008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
4	2002	1	135008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
5	2003	1	123008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
6	2003	1	109002	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
7	2004	1	802008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
8	2004	1	803008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
9	2004	1	109002	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
10	2005	1	149008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
11	2005	1	143008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
12	2006	1	138008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
13	2006	1	144001	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
14	2007	1	123008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
15	2007	1	113002	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
16	2007	1	114002	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
17	2008	1	152008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
18	2008	1	122008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
19	2009	1	159008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
20	2009	1	138001	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
21	2009	1	103012	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
22	2010	1	126008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
23	2010	1	147008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
24	2011	1	126008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
25	2011	1	147008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
26	2011	1	159008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
27	2012	1	131001	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
28	2012	1	128008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
29	2013	1	153008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
30	2013	1	151008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
31	2014	1	150008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
32	2014	1	148008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
33	2015	1	154008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
34	2015	1	146008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
35	2016	1	160008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
36	2016	1	161008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
37	2018	1	804008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
38	2018	1	805008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
39	2019	1	804008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
40	2019	1	805008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
41	2019	1	135008	0;1;2;3;4;5;6	7100152;7100153;7100154;7100155;7100156;7100157;7100158	1
