index	id	desc	wave	wave1NpcId	wave1Level	wave1NpcType	classId	classUpDate	intiSp	maxSp	ai	skinId	attribute	hpCount	equipId	summonPool	summonLevel	enemyNum	summonPoolSpecial	summonLevelSpecial	halo	behavior	SceneList	wavefront	waveafter	waveInitAction	waveLoopAction	script	scriptState	MonsterDialogue	PlayerDialogue	victory	defeat	tips	bubble	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
120361011_1	120361011	临界重构第1期-区域1	1	34031004	1000	3	2106	1,2;2,10;3,100	1				1	5				3				0										0	-1			1
120361012_1	120361012	临界重构第1期-区域2	1	34031004	1000	3	2106	1,5;2,20;3,100	1				1	5				3				0										0	-1			1
120361013_1	120361013	临界重构第1期-区域3	1	34031004	1000	3	2106	1,10;2,40;3,100	1				1	5				3				0										0	-1			1
120361021_1	120361021	临界重构第1期-区域1	1	31009032;31012032;34031004;31030032;31002032	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,4;2,10;3,200	1;1;2;1;1				2;2;4;2;2	10				5				0										0	-1			1
120361022_2	120361022	临界重构第1期-区域2	1	31009032;31012032;34031004;31030032;31002032	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,8;2,20;3,200	1;1;2;1;1				2;2;4;2;2	10				5				0										0	-1			1
120361023_3	120361023	临界重构第1期-区域3	1	31009032;31012032;34031004;31030032;31002032	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,15;2,40;3,200	1;2;3;2;1				2;2;4;2;2	10				5				0										0	-1			1
120361031_1	120361031	临界重构第3期-区域1	1	34031004	1000	3	2106	1,2;2,10;3,200	2				5	10				5				0										0	-1			1
120361032_2	120361032	临界重构第3期-区域2	1	34031004	1000	3	2106	1,2;2,10;3,200	2				5	10				5				0										0	-1			1
120361033_3	120361033	临界重构第3期-区域3	1	34031004	1000	3	2106	1,2;2,10;3,200	3				5	10				5				0										0	-1			1
120361041_1	120361041	临界重构第4期-区域1	1	34015009;34015009;34015008;34015009;34015009	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,2;2,10;3,200	1;1;2;1;1				1;1;4;1;1	10		34015009	90	5				0										0	-1			1
120361042_2	120361042	临界重构第4期-区域2	1	34015009;34015009;34015008;34015009;34015009	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,2;2,10;3,200	1;1;2;1;1				1;1;4;1;1	10		34015009	90	5				0										0	-1			1
120361043_3	120361043	临界重构第4期-区域3	1	34015009;34015009;34015008;34015009;34015009	900;900;1000;900;900	1;1;3;1;1	2106;2106;2106;2106;2106	1,2;2,10;3,200	1;2;3;2;1				1;1;4;1;1	10		34015009	90	5				0										0	-1			1
