id	animeId	inTime	outTime	fadeIn	fadeOut	status	subtitle	subtitle_zh_TW	subtitle_en_UK	subtitle_ja_JP	subtitle_ko_KR	subtitle_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int
1	108006_op_big_skill_mov	1	1200	0	0	1	化为灰烬吧！	化為灰燼吧！	Turn to ashes!	灰になりなさい！	잿더미가 되어라!	กลายเป็นผุยผงไปซะ!
2	117008_op_big_skill_mov	1	3700	0	0	1	在情绪能量的狂欢之中，共赴死亡。	在情緒能量的狂歡之中，共赴死亡。	In the frenzy of Pathos Energy, let's embrace death together.	情緒エネルギーのカーニバルで、一緒に死に向いなさい。	이모션 에너지의 광란 속에서, 함께 죽음을 맞이한다.	ท่ามกลาง​งานรื่นเริง​อัน​บ้าคลั่ง​แห่ง​พลังงาน​พา​โธส​ จง​ตาย​ไป​พร้อมกัน​ซะ​
3	117008_op_big_skill_mov	7540	9900	0	200	1	调查官小心！！！\n……	調查官小心！！！\n……	Watch out, Inspector!\n...	調査官小心！！！\n……	조사관, 조심해!!!...	ผู้ตรวจการ ระวัง!!!\n…
4	CS_plot_1001021	1	6100	0	0	1	我是全宇宙最聪明机智可爱的天才美少女——艾可！	我是全宇宙最聰明機智可愛的天才美少女——艾可！	I'm the smartest, wittiest, and loveliest genius girl in the entire universe—I'm Echo!	宇宙一キュートでスマートな天才美少女、このアイコ様なんだもん！	나로 말할 것 같으면, 전 우주의 최고로 똑똑한 재치만점의 귀여운 미소녀——에코야!	ฉัน​คือ​สาวน้อย​อัจฉริยะ​ที่​ฉลาด​และ​น่ารัก​ที่สุด​ใน​จักรวาล​—​เอ​ค​โค​!​
5	CS_plot_1002041	1	1000	0	0	1	来的正是时候。	來的正是時候。	Just in time.	いいタイミングにきたわ。	딱 맞춰 왔군.	มาได้เวลาพอดี
6	CS_plot_1002041	8500	11000	0	0	1	来，速战速决吧！	來，速戰速決吧！	Come on, let's make it quick!	よし。さっさと片付けようじゃない。	가자, 속전속결이야!	มา รีบจบเรื่องเถอะ!
7	CS_plot_1002051	1000	4380	0	0	1	什，什么啊？！咳咳……好呛……	什，什麼啊？！咳咳……好嗆……	Wh-what? *Cough* Ca–n't... breathe...	何があったの？ゴホゴホ……煙がすごい。	뭐, 뭣?! 콜록콜록... 숨 막혀...	ว่า​ ว่า​ไง​นะ​?!​ แค่​ก​แค่​ก.​..​สำลัก​เลย​...​
8	CS_plot_1002051	6410	17550	0	0	1	啊啊……烦死了，这些家伙比我想的要厉害……计划被打乱了，好讨厌啊！	啊啊……煩死了，這些傢伙比我想的要厲害……計畫被打亂了，好討厭啊！	Ugh... These guys are tougher than I anticipated... My plans have been disrupted. How frustrating!	あーあめんどくせぇ…こいつら、思ったより手強いな……計画がめちゃくちゃだ、クソッ！	아아... 귀찮아 죽겠네, 이 자식들 내가 생각했던 것 보다 강하잖아... 계획이 다 틀어졌어. 진짜 짜증나!	อ๋า​าา​...​ยุ่งยาก​จริง​ เจ้า​พวก​นี้​เก่​งก​ว่าที่​ฉัน​คิด​ไว้​...​แผนการ​โดน​พัง​ยับ​หมด​แล้ว​ น่า​โมโห​ชะมัด​!​
9	CS_plot_1002051	18020	22350	0	0	1	真不想和他们见面啊，讨厌……才不想被他们看到呢！	真不想和他們見面啊，討厭……才不想被他們看到呢！	I really don't want to meet them, so annoying... I don't want them to see me either!	嫌だな……姿を見られたくないな……あーあやだやだ。	짜증나...걔네랑 만나기 싫어, 걔네한테 보여주기 싫다니깐!	ไม่​อยาก​เจอ​พวกเขา​เลย​จริงๆ​ น่า​โมโห​...​ไม่​ได้​อยาก​ให้​พวกเขา​เจอ​ตัว​เลย​!​
