id	resourcePath	describe	status
int	int	int	int
1	Arts/Quest/MapThumbIcons	小地图资源	1
2	Arts/Quest/Worldmap	大地图资源	1
3	Arts/Quest/Battlemap	出战地图	1
4	Arts/Quest/TerrainIcon	地形资源	1
5	Arts/Quest/ConditionIcon	出战条件资源	1
6	Arts/Icons/Goods	道具图标	1
7	Arts/Icons/Equipment	装备图标资源（图标）	1
8	Arts/Icons/Equip/Big	装备图标资源（大）	1
9	Arts/Role/equip/Small	装备图标资源（图标）	1
10	Arts/Role/equip/Big	幻象牌图标资源（大）	1
11	Arts/Role/Talent	天赋图标资源	1
12	Arts/Role/Skill	技能图标资源	1
13	Arts/Icons/Head	道具头像	1
15	Arts/Role/Lihui	卡牌立绘	1
16	Arts/Role/Skill/Buff	buff资源	1
17	Arts/Role/Vocation	职业图标	1
18	Arts/Icons/CardHead	列表头像和战斗头像	1
19	Arts/Instance/Pve	PVE副本资源	1
20	Arts/Loading	loading图片资源	1
21	Arts/battleHaed/actionHead	战中行动条头像	1
22	Arts/battleHaed/battleBossHead	战中BOSS头像	1
23	Arts/Cardpool/BasisPool	基础卡池资源	1
24	Arts/battleHaed/cutingHead	cuting头像上传	1
25	Arts/Instance/Course	教程图上传	1
26	Arts/Icons/BattleSelectionItem	日常副本入口图片	1
27	Arts/Role/equip/label	装备标签路径	1
28	Arts/Role/CultivateBg	武装卡面	1
29	Arts/Instance/Threadscene	主线场景	1
30	Arts/Maze/Maze_Buff	迷宫BUFF资源	1
31	Arts/Maze/Maze_debuff	迷宫debuff资源	1
32	Arts/Maze/Maze_item	迷宫道具资源	1
33	Prefabs/ChapterTimeline	剧情timeline	1
34	Arts/GachaponRes/10001	卡池背景图/标签图	1
35	Arts/Instance/Bigpic	章节的大图	1
36	Arts/Role/Kardskill	合卡技图标	1
37	Timeline/Prefab	剧情表	1
38	Arts/Icons/CompanyLogo	公司LOGO	1
39	Arts/Icons/StoreIcon	商店资源	1
40	Arts/Role/HalfLihui	半身立绘	1
41	Arts/Textures/MainChapter	主线剧情地图	1
42	Arts/ChapterRes/Guide	引导用小人	1
43	Arts/IllustratedHandbookProfile/role	角色图鉴	1
44	Arts/IllustratedHandbookProfile/cg	卡牌CG	1
45	Arts/Role/equip/TarotBig	装备大图	1
48	Arts/Role/RolePlot	剧情副本角色头像	1
49	Arts/Role/Lihui	剧情副本角色立绘	1
50	UIAtlas/IllustratedHandbook	图鉴角色势力图标	1
51	Arts/ChapterRes/Npc/headicon	剧情头像图标	1
52	UIAtlas/BeginnerEvent/Home	新手训练图标	1
53	Arts/Icons/Giftgoods	角色礼物道具	1
54	Arts/Icons/CatFeeling	角色好感度图标	1
55	Arts/battleHaed/GachaCoinBossDrawing	抽卡道具副本	1
56	Arts/ChapterRes/Npc	角色剧情立绘	1
57	Arts/ChapterRewardCG	剧情背景图	1
58	Arts/Icons/Attribute	属性图标	1
59	Arts/Icons/Worldboss	世界BOSS资源	1
60	Arts/Icons/Upgrade	解锁功能图标	1
61	Arts/Icons/Portrait	头像和头像框	1
62	Arts/Icons/Stickers	头像贴纸	1
63	ChapterOutput/TLPrefabs	新导出的timeline剧情	1
64	Arts/Icons/Entrusticon	委托图标	1
65	Arts/Prefab_cat/Prefab_catparts	猫咪部件	1
66	Scenes/bamboo_forest_01/prefab	PT本场景物件	1
67	Arts/Icons/levelGain	关卡资源图标资源	1
68	Arts/Textures/BattleSelection	行动资源入口	1
69	Arts/Instance/action	行动的背景图	1
70	Arts/Textures/InvestigateMap	调查的小地图	1
71	Arts/Icons/Evidence	证物道具素材	1
72	UIAtlas/BattleSelection/FightMap	日常副本新入口图片	1
