id	name	path	status
int	int	int	int
1	cultivate01	Scenes/cultivate01.unity	1
2	SweetHome_sun	Scenes/SweetHome_sun.unity	1
3	SweetHome_cloudy	Scenes/SweetHome_cloudy.unity	1
5	fightmap01	Scenes/fightmap01.unity	1
6	fightmap02	Scenes/fightmap02.unity	1
7	fightmap03	Scenes/fightmap03.unity	1
8	fightmap04	Scenes/fightmap04.unity	1
9	fightmap05	Scenes/fightmap05.unity	1
10	fightmap06	Scenes/fightmap06.unity	1
11	fightmap07	Scenes/fightmap07.unity	1
13	Cat_Draw01	Scenes/Cat_Draw01/Cat_Draw01.unity	1
14	WB_Magicbox01	Scenes/WB_Magicbox01.unity	1
15	Bamboo_forest	Scenes/Bamboo_forest.unity	1
16	cat_room	Scenes/cat_room.unity	1
17	BFightmap03	Scenes/BFightmap03.unity	1
18	fish_gulf	Scenes/fish_gulf.unity	1
19	bg_gacha_room_inside	Scenes/bg_gacha_room_inside.unity	1
20	bg_gacha_room_outside	Scenes/bg_gacha_room_outside.unity	1
21	catroom_inside	Scenes/catroom_inside.unity	1
22	BFightmap02	Scenes/BFightmap02	1
23	CatEgg_incubation	Scenes/CatEgg_incubation.unity	1
24	Cat_Grow	Scenes/Cat_Grow.unity	1
25	Cat_Guide	Scenes/Cat_Guide.unity	1
26	fish_lakePark	Scenes/fish_lakePark.unity	1
27	fish_platinumCoast	Scenes/fish_platinumCoast.unity	1
28	fish_seashore	Scenes/fish_seashore.unity	1
29	TacticalPlatform	Scenes/TacticalPlatform.unity	1
30	fish_lakeMuSen	Scenes/fish_lakeMuSen.unity	1
31	fish_afterGlow	Scenes/fish_afterGlow.unity	1
32	ChooseGender01	Scenes/ChooseGender01.unity	1
34	Bamboomain	Scenes/Bamboomain.unity	1
35	fish_gulf_Halloween	Scenes/fish_gulf_Halloween.unity	1
36	fish_hotelVictor	Scenes/fish_hotelVictor.unity	1
37	springfestival_scene_2023	Scenes/springfestival_scene_2023.unity	1
39	springfestival_maze_1	Scenes/springfestival_maze_1.unity	1
40	springfestival_maze_2	Scenes/springfestival_maze_2.unity	1
41	springfestival_maze_3	Scenes/springfestival_maze_3.unity	1
42	springfestival_maze_4	Scenes/springfestival_maze_4.unity	1
44	SweetHome_sun	Scenes/SweetHome_sun.unity	1
45	MainMenuOversea	Scenes/MainMenuOversea.unity	1
46	MaidCoffee_night	Scenes/MaidCoffee_night.unity	1
47	Mooncity	Scenes/Mooncity.unity	1
48	catroom_inside_oversea	Scenes/catroom_inside_oversea.unity	1
49	DreamSpace001	Scenes/DreamSpace001.unity	1
50	fish_gulf_NanGang	Scenes/fish_gulf_NanGang.unity	1
51	fish_JiuCheng	Scenes/fish_JiuCheng.unity	1
52	fish_platinumCoast_ZhongXin	Scenes/fish_platinumCoast_ZhongXin.unity	1
53	fish_seashore_cyber	Scenes/fish_seashore_cyber.unity	1
54	IdolLive3D	Scenes/IdolLive3D.unity	1
55	MirroSpace_01	Scenes/MirroSpace_01.unity	1
57	GVGMapScene	Scenes/GVGmap/GVGMapScene.unity	1
