id	icon	group	type	costItem	costNum	costNumLose	SceneId	rounds	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
290101	103:train_ico_01	1	1	0	0	0	30301	10	1	单机器人测试	單機器人測試	Solo Bot	単対象テスト	단일 로봇 시뮬레이터	ทดสอบกับ AI แบบเดี่ยว	记录伤害数据	記錄傷害資料	Records DMG Data	ダメージデータ記録	대미지 데이터 기록	บันทึกข้อมูลดาเมจ
290102	103:train_ico_01	1	2	0	0	0	30301	10	1	单机器人测试	單機器人測試	Solo Bot	単対象テスト	단일 로봇 시뮬레이터	ทดสอบกับ AI แบบเดี่ยว	记录伤害数据	記錄傷害資料	Records DMG Data	ダメージデータ記録	대미지 데이터 기록	บันทึกข้อมูลดาเมจ
290103	103:train_ico_01	1	3	0	0	0	30301	10	1	单机器人测试	單機器人測試	Solo Bot	単対象テスト	단일 로봇 시뮬레이터	ทดสอบกับ AI แบบเดี่ยว	记录伤害数据	記錄傷害資料	Records DMG Data	ダメージデータ記録	대미지 데이터 기록	บันทึกข้อมูลดาเมจ
290104	103:train_ico_01	1	4	0	0	0	30301	10	1	单机器人测试	單機器人測試	Solo Bot	単対象テスト	단일 로봇 시뮬레이터	ทดสอบกับ AI แบบเดี่ยว	记录伤害数据	記錄傷害資料	Records DMG Data	ダメージデータ記録	대미지 데이터 기록	บันทึกข้อมูลดาเมจ
290105	103:train_ico_01	1	5	0	0	0	30301	10	1	单机器人测试	單機器人測試	Solo Bot	単対象テスト	단일 로봇 시뮬레이터	ทดสอบกับ AI แบบเดี่ยว	记录伤害数据	記錄傷害資料	Records DMG Data	ダメージデータ記録	대미지 데이터 기록	บันทึกข้อมูลดาเมจ
290201	103:train_ico_02	2	1	0	0	0	30301	10	1	多机器人测试	多機器人測試	Multi Bot	多対象テスト	다중 로봇 시뮬레이터	ทดสอบกับ AI แบบกลุ่ม	记录伤害数据	記錄傷害資料	Records DMG Data	ダメージデータ記録	대미지 데이터 기록	บันทึกข้อมูลดาเมจ
290202	103:train_ico_02	2	2	0	0	0	30301	10	1	多机器人测试	多機器人測試	Multi Bot	多対象テスト	다중 로봇 시뮬레이터	ทดสอบกับ AI แบบกลุ่ม	记录伤害数据	記錄傷害資料	Records DMG Data	ダメージデータ記録	대미지 데이터 기록	บันทึกข้อมูลดาเมจ
290203	103:train_ico_02	2	3	0	0	0	30301	10	1	多机器人测试	多機器人測試	Multi Bot	多対象テスト	다중 로봇 시뮬레이터	ทดสอบกับ AI แบบกลุ่ม	记录伤害数据	記錄傷害資料	Records DMG Data	ダメージデータ記録	대미지 데이터 기록	บันทึกข้อมูลดาเมจ
290204	103:train_ico_02	2	4	0	0	0	30301	10	1	多机器人测试	多機器人測試	Multi Bot	多対象テスト	다중 로봇 시뮬레이터	ทดสอบกับ AI แบบกลุ่ม	记录伤害数据	記錄傷害資料	Records DMG Data	ダメージデータ記録	대미지 데이터 기록	บันทึกข้อมูลดาเมจ
290205	103:train_ico_02	2	5	0	0	0	30301	10	1	多机器人测试	多機器人測試	Multi Bot	多対象テスト	다중 로봇 시뮬레이터	ทดสอบกับ AI แบบกลุ่ม	记录伤害数据	記錄傷害資料	Records DMG Data	ダメージデータ記録	대미지 데이터 기록	บันทึกข้อมูลดาเมจ
290301	103:train_ico_03	3	1	0	0	0	30301	10	1	AI机器人对战	AI機器人對戰	AI Practice	AI対戦	AI 로봇 시뮬레이터	ต่อสู้กับ AI	记录战斗数据	記錄戰鬥資料	Records Combat Data	戦闘データ記録	전투 데이터 기록	บันทึกข้อมูลการต่อสู้
290302	103:train_ico_03	3	2	0	0	0	30301	10	1	AI机器人对战	AI機器人對戰	AI Practice	AI対戦	AI 로봇 시뮬레이터	ต่อสู้กับ AI	记录战斗数据	記錄戰鬥資料	Records Combat Data	戦闘データ記録	전투 데이터 기록	บันทึกข้อมูลการต่อสู้
290303	103:train_ico_03	3	3	0	0	0	30301	10	1	AI机器人对战	AI機器人對戰	AI Practice	AI対戦	AI 로봇 시뮬레이터	ต่อสู้กับ AI	记录战斗数据	記錄戰鬥資料	Records Combat Data	戦闘データ記録	전투 데이터 기록	บันทึกข้อมูลการต่อสู้
290304	103:train_ico_03	3	4	0	0	0	30301	10	1	AI机器人对战	AI機器人對戰	AI Practice	AI対戦	AI 로봇 시뮬레이터	ต่อสู้กับ AI	记录战斗数据	記錄戰鬥資料	Records Combat Data	戦闘データ記録	전투 데이터 기록	บันทึกข้อมูลการต่อสู้
290305	103:train_ico_03	3	5	0	0	0	30301	10	1	AI机器人对战	AI機器人對戰	AI Practice	AI対戦	AI 로봇 시뮬레이터	ต่อสู้กับ AI	记录战斗数据	記錄戰鬥資料	Records Combat Data	戦闘データ記録	전투 데이터 기록	บันทึกข้อมูลการต่อสู้
