taskAchId	taskBelong	before	taskContentType	taskContentId	taskContenNum	resetType	rewardId	rewardNum	openType	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
90001	2	0	251	2	1	0	4197002;3000003	10;50000	0	1	天梯达到D	天梯達到D	Reach Division D in the Arena.	アリーナランクがDに達する	래더 랭크 D달성	สกายอารีน่าถึง D
90002	3	90001	251	3	1	0	3000011;4197002;3000003	500;20;100000	0	1	天梯达到C	天梯達到C	Reach Division C in the Arena.	アリーナランクがCに達する	래더 랭크 C달성	สกายอารีน่าถึง C
90003	4	90002	251	4	1	0	3000002;3000011;4197002;3000003	200;1000;30;200000	0	1	天梯达到B	天梯達到B	Reach Division B in the Arena.	アリーナランクがBに達する	래더 랭크 B달성	สกายอารีน่าถึง B
90004	5	90003	251	5	1	0	3000002;3000011;4197002;3000003	300;2000;40;400000	0	1	天梯达到A	天梯達到A	Reach Division A in the Arena.	アリーナランクがAに達する	래더 랭크 A달성	สกายอารีน่าถึง A
90005	6	90004	251	6	1	0	3000002;3000011;4197002;3000003	400;4000;50;800000	0	1	天梯达到S	天梯達到S	Reach Division S in the Arena.	アリーナランクがSに達する	래더 랭크 S달성	สกายอารีน่าถึง S
90006	0	0	252	0	5	2	4190001;3000011;3000003	10;100;50000	0	1	累计参与5场	累計參與5場	Complete 5 battles in total.	累計5回参加する	누적 참여 5회	เข้าร่วมสะสม 5 ครั้ง
90007	0	0	252	0	10	2	4190001;3000011;3000003	20;200;100000	0	1	累计参与10场	累計參與10場	Complete 10 battles in total.	累計10回参加する	누적 참여 10회	เข้าร่วม​สะสม​ 10​ ครั้ง​
90008	0	90007	252	0	20	2	4190001;3000011;3000003	40;400;200000	0	1	累计参与20场	累計參與20場	Complete 20 battles in total.	累計20回参加する	누적 참여 20회	เข้าร่วม​สะสม​ 20​ ครั้ง​
90009	0	90008	252	0	30	2	4190001;3000011;3000003	60;600;300000	0	1	累计参与30场	累計參與30場	Complete 30 battles in total.	累計30回参加する	누적 참여 30회	เข้าร่วม​สะสม​ 30​ ครั้ง​
90010	0	90008	252	0	50	2	4190001;3000011;3000003	100;1000;500000	0	1	累计参与50场	累計參與50場	Complete 50 battles in total.	累計50回参加する	누적 참여 50회	เข้าร่วม​สะสม​ 50​ ครั้ง​
90011	0	90008	252	0	100	2	4190001;3000011;3000003	200;2000;1000000	0	1	累计参与100场	累計參與100場	Complete 100 battles in total.	累計100回参加する	누적 참여 100회	เข้าร่วม​สะสม​ 100​ ครั้ง​
90012	0	90008	252	0	150	2	4190001;3000011;3000003	400;4000;2000000	0	1	累计参与150场	累計參與150場	Complete 150 battles in total.	累計150回参加する	누적 참여 150회	เข้าร่วม​สะสม​ 150​ ครั้ง​
