id	rank	starPVP	icon	scoreBegin	scoreMinus	prizeId	prizeNum	successScroce	winScore	loseScore	winItem	winItemNum	loseItem	loseItemNum	failNum	gradeMail	status	name1	name1_zh_TW	name1_en_UK	name1_ja_JP	name1_ko_KR	name1_th_TH	name2	name2_zh_TW	name2_en_UK	name2_ja_JP	name2_ko_KR	name2_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	122:duel_settlement_position_e.png	1000	0	4190001;4197002	100;8	2	10	0	3000011	5	3000011	2	1	33001	1	E	E	E	E	E	E	新晋调查官Ⅰ	新晉調查官Ⅰ	Rookie Inspector I	ルーキー	신입 조사관Ⅰ	ผู้ตรวจการมือใหม่ Ⅰ
2	2	1	122:duel_settlement_position_d.png	1030	0	4190001;4197002;3000003	350;8;10000	2	10	2	3000011	5	3000011	2	2	33006	1	D	D	D	D	D	D	见习调查官Ⅰ	見習調查官Ⅰ	Novice Inspector I	ブロンズⅠ	견습 조사관Ⅰ	ผู้ตรวจการฝึกหัด Ⅰ
3	2	2	122:duel_settlement_position_d.png	1050	20	4190001;4197002;3000003	400;10;20000	2	10	2	3000011	5	3000011	2	2	33007	1	D	D	D	D	D	D	见习调查官Ⅱ	見習調查官Ⅱ	Novice Inspector II	ブロンズⅡ	견습 조사관Ⅱ	ผู้ตรวจการฝึกหัด Ⅱ
4	3	1	122:duel_settlement_position_c.png	1080	0	4190001;4197002;3000011;3000003	600;12;300;60000	2	10	3	3000011	5	3000011	2	2	33011	1	C	C	C	C	C	C	新锐调查官Ⅰ	新銳調查官Ⅰ	Rising Inspector I	シルバーⅠ	신예 조사관Ⅰ	ผู้ตรวจการดาวรุ่ง Ⅰ
5	3	2	122:duel_settlement_position_c.png	1110	30	4190001;4197002;3000011;3000003	650;14;400;80000	2	10	3	3000011	5	3000011	2	2	33012	1	C	C	C	C	C	C	新锐调查官Ⅱ	新銳調查官Ⅱ	Rising Inspector II	シルバーⅡ	신예 조사관Ⅱ	ผู้ตรวจการดาวรุ่ง Ⅱ
6	3	3	122:duel_settlement_position_c.png	1150	70	4190001;4197002;3000011;3000003	700;16;500;100000	2	10	3	3000011	5	3000011	2	2	33013	1	C	C	C	C	C	C	新锐调查官Ⅲ	新銳調查官Ⅲ	Rising Inspector III	シルバーⅢ	신예 조사관Ⅲ	ผู้ตรวจการดาวรุ่ง Ⅲ
7	4	1	122:duel_settlement_position_b.png	1200	0	3000002;4190001;4197002;3000011;3000003	300;850;22;800;160000	3	10	3	3000011	5	3000011	2	3	33016	1	B	B	B	B	B	B	卓越调查官Ⅰ	卓越調查官Ⅰ	Veteran Inspector I	ゴールドⅠ	우수 조사관Ⅰ	ผู้ตรวจการยอดฝีมือ Ⅰ
8	4	2	122:duel_settlement_position_b.png	1250	50	3000002;4190001;4197002;3000011;3000003	320;900;24;1000;200000	3	10	3	3000011	5	3000011	2	3	33017	1	B	B	B	B	B	B	卓越调查官Ⅱ	卓越調查官Ⅱ	Veteran Inspector II	ゴールドⅡ	우수 조사관Ⅱ	ผู้ตรวจการยอดฝีมือ Ⅱ
9	4	3	122:duel_settlement_position_b.png	1300	100	3000002;4190001;4197002;3000011;3000003	340;950;26;1200;240000	3	10	3	3000011	5	3000011	2	3	33018	1	B	B	B	B	B	B	卓越调查官Ⅲ	卓越調查官Ⅲ	Veteran Inspector III	ゴールドⅢ	우수 조사관Ⅲ	ผู้ตรวจการยอดฝีมือ Ⅲ
10	4	4	122:duel_settlement_position_b.png	1350	150	3000002;4190001;4197002;3000011;3000003	360;1000;28;1400;280000	3	10	3	3000011	5	3000011	2	3	33019	1	B	B	B	B	B	B	卓越调查官Ⅳ	卓越調查官Ⅳ	Veteran Inspector IV	ゴールドⅣ	우수 조사관Ⅳ	ผู้ตรวจการยอดฝีมือ Ⅳ
11	5	1	122:duel_settlement_position_a.png	1460	260	3000002;4190001;4197002;3000011;3000003	400;1100;33;1800;360000	3	10	4	3000011	5	3000011	2	4	33021	1	A	A	A	A	A	A	传奇调查官Ⅰ	傳奇調查官Ⅰ	Legendary Inspector I	プラチナⅠ	레전드 조사관Ⅰ	ผู้ตรวจการในตำนาน Ⅰ
12	5	2	122:duel_settlement_position_a.png	1520	320	3000002;4190001;4197002;3000011;3000003	430;1150;36;2000;420000	3	10	4	3000011	5	3000011	2	4	33022	1	A	A	A	A	A	A	传奇调查官Ⅱ	傳奇調查官Ⅱ	Legendary Inspector II	プラチナⅡ	레전드 조사관Ⅱ	ผู้ตรวจการในตำนาน Ⅱ
