id	group	floor	reward	rewardNum	stock	grandReward	weight	minimum	leastCallTimes	highLight	status
int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	4190001	200	1	1	1000	24	5	1	1
2	1	1	4103003	2	1	0	50				1
3	1	1	4101002	2	1	0	100				1
4	1	1	4110001	10	3	0	100				1
5	1	1	4198002	2	1	0	100				1
6	1	1	4198001	20	1	0	100				1
7	1	1	4197002	3	1	0	100				1
8	1	1	3000018	100	1	0	100				1
9	1	1	4199001	10	1	0	100				1
10	1	1	4199002	10	1	0	100				1
11	1	1	4100032	1	1	0	100				1
12	1	1	4102901	1	1	0	100				1
13	1	1	4102501	50	2	0	100				1
14	1	1	4102401	50	2	0	100				1
15	1	1	4102301	100	2	0	100				1
16	1	1	4102201	100	2	0	100				1
17	1	1	4102101	100	2	0	100				1
18	1	1	4101001	10	1	0	100				1
19	1	2	4190004	100	1	1	1000	24	6	1	1
20	1	2	4103003	2	1	0	50				1
21	1	2	4101002	2	1	0	100				1
22	1	2	4110001	10	3	0	100				1
23	1	2	4198002	2	1	0	100				1
24	1	2	4198001	20	1	0	100				1
25	1	2	4197002	3	1	0	100				1
26	1	2	3000018	100	1	0	100				1
27	1	2	4199001	10	1	0	100				1
28	1	2	4199002	10	1	0	100				1
29	1	2	4100032	1	1	0	100				1
30	1	2	4102901	1	1	0	100				1
31	1	2	4102501	50	2	0	100				1
32	1	2	4102401	50	2	0	100				1
33	1	2	4102301	100	2	0	100				1
34	1	2	4102201	100	2	0	100				1
35	1	2	4102101	100	2	0	100				1
36	1	2	4101001	10	1	0	100				1
37	1	3	4190001	200	1	1	1000	24	7	1	1
38	1	3	4103003	2	1	0	50				1
39	1	3	4101002	2	1	0	100				1
40	1	3	4110001	10	3	0	100				1
41	1	3	4198002	2	1	0	100				1
42	1	3	4198001	20	1	0	100				1
43	1	3	4197002	3	1	0	100				1
44	1	3	3000018	100	1	0	100				1
45	1	3	4199001	10	1	0	100				1
46	1	3	4199002	10	1	0	100				1
47	1	3	4100032	1	1	0	100				1
48	1	3	4102901	1	1	0	100				1
49	1	3	4102501	50	2	0	100				1
50	1	3	4102401	50	2	0	100				1
51	1	3	4102301	100	2	0	100				1
52	1	3	4102201	100	2	0	100				1
53	1	3	4102101	100	2	0	100				1
54	1	3	4101001	10	1	0	100				1
55	1	4	4190004	100	1	1	1000	24	8	1	1
56	1	4	4103003	2	1	0	50				1
57	1	4	4101002	2	1	0	100				1
58	1	4	4110001	10	3	0	100				1
59	1	4	4198002	2	1	0	100				1
60	1	4	4198001	20	1	0	100				1
61	1	4	4197002	3	1	0	100				1
62	1	4	3000018	100	1	0	100				1
63	1	4	4199001	10	1	0	100				1
64	1	4	4199002	10	1	0	100				1
65	1	4	4100032	1	1	0	100				1
66	1	4	4102901	1	1	0	100				1
67	1	4	4102501	50	2	0	100				1
68	1	4	4102401	50	2	0	100				1
69	1	4	4102301	100	2	0	100				1
70	1	4	4102201	100	2	0	100				1
71	1	4	4102101	100	2	0	100				1
72	1	4	4101001	10	1	0	100				1
73	1	5	4103003	5	1	1	1000	24	15	1	1
74	1	5	5100001	2	1	0	50				1
75	1	5	4101002	2	1	0	100				1
76	1	5	4110001	10	3	0	100				1
77	1	5	4198002	2	1	0	100				1
78	1	5	4198001	20	1	0	100				1
79	1	5	4197002	3	1	0	100				1
80	1	5	3000018	100	1	0	100				1
81	1	5	4199001	10	1	0	100				1
82	1	5	4199002	10	1	0	100				1
83	1	5	4100032	1	1	0	100				1
84	1	5	4102901	1	1	0	100				1
85	1	5	4102501	50	2	0	100				1
86	1	5	4102401	50	2	0	100				1
87	1	5	4102301	100	2	0	100				1
88	1	5	4102201	100	2	0	100				1
89	1	5	4102101	100	2	0	100				1
90	1	5	4101001	10	1	0	100				1
91	1	6	4190001	200	1	1	1000	24	8	1	1
92	1	6	4103003	2	1	0	50				1
93	1	6	4101002	2	1	0	100				1
94	1	6	4110001	10	3	0	100				1
95	1	6	4198002	2	1	0	100				1
96	1	6	4198001	20	1	0	100				1
97	1	6	4197002	3	1	0	100				1
98	1	6	3000018	100	1	0	100				1
99	1	6	4199001	10	1	0	100				1
100	1	6	4199002	10	1	0	100				1
101	1	6	4100032	1	1	0	100				1
102	1	6	4102901	1	1	0	100				1
103	1	6	4102501	50	2	0	100				1
104	1	6	4102401	50	2	0	100				1
105	1	6	4102301	100	2	0	100				1
106	1	6	4102201	100	2	0	100				1
107	1	6	4102101	100	2	0	100				1
108	1	6	4101001	10	1	0	100				1
109	1	7	4190004	100	1	1	1000	24	9	1	1
110	1	7	4103003	2	1	0	50				1
111	1	7	4101002	2	1	0	100				1
112	1	7	4110001	10	3	0	100				1
113	1	7	4198002	2	1	0	100				1
114	1	7	4198001	20	1	0	100				1
115	1	7	4197002	3	1	0	100				1
116	1	7	3000018	100	1	0	100				1
117	1	7	4199001	10	1	0	100				1
118	1	7	4199002	10	1	0	100				1
119	1	7	4100032	1	1	0	100				1
120	1	7	4102901	1	1	0	100				1
121	1	7	4102501	50	2	0	100				1
122	1	7	4102401	50	2	0	100				1
123	1	7	4102301	100	2	0	100				1
124	1	7	4102201	100	2	0	100				1
125	1	7	4102101	100	2	0	100				1
126	1	7	4101001	10	1	0	100				1
127	1	8	4190001	200	1	1	1000	24	11	1	1
128	1	8	4103003	2	1	0	50				1
129	1	8	4101002	2	1	0	100				1
130	1	8	4110001	10	3	0	100				1
131	1	8	4198002	2	1	0	100				1
132	1	8	4198001	20	1	0	100				1
133	1	8	4197002	3	1	0	100				1
134	1	8	3000018	100	1	0	100				1
135	1	8	4199001	10	1	0	100				1
136	1	8	4199002	10	1	0	100				1
137	1	8	4100032	1	1	0	100				1
138	1	8	4102901	1	1	0	100				1
139	1	8	4102501	50	2	0	100				1
140	1	8	4102401	50	2	0	100				1
141	1	8	4102301	100	2	0	100				1
142	1	8	4102201	100	2	0	100				1
143	1	8	4102101	100	2	0	100				1
144	1	8	4101001	10	1	0	100				1
145	1	9	4190004	200	1	1	1000	24	13	1	1
146	1	9	4103003	2	1	0	50				1
147	1	9	4101002	2	1	0	100				1
148	1	9	4110001	10	3	0	100				1
149	1	9	4198002	2	1	0	100				1
150	1	9	4198001	20	1	0	100				1
151	1	9	4197002	3	1	0	100				1
152	1	9	3000018	100	1	0	100				1
153	1	9	4199001	10	1	0	100				1
154	1	9	4199002	10	1	0	100				1
155	1	9	4100032	1	1	0	100				1
156	1	9	4102901	1	1	0	100				1
157	1	9	4102501	50	2	0	100				1
158	1	9	4102401	50	2	0	100				1
159	1	9	4102301	100	2	0	100				1
160	1	9	4102201	100	2	0	100				1
161	1	9	4102101	100	2	0	100				1
162	1	9	4101001	10	1	0	100				1
163	1	10	4103003	5	1	1	1000	24	15	1	1
164	1	10	5100001	2	1	0	50				1
165	1	10	4101002	2	1	0	100				1
166	1	10	4110001	10	3	0	100				1
167	1	10	4198002	2	1	0	100				1
168	1	10	4198001	20	1	0	100				1
169	1	10	4197002	3	1	0	100				1
170	1	10	3000018	100	1	0	100				1
171	1	10	4199001	10	1	0	100				1
172	1	10	4199002	10	1	0	100				1
173	1	10	4100032	1	1	0	100				1
174	1	10	4102901	1	1	0	100				1
175	1	10	4102501	50	2	0	100				1
176	1	10	4102401	50	2	0	100				1
177	1	10	4102301	100	2	0	100				1
178	1	10	4102201	100	2	0	100				1
179	1	10	4102101	100	2	0	100				1
180	1	10	4101001	10	1	0	100				1
181	1	11	4190001	200	1	1	1000	24	1	1	1
182	1	11	4103003	2	1	0	50				1
183	1	11	4101002	2	1	0	100				1
184	1	11	4110001	10	3	0	100				1
185	1	11	4198002	2	1	0	100				1
186	1	11	4198001	20	1	0	100				1
187	1	11	4197002	3	1	0	100				1
188	1	11	3000018	100	1	0	100				1
189	1	11	4199001	10	1	0	100				1
190	1	11	4199002	10	1	0	100				1
191	1	11	4100032	1	1	0	100				1
192	1	11	4102901	1	1	0	100				1
193	1	11	4102501	50	2	0	100				1
194	1	11	4102401	50	2	0	100				1
195	1	11	4102301	100	2	0	100				1
196	1	11	4102201	100	2	0	100				1
197	1	11	4102101	100	2	0	100				1
198	1	11	4101001	10	1	0	100				1
199	1	12	4190004	200	1	1	1000	24	12	1	1
200	1	12	4103003	2	1	0	50				1
201	1	12	4101002	2	1	0	100				1
202	1	12	4110001	10	3	0	100				1
203	1	12	4198002	2	1	0	100				1
204	1	12	4198001	20	1	0	100				1
205	1	12	4197002	3	1	0	100				1
206	1	12	3000018	100	1	0	100				1
207	1	12	4199001	10	1	0	100				1
208	1	12	4199002	10	1	0	100				1
209	1	12	4100032	1	1	0	100				1
210	1	12	4102901	1	1	0	100				1
211	1	12	4102501	50	2	0	100				1
212	1	12	4102401	50	2	0	100				1
213	1	12	4102301	100	2	0	100				1
214	1	12	4102201	100	2	0	100				1
215	1	12	4102101	100	2	0	100				1
216	1	12	4101001	10	1	0	100				1
217	1	13	4190001	200	1	1	1000	24	14	1	1
218	1	13	4103003	2	1	0	50				1
219	1	13	4101002	2	1	0	100				1
220	1	13	4110001	10	3	0	100				1
221	1	13	4198002	2	1	0	100				1
222	1	13	4198001	20	1	0	100				1
223	1	13	4197002	3	1	0	100				1
224	1	13	3000018	100	1	0	100				1
225	1	13	4199001	10	1	0	100				1
226	1	13	4199002	10	1	0	100				1
227	1	13	4100032	1	1	0	100				1
228	1	13	4102901	1	1	0	100				1
229	1	13	4102501	50	2	0	100				1
230	1	13	4102401	50	2	0	100				1
231	1	13	4102301	100	2	0	100				1
232	1	13	4102201	100	2	0	100				1
233	1	13	4102101	100	2	0	100				1
234	1	13	4101001	10	1	0	100				1
235	1	14	4190004	300	1	1	1000	24	16	1	1
236	1	14	4103003	2	1	0	50				1
237	1	14	4101002	2	1	0	100				1
238	1	14	4110001	10	3	0	100				1
239	1	14	4198002	2	1	0	100				1
240	1	14	4198001	20	1	0	100				1
241	1	14	4197002	3	1	0	100				1
242	1	14	3000018	100	1	0	100				1
243	1	14	4199001	10	1	0	100				1
244	1	14	4199002	10	1	0	100				1
245	1	14	4100032	1	1	0	100				1
246	1	14	4102901	1	1	0	100				1
247	1	14	4102501	50	2	0	100				1
248	1	14	4102401	50	2	0	100				1
249	1	14	4102301	100	2	0	100				1
250	1	14	4102201	100	2	0	100				1
251	1	14	4102101	100	2	0	100				1
252	1	14	4101001	10	1	0	100				1
253	1	15	4103003	8	1	1	1000	24	20	1	1
254	1	15	5100001	2	1	0	50				1
255	1	15	4101002	2	1	0	100				1
256	1	15	4110001	10	3	0	100				1
257	1	15	4198002	2	1	0	100				1
258	1	15	4198001	20	1	0	100				1
259	1	15	4197002	3	1	0	100				1
260	1	15	3000018	100	1	0	100				1
261	1	15	4199001	10	1	0	100				1
262	1	15	4199002	10	1	0	100				1
263	1	15	4100032	1	1	0	100				1
264	1	15	4102901	1	1	0	100				1
265	1	15	4102501	50	2	0	100				1
266	1	15	4102401	50	2	0	100				1
267	1	15	4102301	100	2	0	100				1
268	1	15	4102201	100	2	0	100				1
269	1	15	4102101	100	2	0	100				1
270	1	15	4101001	10	1	0	100				1
271	1	16	4190001	200	1	1	1000	24	10	1	1
272	1	16	4103003	2	1	0	50				1
273	1	16	4101002	2	1	0	100				1
274	1	16	4110001	10	3	0	100				1
275	1	16	4198002	2	1	0	100				1
276	1	16	4198001	20	1	0	100				1
277	1	16	4197002	3	1	0	100				1
278	1	16	3000018	100	1	0	100				1
279	1	16	4199001	10	1	0	100				1
280	1	16	4199002	10	1	0	100				1
281	1	16	4100032	1	1	0	100				1
282	1	16	4102901	1	1	0	100				1
283	1	16	4102501	50	2	0	100				1
284	1	16	4102401	50	2	0	100				1
285	1	16	4102301	100	2	0	100				1
