id	attackType	oneStarsPosition	oneStarsDirection	twoStarsPosition	twoStarsDirection	threeStarsPosition	threeStartDirection	threeStarsCam	mixTime	ifLook	ifOpenCam	ifLookTarget	endCam	skill3EndCam	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
61100001	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100002	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100003	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61110001	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100004	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100005	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100006	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100007	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100008	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100009	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100010	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100011	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100012	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100013	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100014	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100015	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100018	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100019	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100020	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100021	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61100022	1	0;1.76;-5.2	0;1.22;0	0;1.76;-5.2	0;1.22;0			61100004	0	0	0	0	0	0	1
61101001	1	0;1.8;-5	0;1.5;0	0;1.8;-5	0;1.5;0			101001_skill1_TL_new	0	0	0	0	1	0	1
62101001	1	0;1.8;-5	0;1.5;0	0;1.8;-5	0;1.5;0			101001_skill2_TL_new	0	0	0	0	1	0	1
63101001	1	0;1.8;-5	0;1.5;0	0;1.8;-5	0;1.5;0			61100004	0	0	0	0	0	0	1
61101002	1	0;1.8;-5	0;1.5;0	0;1.8;-5	0;1.5;0			101002_skill1_TL_new	0	0	0	0	1	0	1
