id	catId	probability	formula	status
int	int	int	int	int
3101	101	1	2101;2203;2306;2401;2503;2608	1
3102	101	1	2102;2207;2301;2410;2510;2606	1
3103	101	1	2109;2206;2308;2402;2507;2607	1
3104	101	1	2106;2210;2305;2406;2509;2610	1
3105	101	1	2101;2208;2307;2407;2508;2601	1
3106	101	1	2108;2201;2310;2401;2503;2603	1
3107	101	1	2110;2203;2303;2408;2502;2602	1
3108	101	1	2103;2202;2302;2403;2506;2608	1
3109	101	1	2101;2207;2303;2406;2501;2606	1
3110	101	1	2107;2206;2301;2408;2509;2610	1
3201	102	1	2103;2201;2302;2403;2501;2602	1
3202	102	1	2104;2204;2309;2405;2502;2607	1
3203	102	1	2102;2209;2307;2409;2510;2604	1
3204	102	1	2110;2205;2304;2407;2507;2609	1
3205	102	1	2105;2210;2310;2404;2505;2610	1
3206	102	1	2107;2202;2301;2401;2504;2603	1
3207	102	1	2103;2203;2302;2402;2505;2605	1
3208	102	1	2101;2207;2303;2410;2503;2601	1
3209	102	1	2102;2202;2309;2405;2504;2604	1
3210	102	1	2105;2201;2310;2404;2507;2607	1
3301	103	1	2105;2202;2303;2405;2502;2603	1
3302	103	1	2109;2204;2308;2408;2506;2606	1
3303	103	1	2106;2208;2306;2402;2509;2604	1
3304	103	1	2104;2205;2305;2406;2508;2608	1
3305	103	1	2108;2203;2304;2409;2505;2602	1
3306	103	1	2110;2206;2304;2403;2510;2609	1
3307	103	1	2102;2209;2302;2404;2503;2605	1
3308	103	1	2103;2205;2310;2408;2504;2605	1
3309	103	1	2108;2208;2309;2403;2503;2609	1
3310	103	1	2104;2204;2306;2409;2508;2608	1
3401	104	1	2107;2204;2309;2407;2504;2601	1
3402	104	1	2106;2206;2301;2401;2507;2610	1
3403	104	1	2108;2207;2305;2406;2501;2609	1
3404	104	1	2104;2208;2304;2410;2505;2605	1
3405	104	1	2101;2201;2308;2408;2506;2606	1
3406	104	1	2105;2209;2307;2407;2509;2604	1
3407	104	1	2109;2205;2306;2405;2508;2608	1
3408	104	1	2105;2210;2309;2404;2504;2607	1
3409	104	1	2106;2210;2305;2409;2501;2610	1
3410	104	1	2101;2207;2307;2406;2506;2609	1
