id	prefab	eye	mouth	figure	bodyColour	earColour	tailColour	infancyPrefab	infancyEye	infancyMouth	infancyFigure	infancyBodyColour	infancyEarColour	infancyTailColour	catEgg	ghostCatEgg	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	30101	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30100		1		C2B4A3	C2B4A4	C2B4A5	100_egg01	100_egg05	1
102	30201	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30200		1		C2B4A3	C2B4A4	C2B4A5	100_egg02	100_egg05	1
103	30301	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30300		1		C2B4A3	C2B4A4	C2B4A5	100_egg03	100_egg05	1
104	30401	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30400		1		C2B4A3	C2B4A4	C2B4A5	100_egg04	100_egg05	1
9910101	30101	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30100		1		C2B4A3	C2B4A4	C2B4A5	100_egg01	100_egg05	1
9910201	30201	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30200		1		C2B4A3	C2B4A4	C2B4A5	100_egg02	100_egg05	1
9910301	30301	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30300		1		C2B4A3	C2B4A4	C2B4A5	100_egg03	100_egg05	1
9910401	30401	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30400		1		C2B4A3	C2B4A4	C2B4A5	100_egg04	100_egg05	1
9910102	30101	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30100		1		C2B4A3	C2B4A4	C2B4A5	100_egg01	100_egg05	1
9910202	30201	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30200		1		C2B4A3	C2B4A4	C2B4A5	100_egg02	100_egg05	1
9910302	30301	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30300		1		C2B4A3	C2B4A4	C2B4A5	100_egg03	100_egg05	1
9910402	30401	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30400		1		C2B4A3	C2B4A4	C2B4A5	100_egg04	100_egg05	1
9910103	30101	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30100		1		C2B4A3	C2B4A4	C2B4A5	100_egg01	100_egg05	1
9910203	30201	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30200		1		C2B4A3	C2B4A4	C2B4A5	100_egg02	100_egg05	1
9910303	30301	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30300		1		C2B4A3	C2B4A4	C2B4A5	100_egg03	100_egg05	1
9910403	30401	97:30000_eye00.png	14	97:30000_figure00.png	CBDBD5	CBDBD5	CBDBD5	30400		1		C2B4A3	C2B4A4	C2B4A5	100_egg04	100_egg05	1
