taskId	site	attributeId	taskQuality	taskStar	taskTime	attributeNumOne	awardOneId	awardOneNum	attributeNumTwo	awardTwoId	awardTwoNum	attributeNumThree	awardThreeId	awardThreeNum	attributeNumFour	awardFourId	awardFourNum	attributeNumFive	awardFiveId	awardFiveNum	requireOne	rewardOneId	rewardOneNum	requireTwo	rewardTwoId	rewardTwoNum	requireThree	rewardThreeId	rewardThreeNum	strengthNum	playerStrengthId	playerStrengthNum	exp	weight	attributeNumDesc	picture	boxPicture	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	1	1	1	600	600	509111	2	1200	509111	2																			10	300004	10	20	40	小队乐观需达成	109:cathouse_tanxian_bg_1	6:goods_icon_509111.png	1
102	1	1	2	2	1200	800	509112	2	1600	509112	2	2400	509112	2	3200	509112	2				1	419002	30							20	300004	20	40	100	小队乐观需达成	109:cathouse_tanxian_bg_1	6:goods_icon_509112.png	1
103	1	1	3	3	1800	1000	509113	3	2000	509113	3	3000	509113	3	4000	509113	3	5000	509113	4	2	419002	50	3	419002	50	7	419002	50	30	300004	40	80	60	小队乐观需达成	109:cathouse_tanxian_bg_1	6:goods_icon_509113.png	1
201	2	2	1	1	600	600	509121	2	1200	509121	2																			10	300004	10	20	40	小队调皮需达成	109:cathouse_tanxian_bg_2	6:goods_icon_509121.png	1
202	2	2	2	2	1200	800	509122	2	1600	509122	2	2400	509122	2	3200	509122	2				1	419002	30							20	300004	20	40	100	小队调皮需达成	109:cathouse_tanxian_bg_2	6:goods_icon_509122.png	1
203	2	2	3	3	1800	1000	509123	3	2000	509123	3	3000	509123	3	4000	509123	3	5000	509123	4	2	419002	50	3	419002	50	7	419002	50	30	300004	40	80	60	小队调皮需达成	109:cathouse_tanxian_bg_2	6:goods_icon_509123.png	1
301	3	3	1	1	600	600	509131	2	1200	509131	2																			10	300004	10	20	40	小队勇敢需达成	109:cathouse_tanxian_bg_3	6:goods_icon_509131.png	1
302	3	3	2	2	1200	800	509132	2	1600	509132	2	2400	509132	2	3200	509132	2				1	419002	30							20	300004	20	40	100	小队勇敢需达成	109:cathouse_tanxian_bg_3	6:goods_icon_509132.png	1
303	3	3	3	3	1800	1000	509133	3	2000	509133	3	3000	509133	3	4000	509133	3	5000	509133	4	2	419002	50	3	419002	50	7	419002	50	30	300004	40	80	60	小队勇敢需达成	109:cathouse_tanxian_bg_3	6:goods_icon_509133.png	1
401	4	4	1	1	600	600	509141	2	1200	509141	2																			10	300004	10	20	40	小队安静需达成	109:cathouse_tanxian_bg_4	6:goods_icon_509141.png	1
402	4	4	2	2	1200	800	509142	2	1600	509142	2	2400	509142	2	3200	509142	2				1	419002	30							20	300004	20	40	100	小队安静需达成	109:cathouse_tanxian_bg_4	6:goods_icon_509142.png	1
403	4	4	3	3	1800	1000	509143	3	2000	509143	3	3000	509143	3	4000	509143	3	5000	509143	4	2	419002	50	3	419002	50	7	419002	50	30	300004	40	80	60	小队安静需达成	109:cathouse_tanxian_bg_4	6:goods_icon_509143.png	1
