id	kind	place	catId	catSkillId	catSkillIdWeight	variationKind	variationNum	skillId	attributeId	attributeNum	unitAddress	unitPoint	textureAddress	textureId	colour	actionName	actionRate	coinId	coinNum	marketPrice	icon	infancyShow	infancyUnlock	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1101	1	1	101;102;103;104										97:30000_eye01.png	1			1	300003	600	2000	99:cathouse_data_icon_1.png	0	0	1
1102	1	1	101;102;103;104										97:30000_eye03.png	1			1	300003	600	2000	99:cathouse_data_icon_1.png	0	0	1
1103	1	1	101;102;103;104										97:30000_eye04.png	1			1	300003	600	2000	99:cathouse_data_icon_1.png	0	0	1
1104	1	1	101;102;103;104										97:30000_eye02.png	1			1	300003	600	2000	99:cathouse_data_icon_1.png	0	0	1
1105	1	1	101;102;103;104										97:30000_eye21.png	1			1	300003	600	2000	99:cathouse_data_icon_1.png	0	0	1
1201	1	2	101;102;103;104										97:30000_mouth01.png	1			1	300003	600	2000	99:cathouse_data_icon_2.png	0	0	1
1202	1	2	101;102;103;104										97:30000_mouth03.png	1			1	300003	600	2000	99:cathouse_data_icon_2.png	0	0	1
1203	1	2	101;102;103;104										97:30000_mouth04.png	1			1	300003	600	2000	99:cathouse_data_icon_2.png	0	0	1
1204	1	2	101;102;103;104										97:30000_mouth02.png	1			1	300003	600	2000	99:cathouse_data_icon_2.png	0	0	1
1205	1	2	101;102;103;104										97:30000_mouth21.png	1			1	300003	600	2000	99:cathouse_data_icon_2.png	0	0	1
1301	1	3	101;102;103;104										97:30000_figure01.png	1			1	300003	600	2000	99:cathouse_data_icon_3.png	0	0	1
1302	1	3	101;102;103;104										97:30000_figure03.png	1			1	300003	600	2000	99:cathouse_data_icon_3.png	0	0	1
1303	1	3	101;102;103;104										97:30000_figure04.png	1			1	300003	600	2000	99:cathouse_data_icon_3.png	0	0	1
1304	1	3	101;102;103;104										97:30000_figure02.png	1			1	300003	600	2000	99:cathouse_data_icon_3.png	0	0	1
1305	1	3	101;102;103;104										97:30000_figure21.png	1			1	300003	600	2000	99:cathouse_data_icon_3.png	0	0	1
1401	1	4	101;102;103;104											1	968673		1	300003	600	2000	99:cathouse_data_icon_4.png	1	1	1
1402	1	4	101;102;103;104											1	D6C7CA		1	300003	600	2000	99:cathouse_data_icon_4.png	1	1	1
1403	1	4	101;102;103;104											1	B86A47		1	300003	600	2000	99:cathouse_data_icon_4.png	1	1	1
1404	1	4	101;102;103;104											1	AEAEAE		1	300003	600	2000	99:cathouse_data_icon_4.png	1	1	1
1405	1	4	101;102;103;104											1	DBA67E		1	300003	600	2000	99:cathouse_data_icon_4.png	1	1	1
1501	1	5	101;102;103;104											1	968673		1	300003	600	2000	99:cathouse_data_icon_5.png	0	0	1
1502	1	5	101;102;103;104											1	D6C7CA		1	300003	600	2000	99:cathouse_data_icon_5.png	0	0	1
1503	1	5	101;102;103;104											1	B86A47		1	300003	600	2000	99:cathouse_data_icon_5.png	0	0	1
1504	1	5	101;102;103;104											1	AEAEAE		1	300003	600	2000	99:cathouse_data_icon_5.png	0	0	1
1505	1	5	101;102;103;104											1	DBA67E		1	300003	600	2000	99:cathouse_data_icon_5.png	0	0	1
1601	1	6	101;102;103;104											1	968673		1	300003	600	2000	99:cathouse_data_icon_6.png	0	0	1
