id	num	status
int	int	int
1	414002	1
2	1	1
3	5	1
4	3	1
5	414002	1
6	1	1
7	86400	1
8	300003	1
9	0.8	1
10	1.2	1
11	12	1
12	1	1
13	3	1
14	300002	1
15	200	1
16	1	1
17	4	1
18	300002	1
19	300	1
20	259200	1
21	0.15	1
22	1800	1
23	5	1
24	400	1
25	600	1
26	1,400;2,300;3,200;4,100	1
27	300	1
28	100	1
29	50	1
30	500	1
31	3600	1
32	6	1
33	20000	1
34	640001	1
35	300002	1
36	50	1
37	850	1
38	0.1	1
39	5000	1
40	5	1
41	1200	1
42	300003	1
43	10000	1
44	5	1
45	1	1
46	4	1
47	30	1
48	1	1
49	100	1
50	1104	1
51	5	1
52	40	1
53	100	1
