id	effectId	attributeId	catId	percentage	status
int	int	int	int	int	int
101001	101	1	0	0	1
101002	101	2	0	0	1
101003	101	3	0	0	1
101004	101	4	0	0	1
102001	102	1	0	1	1
102002	102	2	0	1	1
102003	102	3	0	1	1
102004	102	4	0	1	1
201001	201	1	0	0	1
201002	201	2	0	0	1
201003	201	3	0	0	1
201004	201	4	0	0	1
202001	202	1	0	1	1
202002	202	2	0	1	1
202003	202	3	0	1	1
202004	202	4	0	1	1
301001	301	1	101	0	1
301002	301	2	101	0	1
301003	301	3	101	0	1
301004	301	4	101	0	1
301005	301	1	102	0	1
301006	301	2	102	0	1
301007	301	3	102	0	1
301008	301	4	102	0	1
301009	301	1	103	0	1
301010	301	2	103	0	1
301011	301	3	103	0	1
301012	301	4	103	0	1
301013	301	1	104	0	1
301014	301	2	104	0	1
301015	301	3	104	0	1
301016	301	4	104	0	1
302001	302	1	101	1	1
302002	302	2	101	1	1
302003	302	3	101	1	1
302004	302	4	101	1	1
302005	302	1	102	1	1
302006	302	2	102	1	1
302007	302	3	102	1	1
302008	302	4	102	1	1
302009	302	1	103	1	1
302010	302	2	103	1	1
302011	302	3	103	1	1
302012	302	4	103	1	1
302013	302	1	104	1	1
302014	302	2	104	1	1
302015	302	3	104	1	1
302016	302	4	104	1	1
401001	401	1	101	0	1
401002	401	2	101	0	1
401003	401	3	101	0	1
401004	401	4	101	0	1
401005	401	1	102	0	1
401006	401	2	102	0	1
401007	401	3	102	0	1
401008	401	4	102	0	1
401009	401	1	103	0	1
401010	401	2	103	0	1
401011	401	3	103	0	1
401012	401	4	103	0	1
401013	401	1	104	0	1
401014	401	2	104	0	1
401015	401	3	104	0	1
401016	401	4	104	0	1
402001	402	1	101	1	1
402002	402	2	101	1	1
402003	402	3	101	1	1
402004	402	4	101	1	1
402005	402	1	102	1	1
402006	402	2	102	1	1
402007	402	3	102	1	1
402008	402	4	102	1	1
402009	402	1	103	1	1
402010	402	2	103	1	1
402011	402	3	103	1	1
402012	402	4	103	1	1
402013	402	1	104	1	1
402014	402	2	104	1	1
402015	402	3	104	1	1
402016	402	4	104	1	1
