attAddTypeId	desc	tag	attributeId	isPercentage	attAddType	shownumType	shownumType2	status
int	int	int	int	int	int	int	int	int
1	param1对param2造成伤害提升_num_	全局BUFF；\n参数1：战斗员颜色；参数2战斗员颜色\n【1红，2绿，3蓝，4金（光），5紫（暗）】		1	2	2	1	1
2	param1受到param2伤害降低_num_	全局BUFF；\n参数1：战斗员颜色；参数2战斗员颜色\n【1红，2绿，3蓝，4金（光），5紫（暗）】		1	2	2	2	1
3	初始品质为param1的战斗员提供的助战位加成提升_num_	参数1：初始品质为R/SR/SSR\n【1,R; 2,SR; 3SSR】		1	1	2	1	1
10101	所有战斗员攻击力提升_num_		101		1	1	1	1
10201	所有战斗员防御力提升_num_		201		1	1	1	1
10301	所有战斗员生命值提升_num_		301		1	1	1	1
10703	所有战斗员暴击伤害提升_num_		703	1	1	2	1	1
8	在param1玩法中造成伤害提升_num_	有功能场景的BUFF\n参数1：系统功能ID（如世界boss）		1	2	2	1	1
9	在param1玩法中受到伤害降低_num_	有功能场景的BUFF\n参数1：系统功能ID（如世界boss）			2	2	2	1
10	猫猫巴士骰子重置次数增加_num_				1	1	1	1
11	玩法param1门票上限数量提高_num_	参数1：系统功能ID（如单队异步PVP)\n后续不能直接引用系统功能，要通知对应的程序添加		1	1	1	1	1
12	外卖奖励产出提高_num_			1	1	2	1	1
13	外卖员消耗心情值减少_num_			1	2	2	2	1
14	副本消耗体力减少_num_	参数1：系统功能ID（默认2001：包含装备 晶片 例子 经验 4个副本）\n参数2：不同日常本（1装备本2食材本3Boss本4升阶材料本6经验本5粒子本)\n参数3：若2是晶片本（4），则是不同颜色晶片本关卡ID；若2是装备本（1），则是区域ID；若2是经验本和粒子本，则空\n后续不能直接引用系统功能，要通知对应的程序添加		1	2	2	2	1
15	钓鱼中大鱼基础概率增加_num_			1	1	2	1	1
16	钓鱼中伤害提高_num_			1	2	2	1	1
17	中枢补给产出增加_num_			1	2	2	1	1
18	主线故事挑战模式每天可扫荡次数增加_num_				1	1	1	1
19	猫球寻宝产出增加_num_			1	2	2	1	1
20	离岛空运产出增加_num_			1	2	2	1	1
