id	Level	star	startRareLevel	location	attribute	roleId	status
int	int	int	int	int	int	int	int
1001	50	0	6	4	3	105004	1
1002	50	0	6	4	2	129008	1
1003	50	0	6	3	1	801008	1
1004	50	0	6	2	2	102012	1
1005	50	0	6	5	1	144008	1
1006	50	0	6	5	3	806008	1
1007	50	0	6	4	3	104009	1
2001	60	6	8	4	3	101005	1
2003	60	6	8	4	1	101008	1
2004	60	6	8	4	1	101011	1
2005	60	6	8	4	2	101013	1
2006	60	6	8	4	1	102001	1
2007	60	6	8	3	1	102007	1
2008	60	6	8	2	3	102008	1
2010	60	6	8	5	2	102021	1
2011	60	6	8	5	2	103002	1
2012	60	6	8	2	1	103007	1
2013	60	6	8	1	3	103008	1
2014	60	6	8	1	2	103021	1
2015	60	6	8	2	1	103019	1
2016	60	6	8	6	1	104001	1
2017	60	6	8	6	2	104003	1
2018	60	6	8	6	2	104005	1
2019	60	6	8	6	3	104008	1
2020	60	6	8	4	1	105001	1
2021	60	6	8	4	2	105002	1
2022	60	6	8	4	2	105006	1
2023	60	6	8	4	3	105008	1
2024	60	6	8	3	2	106001	1
2025	60	6	8	3	2	106002	1
2026	60	6	8	6	3	106008	1
2027	60	6	8	3	1	106010	1
2028	60	6	8	4	2	107001	1
2029	60	6	8	4	1	107005	1
2030	60	6	8	4	3	107008	1
2031	60	6	8	4	3	108001	1
2032	60	6	8	4	3	108004	1
2033	60	6	8	4	2	108006	1
2034	60	6	8	4	2	108008	1
2035	60	6	8	4	1	110008	1
2036	60	6	8	6	2	111002	1
2037	60	6	8	1	1	111008	1
2038	60	6	8	2	3	112002	1
2039	60	6	8	6	2	112008	1
2040	60	6	8	3	1	113001	1
2041	60	6	8	4	1	113008	1
2042	60	6	8	4	1	114001	1
2043	60	6	8	2	1	114008	1
2044	60	6	8	4	3	904001	1
2045	60	6	8	4	2	904002	1
2046	60	6	8	4	1	904005	1
2047	60	6	8	4	3	904006	1
2048	60	6	8	3	2	904009	1
2049	60	6	8	5	1	904010	1
2050	60	6	8	2	3	904014	1
2051	60	6	8	5	3	904015	1
2052	60	6	8	4	3	904020	1
2053	60	6	8	5	3	904022	1
2054	60	6	8	2	3	904025	1
2055	60	6	8	1	1	904026	1
2056	60	6	8	6	3	904031	1
2057	60	6	8	4	2	904033	1
2058	60	6	8	2	3	904034	1
2059	60	6	8	4	1	904041	1
2060	60	6	8	3	1	904043	1
2061	60	6	8	4	2	908002	1
2062	60	6	8	3	1	109008	1
2063	60	6	8	4	3	115008	1
2064	60	6	8	4	1	117008	1
2065	60	6	8	5	3	121008	1
2066	60	6	8	3	3	127008	1
2067	60	6	8	4	3	130008	1
2068	60	6	8	3	2	131008	1
2069	60	6	8	4	5	103006	1
2070	60	6	8	4	3	105004	1
2071	60	6	8	3	1	106009	1
2072	60	6	8	4	5	107010	1
2073	60	6	8	4	2	129008	1
2074	60	6	8	3	3	123008	1
2075	60	6	8	6	3	116001	1
2076	60	6	8	4	1	137008	1
