id	star	level	mainAttribute	initialMin	initialMax	secAttribute	secValue	status
int	int	int	int	int	int	int	int	int
1001			1			0		1
1002			3			0		1
1003			1			0		1
1004			1			0		1
1005			4			0		1
1006			6			0		1
1007			7			0		1
1008			4			0		1
1009			4			0		1
1010			6			0		1
1011			6			0		1
1012			6			0		1
1013	1		0			0		1
1014	2		0			0		1
1015	3		0			0		1
1016	4		0			0		1
1017	4	5	0			0		1
1018	5		0			0		1
1019	5	5				302;102;603;703;1203	0.22;0.082;0.065;0.098;0.049	1
1020	5	5				302;102;603;703;1203	0.22;0.082;0.065;0.098;0.049	1
1021	5	5				302;102;603;703;1203	0.22;0.082;0.065;0.098;0.049	1
1022	5	5				302;102;603;703;1203	0.22;0.082;0.065;0.098;0.049	1
1023	5	5				302;102;603;703;1203	0.22;0.082;0.065;0.098;0.049	1
1024	5	5				302;102;603;703;1203	0.22;0.082;0.065;0.098;0.049	1
2020	5	5	301	150		101;102;103;1601;2101	0.01;20;100;0.02;0.05	1
2021	5	5	201	99		101;102;103	0.01;20;100	1
2022	5	5	101	96		101;102;103;1601;2101	0.01;20;100;0.02;0.05	1
1025	5	5						1
1026	5	5						1
1027	5	5						1
1028	5	5						1
1029	5	5						1
1030	5	5						1
1031	5	5				401;401;401;401;401;401	0.03;0.03;0.03;0.03;0.03;0.03	1
1032	5	5						1
1033	5	5						1
1034	5	5						1
1035	5	5						1
1036	5	5						1
1037	5	5						1
1038	5	5				603;603;603;603;603	0.08;0.08;0.08;0.08;0.08	1
1039	5	5				603;603;603;603;603	0.08;0.08;0.08;0.08;0.08	1
1040	0	0						1
1041	0	0						1
1042	0	0						1
1043	0	0						1
1044	5	5				603;603;603;603;603	0.08;0.08;0.08;0.08;0.08	1
1045	5	5						1
1046	0	0						1
1047	0	0						1
1048	0	0						1
1049	0	0						1
