id	type	backColor	head	maleHead	femaleHead	status
int	int	int	int	int	int	int
1	1	#88f2f0		148:role_q_head_20002.png	148:role_q_head_20003.png	1
101008	0	#ffda61	148:role_q_head_101008.png			1
102008	0	#b8d674	148:role_q_head_102008.png			1
103008	0	#77acf0	148:role_q_head_103008.png			1
104008	0	#fa7070	148:role_q_head_104008.png			1
105008	0	#0f70e4	148:role_q_head_105008.png			1
106008	0	#ff9151	148:role_q_head_106008.png			1
107008	0	#5e5e4e	148:role_q_head_107008.png			1
108008	0	#e9e9ec	148:role_q_head_108008.png			1
109008	0	#f462b4	148:role_q_head_109008.png			1
110008	0	#ffae38	148:role_q_head_110008.png			1
111008	0	#cac5f8	148:role_q_head_111008.png			1
112008	0	#e9b576	148:role_q_head_112008.png			1
113008	0	#f3f0ee	148:role_q_head_113008.png			1
114008	0	#38363b	148:role_q_head_114008.png			1
115008	0	#1bd2ad	148:role_q_head_115008.png			1
116008	0	#c31842	148:role_q_head_116008.png			1
117008	0	#6351e8	148:role_q_head_117008.png			1
120008	0	#fefcec	148:role_q_head_120008.png			1
121008	0	#8dc4d7	148:role_q_head_121008.png			1
122008	0	#b6f3d2	148:role_q_head_122008.png			1
123008	0	#dd5655	148:role_q_head_123008.png			1
125008	0	#cbddf8	148:role_q_head_125008.png			1
126008	0	#fff6ad	148:role_q_head_126008.png			1
127008	0	#a7eff1	148:role_q_head_127008.png			1
128008	0	#f5adbd	148:role_q_head_128008.png			1
129008	0	#fadeb8	148:role_q_head_129008.png			1
130008	0	#d078e9	148:role_q_head_130008.png			1
131008	0	#f9abb7	148:role_q_head_131008.png			1
132008	0	#f492f3	148:role_q_head_132008.png			1
135008	0	#ffe2de	148:role_q_head_135008.png			1
136008	0	#fcf6ea	148:role_q_head_136008.png			1
139008	0	#ae776d	148:role_q_head_139008.png			1
141008	0	#accbf0	148:role_q_head_141008.png			1
143008	0	#eddbf8	148:role_q_head_143008.png			1
4006	0	#4f4e76	148:role_q_head_4006.png			1
20004	0	#3dc8c2	148:role_q_head_20004.png			1
20023	0	#f9f0d2	148:role_q_head_20023.png			1
20018	0	#ffe24c	148:role_q_head_20018.png			1
20019	0	#ffc9de	148:role_q_head_20019.png			1
20033	0	#e73e3d	148:role_q_head_20033.png			1
20035	0	#d1616c	148:role_q_head_20035.png			1
20020	0	#b17543	148:role_q_head_20020.png			1
20034	0	#7f6e8f	148:role_q_head_20034.png			1
1028	0	#590b7c	148:role_q_head_1028.png			1
1029	0	#fbac59	148:role_q_head_1029.png			1
142008	0	#cf4a4f	148:role_q_head_142008.png			1
144008	0	#d1b99d	148:role_q_head_144008.png			1
140008	0	#a473d2	148:role_q_head_140008.png			1
146008	0	#ca726b	148:role_q_head_146008.png			1
147008	0	#4e5255	148:role_q_head_147008.png			1
