id	chapter	monsteType	unlockNum	level	exp	cardExp	proposalLevel	costItem	costNum	costNumLose	SceneId	rounds	roleNun	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	effect	effect_zh_TW	effect_en_UK	effect_ja_JP	effect_ko_KR	effect_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
301010	301	1	0	0	24	0	160000	3000004	10	0	72201	8	4	1	1-1	1-1	1-1	1-1	1-1	1-1	困难1-1	困難1-1	Hard 1-1	HARD1-1	하드1-1	ยาก 1-1	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
301020	301	1	301010	0	24	0	160000	3000004	10	0	12201	8	4	1	1-2	1-2	1-2	1-2	1-2	1-2	困难1-2	困難1-2	Hard 1-2	HARD1-2	하드1-2	ยาก 1-2	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
301030	301	1	301020	0	24	0	160000	3000004	10	0	70802	8	4	1	1-3	1-3	1-3	1-3	1-3	1-3	困难1-3	困難1-3	Hard 1-3	HARD1-3	하드1-3	ยาก 1-3	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
301040	301	3	301030	0	24	0	160000	3000004	20	0	72103	8	4	1	1-4	1-4	1-4	1-4	1-4	1-4	困难1-4	困難1-4	Hard 1-4	HARD1-4	하드1-4	ยาก 1-4	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
302010	302	1	301040	0	24	0	180000	3000004	10	0	72202	8	4	1	2-1	2-1	2-1	2-1	2-1	2-1	困难2-1	困難2-1	Hard 2-1	HARD2-1	하드2-1	ยาก 2-1	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
302020	302	1	302010	0	48	0	180000	3000004	10	0	70601	8	4	1	2-2	2-2	2-2	2-2	2-2	2-2	困难2-2	困難2-2	Hard 2-2	HARD2-2	하드2-2	ยาก 2-2	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
302030	302	1	302020	0	28	0	180000	3000004	10	0	72402	8	4	1	2-3	2-3	2-3	2-3	2-3	2-3	困难2-3	困難2-3	Hard 2-3	HARD2-3	하드2-3	ยาก 2-3	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
302040	302	3	302030	0	28	0	200000	3000004	20	0	71002	8	4	1	2-4	2-4	2-4	2-4	2-4	2-4	困难2-4	困難2-4	Hard 2-4	HARD2-4	하드2-4	ยาก 2-4	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
303010	303	1	302040	0	42	0	210000	3000004	10	0	72302	8	4	1	3-1	3-1	3-1	3-1	3-1	3-1	困难3-1	困難3-1	Hard 3-1	HARD3-1	하드3-1	ยาก 3-1	<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>區域效果</color>:紅色、綠色、藍色情緒克制大幅提升。	<color=#66b032>District Effect</color>: The countering effect of Red, Green, and Blue Pathos is significantly increased.	Pending<color=#66b032>区域效果</color>:红色、绿色、蓝色情绪克制大幅提升。	<color=#66b032>구역 효과</color>: 레드, 그린, 블루 이모션 역상성 대폭 증가	<color=#66b032>เอฟเฟกต์สถานที่</color>:​ ดา​เม​จ​ชนะ​ทาง​พา​โธส​สีแดง​ เขียว​ น้ำเงิน​ เพิ่มขึ้น​อย่าง​มาก​
