id	chapterId	unlockNum	Image	cgType	cg	plotId	video	status
int	int	int	int	int	int	int	int	int
1	100	100000	57:thumb_story_cg_152_1	2	57:story_cg_152_1		op_oversea.usm	1
2	100	100010	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
3	100	100020	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
4	101	101010	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
5	101	101020	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1001021		1
6	101	101040	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
7	101	101050	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
8	102	101090	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
9	102	101100	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1001101		1
10	102	101170	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
11	102	101190	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
12	103	102080	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
13	103	102090	57:thumb_story_cg_007_1	2	57:story_cg_152_1		CS_plot_1002070.usm	1
14	103	102140	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
15	104	102150	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
16	104	102160	57:thumb_story_cg_007_1	2	57:story_cg_152_1		CS_plot_1002051.usm	1
17	104	102250	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1004093		1
18	104	102260	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
19	105	103001	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
20	105	103070	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1005071		1
21	105	103090	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
22	105	103100	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
23	106	103200	57:thumb_story_cg_007_1	1	57:story_cg_152_1			1
24	106	103220	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1005220		1
25	106	103260	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
26	107	104040	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
27	107	104050	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1006051		1
28	107	104080	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
29	107	104090	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
30	107	104170	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
31	107	104180	57:thumb_story_cg_007_1	2	57:story_cg_152_1		CS_plot_1004113_03.usm	1
32	108	104200	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
33	108	104280	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
34	108	105070	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
35	108	105120	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1007141		1
36	109	105240	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
37	109	105250	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
38	109	106021	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
39	110	106110	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1008123		1
40	110	106250	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
41	110	106251	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
42	111	107010	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1009011		1
43	111	107040	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1009053		1
44	111	107050	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
45	111	107100	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
46	111	107151	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
47	112	107230	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
48	112	107250	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
49	112	108050	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
50	113	108080	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
51	113	108190	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1010203		1
52	113	108230	57:thumb_story_cg_007_1	2	57:story_cg_152_1		CS_plot_1006130.usm	1
53	113	108251	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1010280		1
54	114	109020	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
55	114	109160	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
56	114	109170	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1011191		1
57	115	109180	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1011203		1
58	115	109181	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
59	115	110020	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
60	115	110081	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
61	116	110112	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1012140		1
62	116	110120	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
63	116	110240	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
64	117	111080	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
65	117	111160	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1014131		1
66	117	111171	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1014150		1
67	118	111180	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
68	118	111210	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
69	118	111240	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
70	118	111241	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
71	118	111250	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
72	119	112060	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
73	119	112101	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
74	119	112170	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
75	119	112180	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
76	119	112230	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
77	119	112240	57:thumb_story_cg_007_1	3	57:story_cg_152_1			1
78	120	120010	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1017010		1
79	120	120050	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1017053		1
80	120	120060	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1017063		1
81	120	120090	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1017093		1
82	121	121060	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1018061		1
83	122	122050	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1019053		1
84	122	122060	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1019060		1
85	122	122090	57:thumb_story_cg_007_1	1	57:story_cg_152_1	1019093		1
