id	mapImage	mapScale	posX	posY	posZ	mapTransformPX	mapTransformPY	mapTransformPZ	mapTransformRX	mapTransformRY	mapTransformRZ	status
int	int	int	int	int	int	int	int	int	int	int	int	int
1	41:city_map_1	1	-1.424	3.411	-0.15	-1.681	-2.726	-7	-40	0	0	1
2	41:city_map_1	1	-0.311	4.036	-0.15	-0.594	-2.229	-7	-40	0	0	1
3	41:city_map_1	1	-1.944	2.094	-0.15	-2.052	-3.974	-7	-40	0	0	1
4	41:city_map_1	1	-2.603	-0.942	-0.15	-2.976	-6.963	-7	-40	0	0	1
5	41:city_map_1	1	-2.814	-0.07299995	-0.15	-2.976	-6.323	-7	-40	0	0	1
6	41:city_map_1	1	1.207	2.777	-0.15	1.065	-3.304	-7	-40	0	0	1
7	41:city_map_1	1	-0.702	-1.762	-0.15	-1.029	-7.542	-7	-40	0	0	1
8	41:city_map_1	1	-0.221	-1.97	-0.15	-0.718	-7.563001	-7	-40	0	0	1
9	41:city_map_1	1	0.171	-2.238	-0.15	-0.353	-7.676	-7	-40	0	0	1
10	41:city_map_1	1	1.14	-1.92	-0.15	0.7270001	-7.983	-7	-40	0	0	1
11	41:city_map_1	1	3.268	-1.373	-0.15	3.009	-7.107	-7	-40	0	0	1
12	41:city_map_1	1	2.71	-1.917	-0.15	2.445001	-7.606999	-7	-40	0	0	1
13	41:city_map_1	1	1.981	-1.889	-0.15	1.459	-7.421	-7	-40	0	0	1
14	41:city_map_1	1	1.052	-0.544	-0.15	0.768	-6.951	-7	-40	0	0	1
15	41:city_map_1	1	5.148	1.519	-0.15	4.349	-4.816	-7	-40	0	0	1
16	41:city_map_1	1	3.99	4.653	-0.15	3.556	-1.799	-7	-40	0	0	1
17	41:city_map_1	1	3.975	3.375	-0.15	3.557	-2.234	-7	-40	0	0	1
18	41:city_map_1	1	-3.784	1.307	-0.15	-4.003	-3.975	-7	-40	0	0	1
19	41:city_map_2	1	1.984	5.747	-0.15	1.42	-0.6299999	-7	-40	0	0	1
20	41:city_map_2	1	2.624	6.227	-0.15	2.115	-0.224	-7	-40	0	0	1
21	41:city_map_2	1	1.013	5.636	-0.15	0.5820001	-0.4169998	-7	-40	0	0	1
22	41:city_map_2	1	2.106	5.129	-0.15	1.473	-0.4169998	-7	-40	0	0	1
23	41:city_map_2	1	0.8770001	6.275	-0.15	0.732	-0.4169998	-7	-40	0	0	1
24	41:city_map_2	1	1.328	7.39	-0.15	0.8149999	1.065	-7	-40	0	0	1
25	41:city_map_2	1	2.228	6.977	-0.15	1.672	1.065	-7	-40	0	0	1
26	41:city_map_2	1	-3.067	9.087	-0.15	-0.714	1.044001	-7	-40	0	0	1
27	41:city_map_3	0.58	1.764	3.089	-0.15	0.04499996	-3.305	-7	-40	0	0	1
28	41:city_map_3	0.58	1.299	2.887	-0.15	0.04499996	-3.305	-7	-40	0	0	1
36	41:city_map_1	1	-1.459	-0.942	-0.15	-1.824	-6.46	-6	-40	0	0	1
37	41:city_map_1	1	-1.459	-0.942	-0.15	-1.824	-6.46	-6	-40	0	0	1
38	41:city_map_1	1	-1.459	-0.942	-0.15	-1.824	-6.46	-6	-40	0	0	1
39	41:city_map_5	1	-1.883	3.675	-0.16	-1.541	-4.595	-5.098	-40	0	0	1
40	41:city_map_2	1	-1.631	2.352	-0.15	-1.735	-2.615	-6	-40	0	0	1
41	41:city_map_1	1	-1.459	-0.942	-0.15	-1.824	-6.46	-6	-40	0	0	1
42	41:city_map_1	1	-1.459	-0.942	-0.15	-1.824	-6.46	-6	-40	0	0	1
