id	type	listImageId	listImageB	listImageS	image	desc	head	weather	bgm	music	plotIdGroup1	taskPlotId	taskPlotEndId	plotIdGroup2	plotIdWave1	plotIdEndWave1	plotIdWave2	plotIdEndWave2	plotIdWave3	plotIdEndWave3	plotIdGroup3	plotIdRound	plotIdRounds	status	address1	address1_zh_TW	address1_en_UK	address1_ja_JP	address1_ko_KR	address1_th_TH	address2	address2_zh_TW	address2_en_UK	address2_ja_JP	address2_ko_KR	address2_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
100000	1	00_01	29:story_list_00_01	29:story_list_00_01	57:dialg_bg_325	1000010	1	1	bgm_op_disorder					1000010										1	？？？	？？？	???	？？？	???	? ? ?	？？？	？？？	???	？？？	???	? ? ?
100010	2	00_02	29:story_list_00_02	29:story_list_00_02	57:story_cg_109_1	1000020	1;101008;102008;103008;104008;108008;117008;20004	1	bgm_bg_gx_tower01						1000020;1000030			1000050				1;2;3;3	1000040;1000140;1000150	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	街道	街道	Street	ストリート	거리	ถนน
100020	2	00_03	29:story_list_00_03	29:story_list_00_03	57:story_cg_110_1	1000060	1;102008;108008;117008	1							1000060;1000180	1000090;1000100						2	1000070	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	地下室	地下室	Basement	地下室	지하실	ห้องใต้ดิน
100030	1	00_04	29:story_list_00_04	29:story_list_00_04	57:dialg_bg_217	1000201	1;108008;20035	1						1000201;1000202;1000203;1000210;1000211;1000213;1000212										1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
101010	2	01_01	29:story_list_01_01	29:story_list_01_01	57:dialg_bg_335	1001011	1;108008	1	bgm_op_dream		0	0	0		1001011	1001013	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
101020	2	01_02	29:story_list_01_02	29:story_list_01_02	57:story_cg_129_1	1001021	1;108008	1	bgm_home_saxophone1		0	0	0		1001021	1001023	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
101030	1	01_03	29:story_list_01_03	29:story_list_01_03	57:dialg_bg_162	1001031	1;108008;135008	1	bgm_op_strange		0	1001031	1001033		0	0	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
101040	2	01_04	29:story_list_01_04	29:story_list_01_04	57:story_cg_117_1	1001041	1;101008;108008;129008	1			0	0	0		1001041	1001043	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	五城广场	五城廣場	Quintupolis Plaza	五城広場	펜타폴리스	จัตุรัสควินซ์
101050	2	01_05	29:story_list_01_05	29:story_list_01_05	57:story_cg_118_1	1001051	1;101008;102008;108008;20023	1	bgm_battle_BF04		0	0	0		1001051	1001053	0	0	0	0	0	0	0	1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街的猫	貝克街的貓	Baker's Cafe	ベイカーキャット	베이커 가의 고양이	เบเกอร์แคท
