id	number	pic	bigPic	namePic	mapImage	BGM	movieQuest	movie	showLevelId	showRewardIds	unlockNum	lastLevel	level	teamLevel	isHasSide	chapterRewardId	chapterRewardNum1	bigRewardId	bigRewardNum	headIconRewardId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
301	1	29:main_bg_1_s	35:main_bg_1		41:story_map_001				301040	7113001;7101008;7103002		301040	1		0						1	迷失的孩子	迷失的孩子	The Lost Child	迷い子	길을 잃은 아이	เด็กที่หาย\nสาบสูญ
302	2	29:main_bg_2_s	35:main_bg_2		41:story_map_001				302040	7130008;7113008;7102008	301040	302040	1		0						1	无法逃避的命运	無法逃避的命運	Inescapable Fate	逃れられない運命	피할 수 없는 운명	ชะตาที่\nไม่อาจเลี่ยง
303	3	29:main_bg_3_s	35:main_bg_3		41:story_map_001				303040	7131008;7106008;7112008	302040	303040	1		0						1	正义的阴影	正義的陰影	Shadows of Justice	正義の影	기억의 깊은 곳	เงาของความ\nยุติธรรม
304	4	29:main_bg_4_s	35:main_bg_4		41:story_map_001				304040	7114001;7108004;7106010	303040	304040	1		0						1	被遗忘的过去	被遺忘的過去	Forgotten Past	忘れられた過去	잊혀진 과거	อดีตที่ถูกลืม
305	5	29:main_bg_5_s	35:main_bg_5		41:story_map_001				305040	7137008;7113008;7114008	304040	305040	1		0						1	避难所	避難所	The Sanctuary	避難所	피난소	ที่หลบภัย
306	6	29:main_bg_19_s	35:main_bg_19		41:story_map_001				305040	7121008;7101008;7102008	305040	306040	1		0						1	兔子先生的告别	兔子先生的告別	Mr. Rabbit's Farewell	さようなら、うさぎさん	미스터래빗의 작별인사	คำอำลาของ\nคุณกระต่าย
307	7	29:main_bg_6_s	35:main_bg_6		41:story_map_001				306040	7102007;7113008;7112008	306040	307040	1		0						1	未完成的约定	未完成的約定	Unfulfilled Promise	未完成の約束	지키지 못한 약속	สัญญาที่\nไม่สำเร็จ
308	8	29:main_bg_7_s	35:main_bg_7		41:story_map_001				307040	7103021;7106008;7114008	307040	308040	1		0						1	摇摆不定的心	搖擺不定的心	A Mind Adrift	揺らぐ心	흔들리는 마음	ใจที่สั่นคลอน
309	9	29:main_bg_8_s	35:main_bg_8		41:story_map_001				308040	7101013;7106010;7113008	308040	309040	1		0						1	城下之影	城下之影	Shadow of the City	街の影	도시의 그림자	เงาใต้เมือง
310	10	29:main_bg_15_s	35:main_bg_15		41:story_map_001				309040	7104001;7101008;7103002	309040	310040	1		0						1	幕后之人	幕後之人	The Mastermind	黒幕	배후의 인물	ผู้ชักใย\nอยู่เบื้องหลัง
311	11	29:main_bg_9_s	35:main_bg_9		41:story_map_001				310040	7108001;7106010;7102008	310040	311040	1		0						1	光幕的彼界	光幕的彼界	Beyond the Curtain	光幕の彼方	빛의 장막 너머	อีกฝากฝั่ง\nของม่านแสง
312	12	29:main_bg_16_s	35:main_bg_16		41:story_map_001				311040	7106002;7106008;7112008	311040	312040	1		0						1	旧事新伤	舊事新傷	Old Wounds, New Pain	新しい傷	지나간 일과 새로운 상처	แผลใหม่\nจากเรื่องเดิม
313	13	29:main_bg_10_s	35:main_bg_10		41:story_map_001				312040	7109008;7108004;7106010	312040	313040	1		0						1	局中之人	局中之人	Players on a Board	渦中の人	남은 사람들	ผู้ที่อยู่ในแผน
314	14	29:main_bg_11_s	35:main_bg_11		41:story_map_001				313040	7121008;7113008;7114008	313040	314040	1		0						1	自深深处	自深深處	From the Depths	深淵より	깊은 곳으로부터	มาจากส่วนลึก
315	15	29:main_bg_12_s	35:main_bg_12		41:story_map_001				314040	7103021;7101008;7102008	314040	315040	1		0						1	留响空间	留響空間	Sensory Space	エコースペース	에코룸	ห้วงกังวาน
316	16	29:main_bg_14_s	35:main_bg_14		41:story_map_001				315040	7117008;7106010;7107008	315040	316040	1		0						1	镜中倒影	鏡中倒影	Reflection in the Mirror	鏡の中の反映	거울에 비친 그림자	เงาสะท้อน\nในกระจก
