questKey	id	status
string	string	int
1	11,12	1
2	21,22	1
3	31,32,33,34	1
4	41,42,43	1
5	51,52	1
6	61,62,63,64	1
7	71,72,73,74	1
8	81	1
9	91,92	1
10	101,102,103,104	1
11	111,112	1
12	121,122,123	1
13	131,132,133	1
14	141,142,143	1
15	151,152	1
16	161	1
17	171,172	1
18	181,182,183,184	1
19	191,192	1
20	201,202,203,204	1
21	211,212,213,214	1
22	221,222,223	1
23	231,232,233,234,235	1
24	241,242,243	1
25	251,252,253,254	1
26	261,262,263,264,265,266	1
27	271,272,273,274	1
28	281,282,283	1
29	291,292,293,294	1
30	301	1
31	311,312,313,314	1
32	321	1
33	331	1
34	341,342,343	1
35	351,352	1
36	361,362	1
37	371,372,373	1
38	381,382,383	1
39	391,392	1
40	401,402,403	1
41	411	1
42	421,422	1
43	431,432	1
44	441,442	1
45	451,452	1
46	461,462	1
47	471,472,473	1
48	481,482	1
49	491,492,493	1
50	501,502	1
