id	task	chapter	monsteType	type	monsterShow	unlockNum	level	teamlevel	costNum	costNumLose	exp	cardExp	battleRules	proposalLevel	costItem	SceneId	rounds	petLineup	roleRestrictions	roleNun	powerMin	powerRatioTeamID	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
100000	0	100	1	1		0	0	0	0	0	0	0	1	0	3000004	10801	99	0	0	4	0	11	1	0-1	0-1	0-1	0-1	0-1	0-1	毁灭	毀滅	Destruction	壊滅	파괴	ทำลาย
100010	0	100	1	2		0	0	0	0	0	0	0	11	30500	3000004	10602	99	10001	0	2	0	11	1	0-2	0-2	0-2	0-2	0-2	0-2	最终日	最終日	Final Day	最終日	마지막 날	วันสิ้นโลก
100020	0	100	3	2		100010	0	0	0	0	0	0	11	32800	3000004	20402	99	10002	0	2	0	11	1	0-3	0-3	0-3	0-3	0-3	0-3	终点	終點	Endpoint	終点	마지막	จุดจบ
100030	0	100	1	1		100020	0	0	0	0	0	0	1	0	3000004	10801	99	0	0	4	0	11	1	0-4	0-4	0-4	0-4	0-4	0-4	起点	起點	The Starting Point	始まり	시작	จุดเริ่มต้น
101010	0	101	1	2		100030	0	0	9	1	10	30	12	3820	3000004	72201	99	0	0	2	0	11	1	1-1	1-1	1-1	1-1	1-1	1-1	入职	入職	Onboarding	配属	임관	เริ่มต้น
101020	0	101	1	2		101010	0	0	9	1	10	30	12	3990	3000004	12201	99	0	0	4	0	11	1	1-2	1-2	1-2	1-2	1-2	1-2	特别食材	特別食材	Special Ingredients	特別な食材	특별한 식재료	วัตถุดิบพิเศษ
101030	0	101	0	1		101020	0	0	0	0	0		1	3990	3000004	12401	99	0	10101	4	0	11	1	1-3	1-3	1-3	1-3	1-3	1-3	第一位顾客	第一位顧客	The First Customer	初めてのお客様	첫 번째 고객	ลูกค้าคนแรก
101040	0	101	1	2		101030	0	0	9	1	10	30	12	4170	3000004	70802	99	0	10101	4	0	11	1	1-4	1-4	1-4	1-4	1-4	1-4	命运的交汇	命運的交匯	A Twist of Fate	交わる運命	운명의 엇갈림	โชคชะตาบรรจบ
101050	0	101	1	2		101040	0	0	9	1	10	30	12	4340	3000004	72101	99	0	10101	4	0	11	1	1-5	1-5	1-5	1-5	1-5	1-5	兔子先生	兔子先生	Mr. Rabbit	うさぎさん	미스터래빗	คุณกระต่าย
101060	0	101	1	2		101050	0	0	9	1	10	70	12	20000	3000004	72102	99	0	10101	4	0	11	1	1-6	1-6	1-6	1-6	1-6	1-6	孤立无援	孤立無援	Alone and Unsupported	孤立無援	도움이 필요한 아이	โดดเดี่ยว
101070	102	101	1	3		101060	0	0	0	0	0		1	4340	3000004	10801	99	0	0	4	0	11	1	1-7	1-7	1-7	1-7	1-7	1-7	战力提升	戰力提升	Power Boost	戦闘力を高める	전투력 증가	เพิ่มพลัง
101080	0	101	3	2		101070	0	0	14	1	15	150	12	4340	3000004	72103	99	0	10101	4	0	11	1	1-8	1-8	1-8	1-8	1-8	1-8	午夜钟声	午夜鐘聲	Midnight Chimes	午夜に響く鐘の音	자정의 종소리	ระฆังเที่ยงคืน
101090	0	102	1	2		101080	0	0	9	1	10	200	12	2600	3000004	72202	99	0	10505	1	0	11	1	2-1	2-1	2-1	2-1	2-1	2-1	迷失的孩子	迷失的孩子	The Lost Child	迷い子	길을 잃은 아이	เด็กที่หาย\nสาบสูญ
101100	0	102	0	1		101090	0	0	0	0	0		1	7320	3000004	10801	99	0	0	4	0	11	1	2-2	2-2	2-2	2-2	2-2	2-2	敞开心扉	敞開心扉	Opening Up	心を開く	마음을 열다	เปิดใจ
101101	0	102	1	2		101100	0	0	9	1	10	200	12	7320	3000004	70601	99	10111	0	2	0	11	1	2-3	2-3	2-3	2-3	2-3	2-3	最初的心愿	最初的心願	The Initial Wish	最初の願い	최초의 소원	ความตั้งใจแรกเริ่ม
101102	1209	102	1	3		101101	0	0	9	1	10	200	1	8790	3000004	10801	99	0	0	4	0	11	1	2-4	2-4	2-4	2-4	2-4	2-4	大召唤师	大召喚師	Master Summoner	大召喚士	대소환사	ซัมมอนเนอร์
101110	1210	102	1	3		101102	0	0	0	0	0		1	7320	3000004	10801	99	0	0	4	0	11	1	2-5	2-5	2-5	2-5	2-5	2-5	外卖送餐	外賣送餐	Food Delivery	出前	배달	เดลิเวอรี่
101111	105	102	1	3		101110	0	0	0	0	0		1	7320	3000004	10801	99	0	0	4	0	11	1	2-6	2-6	2-6	2-6	2-6	2-6	餐厅升级	餐廳升級	Cafe Upgrade	レストランレベルアップ	카페테리아 레벨업	อัปเกรดคาเฟ่
101120	103	102	1	3		101111	0	0	0	0	0		1	10180	3000004	10801	99	0	0	4	0	11	1	2-7	2-7	2-7	2-7	2-7	2-7	战力提升	戰力提升	Power Boost	戦闘力を高める	전투력 증가	เพิ่มพลัง
101170	0	102	1	2		101120	0	0	9	1	10	200	12	10560	3000004	72402	99	10117	0	4	0	11	1	2-8	2-8	2-8	2-8	2-8	2-8	乐园	樂園	Wonderland	楽園	파라다이스	สวนสนุก
101180	0	102	1	2		101170	0	0	9	1	10	200	12	11640	3000004	71001	99	0	0	4	0	11	1	2-9	2-9	2-9	2-9	2-9	2-9	情绪视觉	情緒視覺	Pathic Vision	エモーショナル視覚	이모션 비전	มโนภาพพาโธซิส
101190	0	102	3	2		101180	0	0	14	1	15	300	12	12800	3000004	71002	99	0	0	4	0	11	1	2-10	2-10	2-10	2-10	2-10	2-10	无法逃避的命运	無法逃避的命運	Inescapable Fate	逃れられない運命	피할 수 없는 운명	ชะตาที่\nไม่อาจเลี่ยง
102010	201	103	1	4		101190	0	0	9	1	10	200	1	14800	3000004	30301	99	0	0	4	0	11	1	3-1	3-1	3-1	3-1	3-1	3-1	战力提升	戰力提升	Power Boost	戦闘力を高める	전투력 증가	เพิ่มพลัง
102020	202	103	1	3		102010	0	0	0	0	0		1	14800	3000004	10801	99	0	0	4	0	11	1	3-2	3-2	3-2	3-2	3-2	3-2	战力提升	戰力提升	Power Boost	戦闘力を高める	전투력 증가	เพิ่มพลัง
102050	203	103	1	3		102020	0	0	0	0	0		1	14800	3000004	10801	99	0	0	4	0	11	1	3-3	3-3	3-3	3-3	3-3	3-3	训练挑战	訓練挑戰	Training Challenge	訓練挑戦	훈련 도전	ความท้าทายในการฝึก
102060	204	103	1	3		102050	0	0	0	0	0		1	14800	3000004	10801	99	0	0	4	0	11	1	3-4	3-4	3-4	3-4	3-4	3-4	大召唤师	大召喚師	Master Summoner	大召喚士	대소환사	ซัมมอนเนอร์
102070	0	103	1	2		102060	0	0	9	1	10	200	1	15000	3000004	72302	99	0	0	4	0	11	1	3-5	3-5	3-5	3-5	3-5	3-5	正义的阴影	正義的陰影	Shadows of Justice	正義の影	기억의 깊은 곳	เงาของความ\nยุติธรรม
102080	0	103	1	2		102070	0	0	9	1	10	200	1	15000	3000004	72303	99	0	0	4	0	11	1	3-6	3-6	3-6	3-6	3-6	3-6	记忆深处	記憶深處	Memories Beneath	記憶の底	마음의 소리	ส่วนลึกของความทรงจำ
102090	0	103	1	2		102080	0	0	9	1	10	200	12	10000	3000004	73803	99	10209	0	2	0	11	1	3-7	3-7	3-7	3-7	3-7	3-7	心之声	心之聲	Voice of the Heart	心の声	마음의 소리	เสียงหัวใจ
