id	type	listImageId	listImageB	listImageS	image	desc	head	weather	bgm	music	plotIdGroup1	taskPlotId	taskPlotEndId	plotIdGroup2	plotIdWave1	plotIdEndWave1	plotIdWave2	plotIdEndWave2	plotIdWave3	plotIdEndWave3	plotIdGroup3	plotIdRound	plotIdRounds	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
301010	1	00_01	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_op_disorder															1
301020	2	00_02	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_bg_gx_tower01															1
301030	2	00_03	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
301040	1	00_04	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
302010	2	01_01	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_op_dream															1
302020	2	01_02	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_home_saxophone1															1
302030	4	01_03	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_op_strange															1
302040	2	01_04	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
303010	2	01_05	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_battle_BF04															1
303020	2	01_06	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
303030	3	01_07	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_story01_inter															1
303040	2	01_08	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_plot_trust01															1
304010	2	01_09	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
304020	1	01_10	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_op_dream															1
304030	2	02_01	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
304040	3	01_07	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
305010	3	02_02	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
305020	3	01_07	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
305030	3	02_03	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_plot_trust01															1
305040	2	02_08	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_op_strange															1
306010	2	02_09	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_plot_trust01															1
306020	2	02_10	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_universal_survey01															1
306030	4	03_01	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
306040	3	03_02	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
307010	3	03_05	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
307020	3	01_07	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_battle_BF04															1
307030	2	03_08	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_bg_gx_tower01															1
307040	2	03_09	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_universal_songforyou															1
308010	2	03_10	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
308020	3	03_11	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
308030	3	03_12	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
308040	3	03_14	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_role_qi															1
309010	2	03_15	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_plot_trust01															1
309020	2	03_16	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1	bgm_plot_taskstar01															1
309030	2	03_17	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
309040	3	01_07	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
310010	3	04_01	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
310020	3	04_02	29:main_attack_story	29:main_attack_story	57:main_attack_bg			1																1
