questKey	id	status
string	string	int
100	100000,100010,100020,100030	1
101	101010,101020,101030,101040,101050,101060,101070,101080	1
102	101090,101100,101101,101102,101110,101111,101120,101170,101180,101190	1
103	102010,102020,102050,102060,102070,102080,102090,102100,102110,102130,102140	1
104	102150,102160,102161,102170,102180,102190,102210,102211,102220,102250,102260,102261,102270	1
105	102310,103001,103010,103030,103040,103050,103060,103070,103080,103090,103100	1
106	103110,103140,103150,103170,103180,103190,103200,103210,103220,103230,103250,103260	1
107	104010,104020,104030,104040,104050,104060,104070,104080,104090,104100,104110,104120,104130,104140,104150,104151,104160,104170,104180	1
108	104200,104270,104280,104290,105010,105030,105050,105060,105061,105070,105071,105090,105100,105110,105120,105121,105130,105131,105140	1
109	105160,105170,105180,105190,105200,105210,105220,105240,105250,106010,106020,106021,106030,106040,106050,106060	1
110	106070,106080,106090,106100,106110,106120,106130,106140,106150,106160,106170,106180,106190,106240,106250,106251	1
111	107010,107011,107020,107040,107050,107060,107080,107090,107100,107110,107120,107130,107140,107150,107151,107160	1
112	107180,107190,107200,107210,107220,107230,107240,107250,108010,108011,108030,108040,108050	1
113	108060,108070,108080,108090,108100,108110,108140,108150,108190,108200,108210,108220,108230,108240,108241,108250,108251	1
114	109010,109020,109030,109040,109050,109060,109070,109080,109090,109091,109100,109110,109120,109160,109161,109170	1
115	109180,109181,109190,109200,109210,109240,109250,110010,110020,110030,110040,110050,110060,110070,110080,110081,110090,110100	1
116	110110,110111,110112,110113,110120,110121,110122,110130,110170,110180,110210,110220,110221,110222,110230,110231,110240,110241,110250,110251	1
117	111001,111010,111020,111030,111031,111060,111070,111080,111090,111091,111100,111110,111160,111170,111171	1
118	111180,111181,111182,111190,111191,111200,111210,111240,111241,111250,111251,112010,112020,112030,112050	1
119	112060,112061,112062,112070,112080,112090,112100,112101,112110,112111,112120,112130,112140,112160,112170,112180,112220,112230,112240,112241,112242	1
120	120010,120020,120030,120040,120050,120060,120070,120080,120090	1
121	121010,121020,121030,121040,121050,121060,121070,121080	1
122	122010,122020,122030,122040,122050,122060,122070,122080,122090	1
123	123010,123020,123030,123040,123050,123060,123070,123080	1
124	124010,124020,124030,124040,124050,124060,124070	1
125	125010,125020,125030,125040,125050,125060,125070,125080,125090	1
126	126010,126020,126030,126040,126050,126060,126070,126080	1
127	127010,127020,127030,127040,127050,127060,127070,127080	1
