questId	ids	status
string	string	int
11511011	11511011_1	1
11511012	11511012_1	1
11511013	11511013_1	1
11511021	11511021_1	1
11511022	11511022_1	1
11511023	11511023_1	1
11511031	11511031_1	1
11511032	11511032_1	1
11511033	11511033_1	1
11512011	11512011_1	1
11512012	11512012_1	1
11512013	11512013_1	1
11512021	11512021_1	1
11512022	11512022_1	1
11512023	11512023_1	1
11512031	11512031_1	1
11512032	11512032_1	1
11512033	11512033_1	1
11513011	11513011_1	1
11513012	11513012_1	1
11513013	11513013_1	1
11513021	11513021_1	1
11513022	11513022_1	1
11513023	11513023_1	1
11513031	11513031_1	1
11513032	11513032_1	1
11513033	11513033_1	1
4005101	4005101_1	1
4005102	4005102_1	1
4005103	4005103_1	1
4005104	4005104_1	1
4005105	4005105_1	1
4005201	4005201_1	1
4005202	4005202_1	1
4005203	4005203_1	1
4005204	4005204_1	1
4005205	4005205_1	1
4005301	4005301_1	1
4005302	4005302_1	1
4005303	4005303_1	1
4005304	4005304_1	1
4005305	4005305_1	1
4000101	4000101_1	1
4000102	4000102_1	1
4000103	4000103_1	1
4000201	4000201_1	1
4000202	4000202_1	1
4000203	4000203_1	1
4000204	4000204_1	1
4000301	4000301_1	1
4000302	4000302_1	1
4000303	4000303_1	1
4000304	4000304_1	1
4000305	4000305_1	1
4000401	4000401_1	1
4000402	4000402_1	1
4000403	4000403_1	1
4000404	4000404_1	1
4000405	4000405_1	1
4000501	4000501_1	1
4000502	4000502_1	1
4000503	4000503_1	1
4000504	4000504_1	1
4000505	4000505_1	1
4000601	4000601_1	1
4000602	4000602_1	1
4000603	4000603_1	1
4000604	4000604_1	1
4000605	4000605_1	1
4000701	4000701_1	1
4000702	4000702_1	1
4000703	4000703_1	1
4000704	4000704_1	1
4000705	4000705_1	1
4000801	4000801_1	1
4000802	4000802_1	1
4000803	4000803_1	1
4000804	4000804_1	1
4000805	4000805_1	1
50001	50001_1	1
50002	50002_1	1
50011	50011_1	1
50031	50031_1	1
50041	50041_1	1
50051	50051_1	1
50061	50061_1	1
51001	51001_1	1
51002	51002_1	1
51011	51011_1	1
51031	51031_1	1
51041	51041_1	1
51051	51051_1	1
52001	52001_1	1
52002	52002_1	1
52011	52011_1	1
52031	52031_1	1
52041	52041_1	1
52051	52051_1	1
50099	50099_1	1
12020101	12020101_1	1
12020102	12020102_1	1
12020103	12020103_1	1
12020104	12020104_1	1
12020105	12020105_1	1
12020106	12020106_1	1
12020201	12020201_1	1
12020202	12020202_1	1
12020203	12020203_1	1
12020204	12020204_1	1
120361011	120361011_1	1
120361012	120361012_1	1
120361013	120361013_1	1
120361021	120361021_1	1
120361022	120361022_2	1
120361023	120361023_3	1
120361031	120361031_1	1
120361032	120361032_2	1
120361033	120361033_3	1
120361041	120361041_1	1
120361042	120361042_2	1
120361043	120361043_3	1
100010	100010_1,100010_2	1
100020	100020_1	1
101010	101010_1	1
101020	101020_1	1
101040	101040_1	1
101050	101050_1	1
101060	101060_1	1
101080	101080_1	1
101090	101090_1,101090_2	1
101101	101101_1	1
101170	101170_1	1
101180	101180_1	1
101190	101190_1	1
102070	102070_1	1
102080	102080_1	1
102090	102090_1	1
102140	102140_1,102140_2	1
102150	102150_1	1
102160	102160_1	1
102210	102210_1	1
102250	102250_1	1
102260	102260_1	1
102270	102270_1,102270_2	1
103001	103001_1	1
103010	103010_1	1
103070	103070_1	1
103090	103090_1	1
103100	103100_1	1
103140	103140_1	1
103150	103150_1	1
103200	103200_1	1
103210	103210_1	1
103260	103260_1,103260_2	1
104040	104040_1	1
104050	104050_1	1
104070	104070_1	1
104080	104080_1	1
104090	104090_1,104090_2	1
104130	104130_1	1
104140	104140_1	1
104160	104160_1	1
104170	104170_1	1
104180	104180_1	1
104270	104270_1	1
104290	104290_1	1
105010	105010_1	1
105050	105050_1	1
105060	105060_1	1
105061	105061_1	1
105070	105070_1	1
105090	105090_1	1
105100	105100_1	1
105120	105120_1	1
105130	105130_1	1
105131	105131_1	1
105140	105140_1,105140_2	1
105200	105200_1	1
105210	105210_1	1
105240	105240_1	1
105250	105250_1,105250_2	1
106010	106010_1	1
106020	106020_1	1
106050	106050_1	1
106060	106060_1	1
106100	106100_1	1
106110	106110_1	1
106120	106120_1	1
106160	106160_1	1
106170	106170_1	1
106180	106180_1,106180_2	1
106240	106240_1	1
106250	106250_1,106250_2	1
107010	107010_1	1
107011	107011_1	1
107040	107040_1	1
107050	107050_1	1
107060	107060_1	1
107100	107100_1	1
107110	107110_1	1
107140	107140_1	1
107150	107150_1	1
107151	107151_1	1
107160	107160_1,107160_2	1
107230	107230_1	1
107240	107240_1	1
107250	107250_1,107250_2	1
108010	108010_1	1
108030	108030_1	1
108040	108040_1	1
108050	108050_1,108050_2	1
108080	108080_1	1
108090	108090_1	1
108140	108140_1	1
108150	108150_1	1
108190	108190_1	1
108200	108200_1	1
108230	108230_1	1
108240	108240_1	1
108241	108241_1	1
108250	108250_1,108250_2	1
109010	109010_1	1
109020	109020_1	1
109060	109060_1	1
109070	109070_1	1
109080	109080_1	1
109100	109100_1	1
109110	109110_1	1
109160	109160_1	1
109170	109170_1	1
109180	109180_1	1
109190	109190_1	1
109200	109200_1	1
109240	109240_1	1
109250	109250_1	1
110010	110010_1	1
110020	110020_1	1
110030	110030_1	1
110080	110080_1	1
110090	110090_1	1
110100	110100_1	1
110120	110120_1	1
110122	110122_1	1
110130	110130_1	1
110170	110170_1	1
110180	110180_1	1
110221	110221_1	1
110222	110222_1	1
110240	110240_1	1
110241	110241_1	1
110250	110250_1	1
111001	111001_1	1
111010	111010_1	1
111020	111020_1	1
111060	111060_1	1
111070	111070_1	1
111080	111080_1	1
111100	111100_1	1
111110	111110_1,111110_2	1
111160	111160_1	1
111170	111170_1	1
111180	111180_1	1
111181	111181_1	1
111182	111182_1	1
111191	111191_1	1
111200	111200_1	1
111210	111210_1	1
111240	111240_1,111240_2	1
111250	111250_1	1
112010	112010_1	1
112020	112020_1	1
112030	112030_1	1
112050	112050_1	1
112060	112060_1	1
112061	112061_1	1
112062	112062_1	1
112090	112090_1	1
112100	112100_1	1
112110	112110_1	1
112111	112111_1,112111_2,112111_3	1
112160	112160_1	1
112170	112170_1	1
112180	112180_1	1
112220	112220_1,112220_2,112220_3	1
112230	112230_1,112230_2	1
112240	112240_1	1
301010	301010_1	1
301020	301020_1	1
301030	301030_1	1
301040	301040_1	1
302010	302010_1	1
302020	302020_1	1
302030	302030_1	1
302040	302040_1	1
303010	303010_1	1
303020	303020_1	1
303030	303030_1	1
303040	303040_1	1
304010	304010_1	1
304020	304020_1	1
304030	304030_1	1
304040	304040_1	1
305010	305010_1	1
305020	305020_1	1
305030	305030_1	1
305040	305040_1	1
306010	306010_1	1
306020	306020_1	1
306030	306030_1	1
306040	306040_1	1
307010	307010_1	1
307020	307020_1	1
307030	307030_1	1
307040	307040_1	1
308010	308010_1	1
308020	308020_1	1
308030	308030_1	1
308040	308040_1	1
309010	309010_1	1
309020	309020_1	1
309030	309030_1	1
309040	309040_1	1
310010	310010_1	1
310020	310020_1	1
310030	310030_1	1
310040	310040_1	1
311010	311010_1	1
311020	311020_1	1
311030	311030_1	1
311040	311040_1	1
312010	312010_1	1
312020	312020_1	1
312030	312030_1	1
312040	312040_1	1
313010	313010_1	1
313020	313020_1	1
313030	313030_1	1
313040	313040_1	1
314010	314010_1	1
314020	314020_1	1
314030	314030_1	1
314040	314040_1	1
315010	315010_1	1
315020	315020_1	1
315030	315030_1	1
315040	315040_1	1
316010	316010_1	1
316020	316020_1	1
316030	316030_1	1
316040	316040_1	1
317010	317010_1	1
317020	317020_1	1
317030	317030_1	1
317040	317040_1	1
120020	120020_1	1
120030	120030_1	1
120040	120040_1	1
120050	120050_1	1
120060	120060_1	1
120080	120080_1	1
120090	120090_1,120090_2	1
121010	121010_1	1
121020	121020_1	1
121040	121040_1	1
121050	121050_1	1
121060	121060_1	1
121070	121070_1,121070_2	1
121080	121080_1	1
122010	122010_1	1
122030	122030_1	1
122040	122040_1	1
122050	122050_1	1
122070	122070_1	1
122080	122080_1	1
122090	122090_1,122090_2	1
123010	123010_1	1
123020	123020_1	1
123040	123040_1	1
123060	123060_1,123060_2	1
123070	123070_1	1
123080	123080_1,123080_2	1
124020	124020_1	1
124030	124030_1	1
124060	124060_1	1
124070	124070_1,124070_2	1
125010	125010_1	1
125030	125030_1	1
125050	125050_1	1
125080	125080_1,125080_2	1
126030	126010_1	1
126050	126030_1	1
127010	127010_1	1
127030	127030_1	1
127040	127040_1	1
127050	127050_1	1
12150104	12150104_1	1
12150106	12150106_1	1
12150108	12150108_1	1
2010101	2010101_1	1
2010102	2010102_1	1
2010103	2010103_1	1
2010104	2010104_1	1
2010105	2010105_1	1
2010106	2010106_1	1
2010201	2010201_1	1
2010202	2010202_1	1
2010203	2010203_1	1
2010401	2010401_1	1
2010402	2010402_1	1
2010403	2010403_1	1
2010501	2010501_1	1
2010502	2010502_1	1
2010503	2010503_1	1
2010504	2010504_1	1
2010505	2010505_1	1
2010506	2010506_1	1
2010507	2010507_1	1
2010508	2010508_1	1
2010509	2010509_1	1
2020101	2020101_1	1
2020102	2020102_1	1
2020103	2020103_1	1
2020104	2020104_1	1
2020105	2020105_1	1
2020106	2020106_1	1
2020107	2020107_1	1
2020108	2020108_1	1
2020109	2020109_1	1
2020201	2020201_1	1
2020202	2020202_1	1
2020203	2020203_1	1
2020301	2020301_1	1
2020302	2020302_1	1
2020303	2020303_1	1
2020401	2020401_1	1
2020402	2020402_1	1
2020403	2020403_1	1
2030101	2030101_1	1
2030102	2030102_1	1
2030103	2030103_1	1
2030201	2030201_1	1
2030202	2030202_1	1
2030203	2030203_1	1
2030301	2030301_1	1
2030302	2030302_1	1
2030303	2030303_1	1
2030501	2030501_1	1
2030502	2030502_1	1
2030503	2030503_1	1
2030504	2030504_1	1
2030505	2030505_1	1
2030506	2030506_1	1
2030507	2030507_1	1
2030508	2030508_1	1
2030509	2030509_1	1
2040101	2040101_1	1
2040102	2040102_1	1
2040103	2040103_1	1
2040301	2040301_1	1
2040302	2040302_1	1
2040303	2040303_1	1
2040401	2040401_1	1
2040402	2040402_1	1
2040403	2040403_1	1
2040501	2040501_1	1
2040502	2040502_1	1
2040503	2040503_1	1
2040504	2040504_1	1
2040505	2040505_1	1
2040506	2040506_1	1
2040507	2040507_1	1
2040508	2040508_1	1
2040509	2040509_1	1
2050101	2050101_1	1
2050102	2050102_1	1
2050103	2050103_1	1
2050301	2050301_1	1
2050302	2050302_1	1
2050303	2050303_1	1
2050401	2050401_1	1
2050402	2050402_1	1
2050403	2050403_1	1
2050501	2050501_1	1
2050502	2050502_1	1
2050503	2050503_1	1
2050504	2050504_1	1
2050505	2050505_1	1
2050506	2050506_1	1
2050507	2050507_1	1
2050508	2050508_1	1
2050509	2050509_1	1
2060101	2060101_1	1
2060102	2060102_1	1
2060103	2060103_1	1
2060201	2060201_1	1
2060202	2060202_1	1
2060203	2060203_1	1
2060301	2060301_1	1
2060302	2060302_1	1
2060303	2060303_1	1
2060401	2060401_1	1
2060402	2060402_1	1
2060403	2060403_1	1
2060404	2060404_1	1
2060405	2060405_1	1
2060406	2060406_1	1
2060407	2060407_1	1
2060408	2060408_1	1
2060409	2060409_1	1
2015001	2015001_1	1
2015002	2015002_1	1
2015003	2015003_1	1
2015004	2015004_1	1
2015005	2015005_1	1
2015006	2015006_1	1
2015101	2015101_1	1
2015102	2015102_1	1
2015103	2015103_1	1
2015104	2015104_1	1
2015105	2015105_1	1
2015106	2015106_1	1
2015201	2015201_1	1
2015202	2015202_1	1
2015203	2015203_1	1
2015204	2015204_1	1
2015205	2015205_1	1
2015206	2015206_1	1
2015301	2015301_1	1
2015302	2015302_1	1
2015303	2015303_1	1
2015304	2015304_1	1
2015305	2015305_1	1
2015306	2015306_1	1
2015401	2015401_1	1
2015402	2015402_1	1
2015403	2015403_1	1
2015404	2015404_1	1
2015405	2015405_1	1
2015406	2015406_1	1
2015501	2015501_1	1
2015502	2015502_1	1
2015503	2015503_1	1
2015504	2015504_1	1
2015505	2015505_1	1
2015506	2015506_1	1
50020102	50020102_1,50020102_2	1
50020105	50020105_1	1
50020106	50020106_1,50020106_2	1
50020203	50020203_1	1
50020204	50020204_1	1
50020303	50020303_1	1
50020402	50020402_1	1
50020502	50020502_1	1
50020507	50020507_1	1
50030101	50030101_1	1
50030201	50030201_1	1
50030301	50030301_1	1
50030401	50030401_1	1
50030501	50030501_1	1
50040101	50040101_1,50040101_2	1
50021106	50021106_1	1
50021209	50021209_1	1
50021304	50021304_1	1
50031101	50031101_1	1
50031201	50031201_1	1
50031301	50031301_1	1
50031401	50031401_1	1
50041101	50041101_1,50041101_2	1
50022104	50022104_1	1
50022203	50022203_1,50022203_2	1
50022303	50022303_1	1
50022304	50022304_1	1
50032101	50032101_1	1
50032201	50032201_1	1
50032301	50032301_1	1
50032401	50032401_1	1
50042101	50042101_1	1
50023103	50023103_1	1
50023104	50023104_1	1
50023201	50023201_1,50023201_2	1
50023204	50023204_1	1
50023301	50023301_1	1
50023302	50023302_1,50023302_2	1
50023303	50023303_1	1
50023305	50023305_1	1
50033101	50033101_1	1
50033201	50033201_1	1
50033301	50033301_1	1
50033401	50033401_1	1
50043101	50043101_1	1
50024102	50024102_1,50024102_2	1
50024104	50024104_1	1
50024203	50024203_1,50024203_2	1
50024303	50024303_1	1
50024304	50024304_1	1
50034101	50034101_1	1
50034201	50034102_1	1
50034301	50034103_1	1
50034401	50034104_1	1
50044101	50044101_1	1
50025101	50025101_1	1
50025103	50025103_1	1
50025301	50025301_1	1
50025304	50025304_1	1
50025401	50025401_1	1
50025402	50025402_1	1
