id	group	unlock	image	desc	plotId	rewardId	rewardNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
11	1	0		20108010	20108010	3000002;3000003	10;10000	1	引导者	引導者				
12	1	11		20108020	20108020	3000002;3000003	10;10000	1	黑王	黑王				
21	2	0		20109010	20109010	3000002;3000003	10;10000	1	实验品	實驗品				
22	2	21		20109020	20109020	3000002;3000003	10;10000	1	逃离	逃離				
31	3	0		20101010	20101010	3000002;3000003	10;10000	1	老鼠们	老鼠們				
32	3	31		20101020	20101020	3000002;3000003	10;10000	1	血泪皮囊	血淚皮囊				
33	3	32		20101030	20101030	3000002;3000003	10;10000	1	老鼠的一生	老鼠的一生				
34	3	33		20101040	20101040	3000002;3000003	10;10000	1	朝阳	朝陽				
41	4	0		20102010	20102010	3000002;3000003	10;10000	1	接任务	接任務				
42	4	41		20102020	20102020	3000002;3000003	10;10000	1	空瓶	空瓶				
43	4	42		20102030	20102030	3000002;3000003	10;10000	1	可怕的账单	可怕的帳單				
51	5	0		20110010	20110010	3000002;3000003	10;10000	1	偶遇	偶遇				
52	5	51		20110020	20110020	3000002;3000003	10;10000	1	禁锢	禁錮				
61	6	0		20103010	20103010	3000002;3000003	10;10000	1	必要的过程	必要的過程				
62	6	61		20103020	20103020	3000002;3000003	10;10000	1	不期而会	不期而會				
63	6	62		20103030	20103030	3000002;3000003	10;10000	1	乐园更新	樂園更新				
64	6	63		20103040	20103040	3000002;3000003	10;10000	1	这就是姐姐？	這就是姐姐？				
71	7	0		20104010	20104010	3000002;3000003	10;10000	1	酣梦的芳香	酣夢的芳香				
72	7	71		20104020	20104020	3000002;3000003	10;10000	1	无人应答	無人應答				
73	7	72		20104030	20104030	3000002;3000003	10;10000	1	未定的承诺	未定的承諾				
74	7	73		20104040	20104040	3000002;3000003	10;10000	1	花海之约	花海之約				
81	8	0		20111010	20111010	3000002;3000003	10;10000	1	真相的代价	真相的代價				
91	9	0		20112010	20112010	3000002;3000003	10;10000	1	酒心巧克力	酒心巧克力				
92	9	91		20112020	20112020	3000002;3000003	10;10000	1	高塔下的偶遇	高塔下的偶遇				
101	10	0		20105010	20105010	3000002;3000003	10;10000	1	意外的访客	意外的訪客				
102	10	101		20105020	20105020	3000002;3000003	10;10000	1	神秘的猫咪	神秘的貓咪				
103	10	102		20105030	20105030	3000002;3000003	10;10000	1	千辰的秘密	千辰的秘密				
104	10	103		20105040	20105040	3000002;3000003	10;10000	1	无言的温柔	無言的溫柔				
111	11	0		20113010	20113010	3000002;3000003	10;10000	1	平静的渔村	平靜的漁村				
112	11	111		20113020	20113020	3000002;3000003	10;10000	1	请求	請求				
121	12	0		20107010	20107010	3000002;3000003	10;10000	1	夜半匿影	夜半匿影				
122	12	121		20107020	20107020	3000002;3000003	10;10000	1	糖果骗局	糖果騙局				
123	12	122		20107030	20107030	3000002;3000003	10;10000	1	最后的避风岛	最後的避風島				
131	13	0		20114010	20114010	3000002;3000003	10;10000	1	玩伴	玩伴				
132	13	131		20114020	20114020	3000002;3000003	10;10000	1	秘密交易	秘密交易				
133	13	132		20114030	20114030	3000002;3000003	10;10000	1	求助	求助				
141	14	0		20115010	20115010	3000002;3000003	10;10000	1	宏大的计划	宏大的計畫				
142	14	141		20115020	20115020	3000002;3000003	10;10000	1	兔子先生	兔子先生				
