id	chapterId	pic	status	title	title_zh_TW	title_en_UK	title_ja_JP	title_ko_KR	title_th_TH	text	text_zh_TW	text_en_UK	text_ja_JP	text_ko_KR	text_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	100	41:main_ico_bubble_3	1	备忘录	備忘錄	Memo	メモ	메모	บันทึกช่วยจำ	前往暴风眼分部，贝克猫调查小队驻地，完成入职。	前往暴風眼分部，貝克貓調查小隊駐地，完成入職。	Head over to the StormEye branch, the base of the Baker Squad, to complete your onboarding process.	ベイカーキャット小隊のいる、ストームアイの支部に向かい、配属手続きを済ませる。	스톰아이 지부에 가서 베이커캣 소대 주둔지를 알아보고 임관를 완료하세요.	ไป​ที่​สาขา​ย่อย​ของ​สตอร์ม​อาย​ สถานที่​ประจำการ​ของ​ทีม​เบเกอร์​ และ​เริ่ม​งาน​
2	100	41:main_ico_bubble_2	1	喵喵天气	喵喵天氣	Meow Weather Report	ニャー天気	냥냥 날씨	พยากรณ์อากาศเมี้ยวๆ	8月30日 周三 气温：18~25℃ 阵雨转多云 西南风3级	8月30日 週三 氣溫：18~25℃ 陣雨轉多雲 西南風3級	Aug. 30, Wednesday: 18-25℃, Showers to partly cloudy. SW wind at force 3.	8月30日（水） 気温：18～25℃ にわか雨～曇り 南西の風 3	8월 30일 수요일 기온: 18~25℃ 비 뒤 구름 많음 남서풍 3~5m/s	วัน​พุธ​ที่​ 30​ สิงหาคม​:​ อุณหภูมิ​ 18​ -​ 25​ ℃​ ฝนตก​เป็นช่วง​ มี​เมฆมาก​ มี​ลม​จาก​ทิศตะวันตกเฉียงใต้​ระดับ​ 3​
3	100	41:main_ico_bubble_1	1	新海速报	新海速報	News Flash Catto City	ニューシー・エクスプレス	뉴오션 속보	ข่าวด่วนแคทโตะ	劳动部门提醒：「发财」美梦变「致命」噩梦？警惕高薪陷阱！	勞動部門提醒：「發財」美夢變「致命」噩夢？警惕高薪陷阱！	Notice from the Labor Department: From Dreams of Riches to Deadly Nightmares? Beware of High-Paying Job Scams!	労働局注意報：「一攫千金」の夢が「致命的」な悪夢に？ 高給取りの罠に注意	노동청 Tips: 「성공」의 꿈이 치명적인 「악몽」으로? 고연봉이 주는 함정에 빠지지 않도록 주의하세요!	กรม​แรงงาน​แจ้ง​เตือน​:​ ฝันหวาน​ที่​"​ร่ำรวย​"​ อาจ​กลายเป็น​ ฝันร้าย​"​ถึงตาย​"​ ได้​?​ ระวัง​งาน​หลอกลวง​ที่​เงินเดือน​สูง​!​
4	101	41:main_ico_bubble_3	1	备忘录	備忘錄	Memo	メモ	메모	บันทึกช่วยจำ	倒计时136天。恢复贝克猫情绪餐厅经营，清理贝克街绪能点。	倒數計時136天。恢復貝克貓情緒餐廳經營，清理貝克街緒能點。	136 days remain. Prepare to resume operations at Baker's Cafe and clear the Pathos Drop Point on Baker Street.	残り136日。ベイカーキャット・レストラン営業を再開し、ドロップポイント周辺の傀化物を片付ける。	D-136. 베이커캣 이모션 카페테리아 경영상황을 회복하고, 베이커 가의 이모션 에너지 스팟을 깨끗이 정리하세요.	นับ​ถอยหลัง​ 136​ วัน​ ฟื้นฟู​กิจ​การพา​โธส​คาเฟ่​ของ​เบเกอร์​แค​ท​ และ​จัดการ​จุด​พา​โธส​รั่วไหล​บน​ถนน​เบเกอร์​
5	101	41:main_ico_bubble_2	1	喵喵天气	喵喵天氣	Meow Weather Report	ニャー天気	냥냥 날씨	พยากรณ์อากาศเมี้ยวๆ	8月30日 周三 气温：18~25℃ 阵雨转多云 西南风3级	8月30日 週三 氣溫：18~25℃ 陣雨轉多雲 西南風3級	Aug. 30, Wednesday: 18-25℃, Showers to partly cloudy. SW wind at force 3.	8月30日（水） 気温：18～25℃ にわか雨～曇り 南西の風 3	8월 30일 수요일 기온: 18~25℃ 비 뒤 구름 많음 남서풍 3~5m/s	วัน​พุธ​ที่​ 30​ สิงหาคม​:​ อุณหภูมิ​ 18​ -​ 25​ ℃​ ฝนตก​เป็นช่วง​ มี​เมฆมาก​ มี​ลม​จาก​ทิศตะวันตกเฉียงใต้​ระดับ​ 3​
6	101	41:main_ico_bubble_1	1	美食指南	美食指南	Culinary Guide	フードガイド	맛집 가이드	คู่มือทำอาหาร	最新研究！！专家建议居民每周食用情绪餐饮至少3次，能有效预防情绪疾病，保持情绪健康。	最新研究！！專家建議居民每週食用情緒餐飲至少3次，能有效預防情緒疾病，保持情緒健康。	Latest Research Revealed! Experts suggest that consuming Pathos Cuisine at least 3 times a week can help prevent Pathosis and maintain emotional well-being.	新しい研究 専門家は、住民が気分障害を予防し、感情の健康を維持するために、少なくとも週に3回、感情的な食事を摂取することを推奨している。	최신연구!! 전문가들은 모든 주민들이 매주 이모션 푸드를 최소 3회 먹을 것을 권고했습니다. 이는 이모션리스를 예방하고 이모션 건강에 도움이 된다고 합니다.	งานวิจัย​ล่าสุด​!!​ ผู้เชี่ยวชาญ​แนะนำ​ให้​ประชาชน​ทานอาหาร​พา​โธส​อย่าง​น้อย​ 3​ ครั้ง​ต่อ​สัปดาห์​ สามารถ​ป้องกัน​โรค​พา​โธ​ซิ​ส​ได้​อย่าง​มีประสิทธิภาพ​ และ​รักษาสุขภาพ​พา​โธส​
7	102	41:main_ico_bubble_3	1	备忘录	備忘錄	Memo	メモ	메모	บันทึกช่วยจำ	倒计时135天。接手「人口失踪案」。注意：避免与议会发生冲突。	倒數計時135天。接手「人口失蹤案」。注意：避免與議會發生衝突。	135 days remain. Take charge of the missing persons case. Note: Avoid conflicts with the council.	残り135日。「 行方不明者」事件を引き継ぐ 自分へのメモ：議会との衝突を避ける。	D-135. 「실종 사건」접수. 주의: 의회와의 충돌을 피하십시오.	นับ​ถอยหลัง​ 135​ วัน​ รับ​ช่วงต่อ​ [​คดี​คน​หาย​]​ หมายเหตุ​:​ หลีกเลี่ยง​การ​เกิด​ความขัดแย้ง​กับ​รัฐสภา​
8	102	41:main_ico_bubble_2	1	喵喵天气	喵喵天氣	Meow Weather Report	ニャー天気	냥냥 날씨	พยากรณ์อากาศเมี้ยวๆ	8月31日 周四 气温：19~28℃ 晴 东北风2~3级	8月31日 週四 氣溫：19~28℃ 晴 東北風2~3級	Aug. 31, Thursday: 19-28℃, Sunny. NE wind at force 2-3.	8月31日（木） 気温：19~28℃ 晴 北東の風：2~3	8월 31일 목요일 기온: 19~28℃ 맑음 북동풍 2~5m/s	วัน​พฤหัสบดี​ที่​ 31​ สิงหาคม​:​ อุณหภูมิ​ 19​ -​ 28​ ℃​ ฟ้า​โปร่ง​ มี​ลม​ตะวันออกเฉียงเหนือ​ระดับ​ 2​ -​ 3​
9	102	41:main_ico_bubble_1	1	新海速报	新海速報	News Flash Catto City	ニューシー・エクスプレス	뉴오션 속보	ข่าวด่วนแคทโตะ	净化网络谣言行动效果显著。大批不实消息遭到封锁，其中「深夜工厂」「血液怪谈」等谣言曾广为流传……	淨化網路謠言行動效果顯著。大批不實消息遭到封鎖，其中「深夜工廠」「血液怪談」等謠言曾廣為流傳……	Efforts to combat online rumors are yielding positive results. Multiple fake news sources have been blocked, including widely circulated stories like Midnight Factory and Paranormal Blood Tales.	ネットのデマ一掃作戦が功を奏した。 中でも「深夜工場」「血の怪奇」といった噂は広く流布していた。	인터넷 루머 클리닝 활동이 현저한 효과를 보입니다. 대량의 허위정보 유포를 막았으며, 그 중에는 「심야공장」, 「피의괴담」 등 루머의 확산이 포함됩니다...	การ​ดำเนินการ​ลบล้าง​ข่าว​เท็จ​บน​อินเทอร์เน็ต​เกิดผล​ชัดเจน​มาก​ ข่าว​เท็จ​จํานวน​มาก​ได้​ถูก​ปิดกั้น​ ดังเช่น​ "​โรงงาน​กลางดึก​"​ และ​ "​เรื่อง​ลี้ลับ​เกี่ยวกับ​เลือด​"​ ที่​ได้​แพร่กระจาย​ออก​ไป​อย่าง​กว้างขวาง​...​
