group	chapter	unlockNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int
1	101	101010	1	情绪·梦境·记忆	情緒·夢境·記憶	Pathos, Dreams, and Memories	感情・夢・記憶	이모션·꿈결·기억	พา​โธส​·​แดน​ฝัน​·​ความทรงจำ​
2	101	101050	1	消失的孩子	消失的孩子	The Missing Children	消えた子ども	사라진 아이	เด็กที่หายตัวไป
3	101	101090	1	老鼠的反抗	老鼠的反抗	Rat Rebellion	ネズミの反抗	쥐의 반항	การต่อต้านของหนู
4	101	101100	1	奇怪的佣兵	奇怪的傭兵	Odd Mercenary	変な傭兵	이상한 용병	ทหารรับจ้างประหลาด
5	101	101150	1	习惯等待	習慣等待	Used to Waiting	待つことに慣れてしまった	익숙한 기다림	ชินกับการรอ
6	102	102010	1	要小心姐姐！	要小心姐姐！	Please Be Careful	お姉さんには気をつけて！	조심해, 누나!	ระวังนะพี่สาว!
7	102	102050	1	甜梦，触手可及	甜夢，觸手可及	Sweet Dreams Within Reach	甘い夢はすぐそこに	달콤한 꿈, 손 닿는	ฝันหวาน​ ไม่​ไกล​เกิน​เอื้อม​
8	102	102060	1	代价与真相	代價與真相	Cost and Truth	代償と真相	대가와 진실	รา​คาที่​ต้อง​จ่าย​และ​ความจริง​
9	102	102080	1	酒心巧克力	酒心巧克力	Liquor Chocolate	お酒入りチョコレート	위스키 봉봉	ช็อกโกแลตเหล้า
10	102	102090	1	猫与可可	貓與可可	Cat and Cody	ネコとココ	고양이와 코코아	แมวกับโคโค่
11	103	103020	1	纯真之人	純真之人	The Innocent	純真の人	순진한 사람	ผู้บริสุทธิ์
12	103	103040	1	黑夜之中	黑夜之中	Amidst the Night	真夜中	한밤중	ในยามราตรี
13	103	103090	1	高塔的秘密	高塔的秘密	Secrets of the Tower	高塔の秘密	하이타워의 비밀	ความลับของไฮทาวเวอร์
14	103	103130	1	谎言	謊言	Lies	嘘	거짓말	คำโกหก
15	104	104010	1	忙碌第一天	忙碌第一天	Busy First Day	忙しい初日	바쁜 첫날	วันแรกอันยุ่งเหยิง
16	104	104120	1	纯白	純白	Pure White	純白	새하얀	ขาวบริสุทธิ์
17	104	104140	1	日记簿	日記簿	The Diary	日記帳	일기장	สมุดไดอารี่
18	104	104180	1	鬼语人心	鬼語人心	Specters' Human Side	鬼が棲む心	나쁜 말로 유혹하다	คำลวงปีศาจกับใจคน
19	104	104190	1	诺言	諾言	Promise	承諾	거짓말	คำสัญญา
20	105	105020	1	原是故人来	原是故人來	Old Acquaintance	懐かしい人との対面	고인께서 오셨군요	ที่แท้คือค้นคุ้นเคย
21	105	105070	1	白鸟礼赞	白鳥禮讚	Hymn to the White Bird	白鳥の讃歌	백조예찬	เพลงสรรเสริญนกขาว
22	105	105080	1	布丁之味	布丁之味	Taste of Pudding	プリンの味	푸딩의 맛	รสชาติของพุดดิ้ง
23	105	105130	1	我们的约定	我們的約定	Pact of Us	私たちの約束	우리의 약속	สัญญาของพวกเรา
24	105	105190	1	珍藏的热望	珍藏的熱望	Cherished Wish	胸に秘めた熱望	숨겨진 갈망	ความหวังที่เก็บรักษาไว้
25	106	106020	1	去往那罪孽的索多玛	去往那罪孽的索多瑪	To the Sinful Sodom	罪深きソドムへ	저 죄 많은 소돔으로 가다	มุ่งหน้า​สู่​โส​โดม​แห่ง​บาป​
26	106	106060	1	「机密」任务	「機密」任務	"Top Secret" Mission	「機密」任務	「시크릿」미션	ภารกิจ [ความลับ]
27	106	106070	1	搁浅的小鱼	擱淺的小魚	Marooned Fish	座礁する魚	그물에 걸린 물고기	ปลาน้อยเกยตื้น
28	106	106130	1	隐晦与皎洁	隱晦與皎潔	Obscurity and Brightness	陰翳と皎潔	은밀함과 공명정대함	ความคลุมเครือและชัดเจน
29	106	106160	1	不再回头	不再回頭	No Turning Back	二度と振り返らない	다시 떠올리지 않기	ไม่หันหลังกลับ
31	107	107030	1	调查署的一天	調查署的一天	A Day at the Bureau	ストームアイの一日	조사국의 하루	หนึ่ง​วัน​ใน​สำนักงาน​สืบสวน​
33	107	107190	1	密谋	密謀	Conspiracy	密謀	음모	วางแผนลับ
34	107	107200	1	自燃	自燃	Spontaneous Combustion	自燃	자연 발화	ลุกโชนด้วยตัวเอง
35	108	108020	1	余音	餘音	Aftersound	余韻	여운	เสียงสะท้อน
36	108	108050	1	秘密会议？先吃饭啦~	秘密會議？先吃飯啦~	A secret meeting? Let's eat first.	秘密会議？先に飯にしよう！	비밀 회의? 밥부터 먹자~!	การประชุม​ลับ​?​  กินข้าว​ก่อน​นะ​~​
37	108	108100	1	闲聊时光	閒聊時光	Leisure Chat Time	お喋りタイム	쉬는 시간	ช่วงเวลาคุยเล่น
38	108	108110	1	探秘进行时	探秘進行時	Mystery Exploration	探検タイム	정탐할 때	ขณะกำลังสำรวจ
39	110	110020	1	蜜绿澄清	蜜綠澄清	Honey-Green Clarity	澄みきる緑	투명한 감록색	เขียวใสราวน้ำผึ้ง
40	109	109060	1	潮汐与暗流	潮汐與暗流	Tides and Undercurrents	潮汐と海流	조석과 암류	กระแสและคลื่นใต้น้ำ
41	109	109100	1	丰饶之海	豐饒之海	Sea of Abundance	豊作の海	풍요로운 바다	ทะเลที่อุดมสมบูรณ์
42	109	109110	1	宇称不守恒	宇稱不守恆	Parity Nonconservation	パリティ非保存	우기성은 일정하지 않음	สมมาตรที่ผันผวน
43	109	109160	1	重新起航	重新起航	New Voyage	新しい船出	재출항	ออกเรืออีกครั้ง
44	110	110010	1	亲爱的战友	親愛的戰友	Dear Comrade	親愛なる戦友	친애하는 전우	เพื่อนร่วมรบที่รัก
45	110	110160	1	疑心暗鬼	疑心暗鬼	Paranoid Suspicions	疑心暗鬼	의심암귀	ความระแวงของจิตหลอน
46	110	110200	1	黑暗深处	黑暗深處	Depths of Darkness	闇の底で	깊은 어둠 속	ส่วนลึกของความมืด
47	111	111020	1	隐秘花丛之旅	隱秘花叢之旅	Through Hidden Flowers	秘密の花園への旅	비밀 꽃놀이	ทริป​แห่ง​สวนดอกไม้​เร้นลับ​
48	111	111060	1	事与愿违	事與願違	Things Going Wrong	事志と違う	뜻대로 되지 않는 일	ไม่เป็นดั่งหวัง
49	111	111070	1	今日知我	今日知我	Know Thyself Today	今日、我を知る	오늘의 나	รู้ตัววันนี้
50	111	111190	1	特殊教官	特殊教官	Special Instructor	特別教官	특수교관	ครูฝึกพิเศษ
