id	mapId	roomKey	ids	status
int	int	int	int	int
1011	1	0	0	1
101	1	1	1	1
102	1	2-down	2.1;2.2;2.3	1
103	1	2-up	2.4	1
104	1	3	3	1
105	1	4	4	1
106	1	5	5	1
107	1	6	6	1
108	1	7	7	1
109	1	8	8.1;8.2;8.3;8.4;8.5	1
1101	2	0	0	1
110	2	1	1.1;1.2;1.3;1.4;1.5	1
111	2	2-puzzle	2.1	1
112	2	2-solved	2.3	1
113	2	3	2.2;3	1
114	2	4-puzzle	4.1	1
115	2	4-solved	4.3	1
116	2	5	5.1;5.2;5.3;4.2	1
1171	3	0	0	1
117	3	1	1.1;1.2;1.3;1.4;1.5	1
118	3	2	2	1
119	3	3	3.1;3.2	1
120	3	4	4.1;4.2	1
121	3	5	5.1;5.2	1
122	3	6	6.1;6.2	1
123	3	7	7.1	1
124	3	8	8.1;8.2	1
125	3	9	9.1;9.2	1
126	3	10	10.1	1
127	3	11	11.1;11.2	1
128	3	12	12.1;12.2	1
129	3	13	13.1	1
1301	4	0	0	1
130	4	1	1	1
132	4	3	3.2	1
133	4	4	4;3.1	1
134	4	5	5.2	1
135	4	6	6;5.1	1
136	4	7	7.2	1
137	4	8	8;7.1	1
138	4	9	9.2	1
139	4	10	10;9.1	1
140	4	21	21.1;21.2;21.3;21.4	1
141	4	22	22.1;22.2;22.3;22.4	1
142	4	23	23.1;23.2;23.3;23.4	1
143	4	24	24.1;24.2;24.3;24.4	1
