id	mapId	group	type	isSave	preconditionAutoKeys	showedEvents	gearCondition	disappearedRooms	showedRooms	skipTagWhenReload	customJobTagWhenAfter	customInfo	chest	show	icon	storyId	talkId	reward	rewardNum	rewardStory	regionId	end	isStoryHasBG	notes	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10101	1	101	0-start	1		1-plot			0;1					0											1
10102	1	101	1-plot	1		2.1-plot;2.2-plot			2-down					1		3007010									1
10103	1	101	2.1-plot	1										0	155:spring_revealing_m418006.png	3007020									1
10104	1	101	2.2-plot	1		2.3-chest								1		3007030									1
10105	1	101	2.3-chest	1		2.4-battle			2-up				1	1				9000023	100	3007040					1
10106	1	101	2.4-battle	1		6-boss			6					0	155:spring_revealing_m31020002.png						12140102				1
10107	1	101	6-boss	1		7-chest			7		globeBallDown	firstBoss		1	155:spring_revealing_boss34005007.png						12140103				1
10108	1	101	7-chest	1								firstChest	1	1				9000015	1	3007060			1		1
101081	1	101	7-end	1	7-chest									0								1			1
10109	1	102	0-start	1		2.4-plot			0;1;2-down;2-up					0											1
10110	1	102	2.4-plot	1		4-gear;3-gear;5-gear			3;4;5					1		3007070									1
10111	1	102	4-gear											1											1
10112	1	102	3-gear											1											1
10113	1	102	5-gear											1											1
10114	1	102	2.4-solved	1		2.1-chest;2.2-chest;2.3-chest			2-down					0											1
10115	1	102	2.1-chest	1									1	1				9000019	1	3007080					1
10116	1	102	2.2-chest	1									1	1				9000020	1						1
10117	1	102	2.3-chest	1									1	1				9000021	1						1
101171	1	102	2.3-end	1	2.1-chest;2.2-chest;2.3-chest									0								1			1
10118	1	103	0-start	1		2.2-plot			0;1;2-down					0											1
10119	1	103	2.2-plot	1		8.1-gear;8.2-gear;8.3-gear;8.4-gear			8		showStates			1		3007090									1
10120	1	103	8.1-gear											1											1
10121	1	103	8.2-gear											1											1
10122	1	103	8.3-gear											1											1
10123	1	103	8.4-gear											1											1
10124	1	103	8.5-solved	1		8.5-chest								0											1
10125	1	103	8.5-chest	1									1	1				9000023	100	3007100			1		1
101251	1	103	8.5-end	1	8.5-chest									0								1			1
10126	2	201	0-start	1		1.1-plot			0;1					0											1
10127	2	201	1.1-plot	1		1.4-chest								1		3007110									1
10128	2	201	1.4-chest	1		1.5-plot							1	1				9000023	100						1
10129	2	201	1.5-plot	1		2.1-gear			2-puzzle;2-solved					0		3007120									1
10130	2	201	2.1-gear	0										1											1
10131	2	201	2.1-failure											0											1
10132	2	201	2.1-solved	1		2.2-boss			1;3					0											1
10133	2	201	2.2-boss	1		3-chest						firstBoss		0	155:spring_revealing_boss34035001.png						12140202				1
10134	2	201	3-chest	1								firstChest	1	1				9000016	1	3007140			1		1
101341	2	201	3-end	1	3-chest									0								1			1
10135	2	202	0-start	1		1.4-plot			0;1					0											1
10136	2	202	1.4-plot	1		4.1-gear			4-puzzle;4-solved					1		3007150									1
10137	2	202	4.1-gear											1											1
10138	2	202	4.1-failure											0											1
10139	2	202	4.1-solved	1		4.2-battle			1;5					0											1
10140	2	202	4.2-battle	1		5.1-chest;5.2-chest;5.3-chest								1	155:spring_revealing_m31030002.png						12140204				1
10141	2	202	5.1-chest	1									1	1				9000019	1						1
10142	2	202	5.2-chest	1									1	1				9000020	1						1
10143	2	202	5.3-chest	1									1	1				9000021	1	3007160					1
101431	2	202	5.3-end	1	5.1-chest;5.2-chest;5.3-chest									0								1			1
10144	2	203	0-start	1		1.3-boss			0;1					0											1
10145	2	203	1.3-boss	1										1	155:spring_revealing_m30404101.png						12140206				1
101451	2	203	1.3-end	1	1.3-boss									0								1			1
10146	3	301	1.1-start						1					0											1
10147	3	301	1.1-plot		1.1-start	1.5-plot								1		3007180							1		1
10148	3	301	1.5-plot											1		3007190									1
10149	3	301	1.5-gear		1.5-plot		1.5-condition							1											1
10150	3	301	1.5-solved			1.2-plot								0											1
10151	3	301	1.2-plot											1		3007200									1
10152	3	301	1.2-gear		1.2-plot		1.2-condition							1											1
10153	3	301	1.2-solved	1		2-battle			1;2;3;4;5					0											1
10154	3	301	2-battle	1		3.1-battle								1	155:spring_revealing_m31023002.png						12140301				1
10155	3	301	3.1-battle	1		4.2-chest								1	155:spring_revealing_m31050003.png						12140302				1
10156	3	301	4.2-chest	1		5.1-boss							1	1				9000023	100						1
10157	3	301	5.1-boss	1		5.2-chest						firstBoss		1	155:spring_revealing_boss30404301.png						12140303				1
10158	3	301	5.2-chest	1								firstChest	1	1				9000017	1	3007220			1		1
101581	3	301	5.2-end	1	5.2-chest									0								1			1
10159	3	302	1.1-start						1					0											1
10160	3	302	1.1-plot		1.1-start	1.5-gear;1.2-gear;1.3-gear;1.4-gear								1		3007230								同时打开4个机关	1
10161	3	302	1.2-gear											1											1
10162	3	302	1.3-gear											1											1
10163	3	302	1.4-gear											1											1
10164	3	302	1.5-gear											1											1
10165	3	302	6.1-solved											0										点亮红色激光	1
10166	3	302	9.1-solved											0										点亮绿色激光	1
10167	3	302	12.1-solved											0										点亮蓝色激光	1
10168	3	302	1.1-solved	1		6.1-battle;9.1-battle;12.1-battle			1;6;7;8;9;10;11;12;13					0										彻底解谜后	1
10169	3	302	6.1-battle	1		7.1-chest								1	155:spring_revealing_m30105802.png						12140304				1
10170	3	302	9.1-battle	1		10.1-chest								1	155:spring_revealing_m31031002.png						12140305				1
10171	3	302	12.1-battle	1		13.1-chest								1	155:spring_revealing_m31031002.png						12140306				1
10172	3	302	7.1-chest	1									1	1				9000019	1						1
10173	3	302	10.1-chest	1									1	1				9000020	1						1
10174	3	302	13.1-chest	1									1	1				9000021	1	3007240					1
10175	3	302	13.1-end	1	7.1-chest;10.1-chest;13.1-chest									0								1			1
1017501	3	303	0-start	1		1.1-chest			0;1					0											1
1017502	3	303	1.1-chest	1					0;1				1	0				9000023	100	3007250			1		1
1017503	3	303	1.1-end	1	1.1-chest									0								1			1
10176	4	401	0-start						1;3;5;7;9;21					0											1
101761	4	401	1-plot		0-start											3007260									1
101762	4	401	21.1-PuzzleCustom		1-plot	21.1-gear;21.2-gear;21.3-gear;21.4-gear	21-condition							0											1
10177	4	401	21.1-gear				21-condition							1											1
10178	4	401	21.2-gear				21-condition							1											1
10179	4	401	21.3-gear				21-condition							1											1
10180	4	401	21.4-gear				21-condition							1											1
101801	4	401	3.2-failure											0											1
10181	4	401	3.2-solved	1		4-battle			1;3;5;7;9;21;4		leaf_3			0											1
10182	4	401	4-battle	1		3.1-chest								1	155:spring_revealing_m31016002.png						12140401				1
10183	4	401	3.1-chest	1		3.2-plot							1	1				9000023	100						1
10185	4	401	3.2-plot					21	1;22	22-condition				0		3007290							1		1
101851	4	401	22.1-PuzzleCustom		3.2-plot	22.1-gear;22.2-gear;22.3-gear;22.4-gear	22-condition							0											1
10186	4	401	22.1-gear				22-condition							1											1
10187	4	401	22.2-gear				22-condition							1											1
10188	4	401	22.3-gear				22-condition							1											1
10189	4	401	22.4-gear				22-condition							1											1
101891	4	401	5.2-failure											0											1
