Id	twId	krId	jpId	zmId	cnId	seaId	status
int	int	int	int	int	int	int	int
135008	135008	135001	135008	135008	135008	135008	1
135001	135008	135001	135008	135008	135008	135008	1
7135008	7135008	7135001	7135008	7135008	7135008	7135008	1
7135001	7135008	7135001	7135008	7135008	7135008	7135008	1
13500850	13500850	13500150	13500850	13500850	13500850	13500850	1
13500150	13500850	13500150	13500850	13500850	13500850	13500850	1
107010	107010	107010	139008	139008	139008	139008	1
139008	107010	107010	139008	139008	139008	139008	1
7107010	7107010	7107010	7139008	7139008	7139008	7139008	1
7139008	7107010	7107010	7139008	7139008	7139008	7139008	1
803008	803008	803008	803001	803008	803008	803001	1
803001	803008	803008	803001	803008	803008	803001	1
7803008	7803008	7803008	7803001	7803008	7803008	7803001	1
7803001	7803008	7803008	7803001	7803008	7803008	7803001	1
