"KingdomLevel_01","1","0","0","200",""
"KingdomLevel_02","2","100","100","250","Test_RewardPackage_Id_1"
"KingdomLevel_03","3","200","300","300","Test_RewardPackage_Id_1"
"KingdomLevel_04","4","300","600","350","Test_RewardPackage_Id_1"
"KingdomLevel_05","5","400","1000","400","Test_RewardPackage_Id_1"
"KingdomLevel_06","6","500","1500","450","Test_RewardPackage_Id_1"
"KingdomLevel_07","7","600","2100","500","Test_RewardPackage_Id_1"
"KingdomLevel_08","8","700","2800","550","Test_RewardPackage_Id_1"
"KingdomLevel_09","9","800","3600","600","Test_RewardPackage_Id_1"
"KingdomLevel_10","10","900","4500","650","Test_RewardPackage_Id_1"
