"C_Lia_Memorial_1_1","C_Lia_Memorial_1","1","S01_Start, S01_Idle","","1","3"
"C_Lia_Memorial_1_2","C_Lia_Memorial_1","2","S01_Random_Idle_Start_01, S01_Random_Idle_Play_01","","1","3"
"C_Lia_Memorial_1_3","C_Lia_Memorial_1","3","","","2",""
"C_Lia_Memorial_1_4","C_Lia_Memorial_1","4","","","2",""
"C_Lia_Memorial_1_5","C_Lia_Memorial_1","5","","","2",""
"C_Lia_Memorial_1_6","C_Lia_Memorial_1","6","","","3",""
"C_Lia_Memorial_1_7","C_Lia_Memorial_1","7","","","3",""
"C_Lia_Memorial_1_8","C_Lia_Memorial_1","8","","","3",""
"C_Lia_Memorial_1_9","C_Lia_Memorial_1","9","","","4",""
"C_Lia_Memorial_1_10","C_Lia_Memorial_1","10","","","5",""
"C_Ariel_Memorial_1_1","C_Ariel_Memorial_1","1","S01_Idle","","1","1"
"C_Ariel_Memorial_1_2","C_Ariel_Memorial_1","2","","","1","1"
"C_Ariel_Memorial_1_3","C_Ariel_Memorial_1","3","","","1","4"
"C_Ariel_Memorial_1_4","C_Ariel_Memorial_1","4","","","2","2"
"C_Ariel_Memorial_1_5","C_Ariel_Memorial_1","5","","","2","2"
"C_Ariel_Memorial_1_6","C_Ariel_Memorial_1","6","","","2","3"
