"Char_001_S01_B_001","Char_001_S01_B","TitleEnter","","1","Char_001_S01_B_Title_1",""
"Char_001_S01_B_002","Char_001_S01_B","LobbyEnter","","1","Char_001_S01_B_LobbyIn_1","Emotion_007"
"Char_001_S01_B_003","Char_001_S01_B","BirthdayPlayer","","1","Char_001_S01_B_Birthday_1",""
"Char_001_S01_B_004","Char_001_S01_B","BirthdayCha","","1","Char_001_S01_B_Birthday_2",""
"Char_001_S01_B_005","Char_001_S01_B","LobbyTouch","","1","Char_001_S01_B_LobbyTouch_1","Emotion_001"
"Char_001_S01_B_006","Char_001_S01_B","LobbyTouch","","2","Char_001_S01_B_LobbyTouch_2","Emotion_003"
"Char_001_S01_B_007","Char_001_S01_B","LobbyTouch","","3","Char_001_S01_B_LobbyTouch_3","Emotion_005"
"Char_001_S01_B_008","Char_001_S01_B","LobbyTouch","","4","Char_001_S01_B_LobbyTouch_4","Emotion_005"
"Char_001_S01_B_009","Char_001_S01_B","LobbyTouch","","5","Char_001_S01_B_LobbyTouch_5","Emotion_008"
"Char_001_S01_B_010","Char_001_S01_B","FormationIn","","1","Char_001_S01_B_FomationIn_1",""
"Char_001_S01_B_011","Char_001_S01_B","Kingdom","","1","Char_001_S01_B_KingdomTouch_1",""
"Char_001_S01_B_012","Char_001_S01_B","Kingdom","","1","Char_001_S01_B_KingdomTouch_2",""
"Char_001_S01_B_013","Char_001_S01_B","Kingdom","","1","Char_001_S01_B_KingdomTouch_3",""
"Char_001_S01_B_014","Char_001_S01_B","Kingdom","","1","Char_001_S01_B_KingdomTouch_4",""
"Char_001_S01_B_015","Char_001_S01_B","Kingdom","","1","Char_001_S01_B_KingdomTouch_5",""
"Char_001_S01_B_016","Char_001_S01_B","GatchaOp","","1","Char_001_S01_B_GachaAppear_1",""
"Char_001_S01_B_017","Char_001_S01_B","GatchaGet","","1","Char_001_S01_B_GachaGet_1",""
"Char_001_S01_B_018","Char_001_S01_B","ExWeapon","","1","Char_001_S01_B_Equip_1",""
"Char_001_S01_B_019","Char_001_S01_B","GradeUp4Star","","1","Char_001_S01_B_GradeUp_1",""
"Char_001_S01_B_020","Char_001_S01_B","GradeUp5Star","","1","Char_001_S01_B_GradeUp_2",""
"Char_001_S01_B_021","Char_001_S01_B","LevelUp","","1","Char_001_S01_B_LevelUp_1",""
"Char_001_S01_B_022","Char_001_S01_B","LevelUp","","1","Char_001_S01_B_LevelUp_2",""
