"Role_Type_Enhance_Defender_1","Role_Type_Enhance_Defender_group_1","Defender","1","","","","","","","Item_Role_Type_Enhance_Dummy","100","1000","Str_UI_RoleTypeTitle_Defender_1","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Defender_2","Role_Type_Enhance_Defender_group_2","Defender","2","BaseAtk","200","BaseDef","200","BaseHp","200","Item_Role_Type_Enhance_Dummy","200","2000","Str_UI_RoleTypeTitle_Defender_2","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Defender_3","Role_Type_Enhance_Defender_group_3","Defender","3","BaseAtk","300","BaseDef","300","BaseHp","300","Item_Role_Type_Enhance_Dummy","300","3000","Str_UI_RoleTypeTitle_Defender_3","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Defender_4","Role_Type_Enhance_Defender_group_4","Defender","4","BaseAtk","400","BaseDef","400","BaseHp","400","Item_Role_Type_Enhance_Dummy","400","4000","Str_UI_RoleTypeTitle_Defender_4","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Defender_5","Role_Type_Enhance_Defender_group_5","Defender","5","BaseAtk","500","BaseDef","500","BaseHp","500","","","","Str_UI_RoleTypeTitle_Defender_5","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Attacker_1","Role_Type_Enhance_Attacker_group_1","Attacker","1","","","","","","","Item_Role_Type_Enhance_Dummy","100","1000","Str_UI_RoleTypeTitle_Attacker_1","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Attacker_2","Role_Type_Enhance_Attacker_group_2","Attacker","2","BaseAtk","200","","","","","Item_Role_Type_Enhance_Dummy","200","2000","Str_UI_RoleTypeTitle_Attacker_2","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Attacker_3","Role_Type_Enhance_Attacker_group_3","Attacker","3","BaseAtk","300","","","","","Item_Role_Type_Enhance_Dummy","300","3000","Str_UI_RoleTypeTitle_Attacker_3","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Attacker_4","Role_Type_Enhance_Attacker_group_4","Attacker","4","BaseAtk","400","","","","","Item_Role_Type_Enhance_Dummy","400","4000","Str_UI_RoleTypeTitle_Attacker_4","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Attacker_5","Role_Type_Enhance_Attacker_group_5","Attacker","5","BaseAtk","500","","","","","","","","Str_UI_RoleTypeTitle_Attacker_5","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Assister_1","Role_Type_Enhance_Assister_group_1","Assister","1","","","","","","","Item_Role_Type_Enhance_Dummy","100","1000","Str_UI_RoleTypeTitle_Assister_1","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Assister_2","Role_Type_Enhance_Assister_group_2","Assister","2","BaseAtk","200","","","","","Item_Role_Type_Enhance_Dummy","200","2000","Str_UI_RoleTypeTitle_Assister_2","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Assister_3","Role_Type_Enhance_Assister_group_3","Assister","3","BaseAtk","300","","","","","Item_Role_Type_Enhance_Dummy","300","3000","Str_UI_RoleTypeTitle_Assister_3","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Assister_4","Role_Type_Enhance_Assister_group_4","Assister","4","BaseAtk","400","","","","","Item_Role_Type_Enhance_Dummy","400","4000","Str_UI_RoleTypeTitle_Assister_4","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Assister_5","Role_Type_Enhance_Assister_group_5","Assister","5","BaseAtk","500","","","","","","","","Str_UI_RoleTypeTitle_Assister_5","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Slayer_1","Role_Type_Enhance_Slayer_group_1","Slayer","1","","","","","","","Item_Role_Type_Enhance_Dummy","100","1000","Str_UI_RoleTypeTitle_Slayer_1","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Slayer_2","Role_Type_Enhance_Slayer_group_2","Slayer","2","BaseAtk","200","BaseDef","200","","","Item_Role_Type_Enhance_Dummy","200","2000","Str_UI_RoleTypeTitle_Slayer_2","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Slayer_3","Role_Type_Enhance_Slayer_group_3","Slayer","3","BaseAtk","300","BaseDef","300","","","Item_Role_Type_Enhance_Dummy","300","3000","Str_UI_RoleTypeTitle_Slayer_3","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Slayer_4","Role_Type_Enhance_Slayer_group_4","Slayer","4","BaseAtk","400","BaseDef","400","","","Item_Role_Type_Enhance_Dummy","400","4000","Str_UI_RoleTypeTitle_Slayer_4","ICON_MATERIAL_EQUIP_ENCHANT",
"Role_Type_Enhance_Slayer_5","Role_Type_Enhance_Slayer_group_5","Slayer","5","BaseAtk","500","BaseDef","500","","","","","","Str_UI_RoleTypeTitle_Slayer_5","ICON_MATERIAL_EQUIP_ENCHANT",
