"Item_GachaPoint","GachaPoint","","","","Point_ArcanaCoin","1","Scheduler","Str_Item_GachaPoint_Name","Str_Item_GachaPoint_Desc","ICON_POINT_GachaPoint","False"
"Item_Coin_GuideMissionGroup_New_User","GuideMission","GuideMission_New_User","Event","","","","","Str_Item_Coin_GuideMissionGroup_New_User_Name","Str_Item_Coin_GuideMissionGroup_New_User_Desc","ICON_COIN_GuideMissionGroup_New_User","False"
"Item_Coin_EventAdventure_Flask","EventGroup","EventGroup_EventAdventure_MessedUpMagicAcademy","Event","","Point_Gold","200","Scheduler","Str_Item_Coin_EventAdventure_Flask_Name","Str_Item_Coin_EventAdventure_Flask_Desc","ICON_Coin_EventAdventure_001_Flask","False"
"Item_Coin_EventAdventure_VotePaper","EventGroup","EventGroup_EventAdventure_MessedUpMagicAcademy","Event","","Point_Gold","200","Scheduler","Str_Item_Coin_EventAdventure_Key_Name","Str_Item_Coin_EventAdventure_Key_Desc","ICON_COIN_EventAdventure_001_VotePaper","False"
"Item_Coin_EventAdventure_FlagPen","EventGroup","EventGroup_EventAdventure_MessedUpMagicAcademy","Event","","Point_Gold","1000","Scheduler","Str_Item_Coin_EventAdventure_FlagPen_Name","Str_Item_Coin_EventAdventure_FlagPen_Desc","ICON_Coin_EventAdventure_001_FlagPen","False"
"Item_EventAdventure_BossTicket","EventGroup","EventGroup_EventAdventure_MessedUpMagicAcademy","Event","","Point_Gold","200","Scheduler","Str_Item_EventAdventure_BossTicket_Name","Str_Item_EventAdventure_BossTicket_Desc","ICON_Ticket_EventAdventure_BossTicket","False"
"Item_WSkill_Heal_UnLock","WriterPowerUnLock","WSkill_Combat_Heal","Growth","","Item_WSkill_Heal_GradeUp","20","Immediately","Str_Item_WSkill_Heal_UnLock_Name","Str_Item_WSkill_Heal_UnLock_Desc","ICON_WSkill_Heal_UnLock","True"
"Item_WSkill_RedAtk_UnLock","WriterPowerUnLock","WSkill_Combat_RedAtk","Growth","","Item_WSkill_RedAtk_GradeUp","20","Immediately","Str_Item_WSkill_RedAtk_UnLock_Name","Str_Item_WSkill_RedAtk_UnLock_Desc","ICON_WSkill_RedAtk_UnLock","True"
"Item_WSkill_GreenAtk_UnLock","WriterPowerUnLock","WSkill_Combat_GreenAtk","Growth","","Item_WSkill_GreenAtk_GradeUp","20","Immediately","Str_Item_WSkill_GreenAtk_UnLock_Name","Str_Item_WSkill_GreenAtk_UnLock_Desc","ICON_WSkill_GreenAtk_UnLock","True"
"Item_WSkill_BlueAtk_UnLock","WriterPowerUnLock","WSkill_Combat_BlueAtk","Growth","","Item_WSkill_BlueAtk_GradeUp","20","Immediately","Str_Item_WSkill_BlueAtk_UnLock_Name","Str_Item_WSkill_BlueAtk_UnLock_Desc","ICON_WSkill_BlueAtk_UnLock","True"
"Item_Coin_GuideMission_Training_Pendant","GuideMission","GuideMission_Soldier_Growth","Event","","Point_Gold","5000","Scheduler","Str_Item_Coin_GuideMission_Training_Pendant_Name","Str_Item_Coin_GuideMission_Training_Pendant_Desc","ICON_COIN_GuideMission_Training_Pendant","False"
"Item_Coin_Event_ApBoost_HeroGrowthBoost","EventGroup","EventGroup_EventApBoost_HeroGrowthBoost","Event","30000","Point_Gold","200","Scheduler","Str_Item_Coin_APBoost_HeroGrowthBoost_Name","Str_Item_Coin_APBoost_HeroGrowthBoost_Desc","ICON_POINT_HeroGrowthBoost","False"
"Item_Coin_Event_TileBreak_Halloween2025","EventGroup","EventGroup_EventTileBreak_Halloween2025","Event","31000","Point_Gold","200","Scheduler","Str_Item_Coin_Event_TileBreak_Halloween2025_Name","Str_Item_Coin_Event_TileBreak_Halloween2025_Desc","ICON_Coin_TileBreak_Halloween2025","True"
"Item_Bomb_Event_TileBreak_Halloween2025","EventGroup","EventGroup_EventTileBreak_Halloween2025","Event","","Point_Gold","1000","Scheduler","Str_Item_Bomb_Event_TileBreak_Halloween2025_Name","Str_Item_Bomb_Event_TileBreak_Halloween2025_Desc","ICON_Coin_TileBreak_Bomb_Halloween2025","True"
"Item_Coin_EventAdventure_N002OceanSpa_Egg","EventGroup","EventGroup_EventAdventure_OceanSpa","Event","","Point_Gold","200","Scheduler","Str_Item_Coin_EventAdventure_N002OceanSpa_Egg_Name","Str_Item_Coin_EventAdventure_N002OceanSpa_Egg_Desc","ICON_Coin_EventAdventure_N002OceanSpa_Egg","True"
"Item_Coin_EventAdventure_N002OceanSpa_Soap","EventGroup","EventGroup_EventAdventure_OceanSpa","Event","","Point_Gold","200","Scheduler","Str_Item_Coin_EventAdventure_N002OceanSpa_Soap_Name","Str_Item_Coin_EventAdventure_N002OceanSpa_Soap_Desc","ICON_Coin_EventAdventure_N002OceanSpa_Soap","True"
"Item_Coin_EventAdventure_N002OceanSpa_Towel","EventGroup","EventGroup_EventAdventure_OceanSpa","Event","","Point_Gold","1000","Scheduler","Str_Item_Coin_EventAdventure_N002OceanSpa_Towel_Name","Str_Item_Coin_EventAdventure_N002OceanSpa_Towel_Desc","ICON_Coin_EventAdventure_N002OceanSpa_Towel","True"
"Item_Coin_EventAdventure_N002OceanSpa_Basket","EventGroup","EventGroup_EventAdventure_OceanSpa","Event","","Point_Gold","1000","Scheduler","Str_Item_Coin_EventAdventure_N002OceanSpa_Basket_Name","Str_Item_Coin_EventAdventure_N002OceanSpa_Basket_Desc","ICON_Coin_EventAdventure_N002OceanSpa_Basket","True"
"Item_EventAdventure_N002OceanSpa_BossTicket","EventGroup","EventGroup_EventAdventure_OceanSpa","Event","","Point_Gold","200","Scheduler","Str_Item_EventAdventure_BossTicket_Name","Str_Item_EventAdventure_BossTicket_Desc","ICON_Ticket_EventAdventure_BossTicket","True"
"Item_Coin_GuideMissionStackClear_Hotspring","GuideMission","GuideMissionStackClear_2025_Hotspring","Event","","Point_Gold","5000","Scheduler","Str_Item_EventMissionStackClear_HotSpring_Name","Str_Item_EventMissionStackClear_HotSpring_Desc","ICON_COIN_EventMission_HotSpringCleaning","True"
"Item_Coin_GuideMission_PracticeBook","GuideMission","GuideMission_PracticeBook","Event","","Point_Gold","5000","Scheduler","Str_Item_Coin_GuideMission_2025PracticeBook_Name","Str_Item_Coin_GuideMission_2025PracticeBook_Desc","ICON_COIN_GuideMission_PracticeBook","True"
