"Base_Bal_DmgReduction_Lv_Diff_Max","5","","","","","","","","",""
"Base_Bal_DmgReduction_Lv_Diff_Value","0.05","","","","","","","","",""
"Base_Bal_DmgReduction_Max","0.9","","","","","","","","",""
"Base_Bal_DmgReduction_Min","0.1","","","","","","","","",""
"Base_Bal_Cri_Dmg_Rate_Min","1","","","","","","","","",""
"Base_Bal_Cri_Dmg_Rate_Max","2","","","","","","","","",""
"Base_Bal_Cri_Dmg_Add_Value","-0.5","","","","","","","","",""
"Base_Bal_Ele_Inc_Dmg_Rate","0.1","","","","","","","","",""
"Base_Bal_Ele_Dec_Dmg_Rate","-0.1","","","","","","","","",""
"Base_Bal_Sta_Hp_Conv_Rate","10","","","","","","","","",""
"Base_Cr_Link_Ap_Use_Value","1000","","","","","","","","",""
"Base_Cr_Link_Lp_Use_Value","1000","","","","","","","","",""
"Base_Eq_Comp_Add_Count","20","","","","","","","","",""
"Base_Eq_Tier_Max","5","","","","","","","","",""
"Base_Ether_Conv_Add_Count","5","","","","","","","","",""
"Base_Ing_Air_Rate","0.7","","","","","","","","",""
"Base_Ing_Form_Move_Offset_X","3.2","","","","","","","","",""
"Base_Ing_Form_Move_Offset_Y","1","","","","","","","","",""
"Base_Ing_Form_Batch_Offset_X","0.5","","","","","","","","",""
"Base_Ing_Form_Batch_Offset_Y","0","","","","","","","","",""
"Base_Ing_Form_Move_Offset_Max_Y","1","","","","","","","","",""
"Base_Ing_Form_Offset_X_Line","4.2","","","","","","","","",""
"Base_Ing_Form_Offset_X_Odd_Num","0.2","","","","","","","","",""
"Base_Ing_Form_Offset_Y_Odd_Num","1.125","","","","","","","","",""
"Base_Ing_Form_Offset_X_Even_Num","0.166","","","","","","","","",""
"Base_Ing_Form_Offset_Y_Even_Num","0.75","","","","","","","","",""
"Base_Ing_Power_Dec_Rate","0.35","","","","","","","","",""
"Base_Ing_Range_Rate","3.5","","","","","","","","",""
"Base_Ing_Targt_Sel_Range_Rate","3.5","","","","","","","","",""
"Base_Ing_Time_Rise_Rate","1.5","2","","","","","","","",""
"Base_Ing_CutScene_Time_Rise_Rate","1.3","1.6","","","","","","","",""
"Base_Ing_Weight_Rate","0.5","","","","","","","","",""
"Base_Ing_SpRegen_Interval","0.1","","","","","","","","",""
"Base_Ing_HpRegen_Interval","5","","","","","","","","",""
"Base_Inv_Add_Cash_Value","50","","","","","","","","",""
"Base_Inv_Add_Count","5","","","","","","","","",""
"Base_Inv_Max_Value","99999","","","","","","","","",""
"Base_Max_AP","999","","","","","","","","",""
"Base_Popup_Add_Grade","3","","","","","","","","",""
"Base_Qt_Add_Stack_Count","5","","","","","","","","",""
"Base_Qt_Reset_Day","MON","","","","","","","","",""
"Base_Qt_Reset_Time","00:00:00","","","","","","","","",""
"Base_St_Cash","150","","","","","","","","",""
"Base_St_Cr_List","Char_001_S01_B","Char_103_S01_G","Char_003_S01_B","Char_002_S01_R","","","","","",""
"Base_St_AP","20","","","","","","","","",""
"Base_St_Gold","10000","","","","","","","","",""
"Base_Sum_Scene_Grade","3","","","","","","","","",""
"Base_Talk_Auto_Time","0.1","","","","","","","","",""
"Base_Talk_Skip_Time","2","","","","","","","","",""
"Base_World_Sd_Id","Char_003_S01_B","","","","","","","","",""
"Base_Character_Info_Stat_Atk_Max","2000","","","","","","","","",""
"Base_Character_Info_Stat_Def_Max","2000","","","","","","","","",""
"Base_Character_Info_Stat_HP_Max","2000","","","","","","","","",""
"Base_HeroExp_Item_Need_Gold","6","","","","","","","","",""
