"Qtcon_None","QuestConditionNone","",""
"Qtcon_Sephira_Add_0001","SephiraAdd","",""
"Qtcon_Build_Add_0001","BuildingAdd","",""
"Qtcon_Conv_End_0001","ConversationEnd","",""
"Qtcon_Eq_Dis_0001","EquipDisassemble","","5"
"Qtcon_Ether_Dis_0001","EtherDisassemble","","5"
"Qtcon_Ether_Grade_Up_0001","EtherGradeup","","5"
"Qtcon_Eq_Inst_0001","EquipInstall","","1"
"Qtcon_Sta_Start_0001","StageStart","","1"
"Episode_Open_001","CharacterLevelUp","","1"
"Episode_Open_002","CharacterLevelUp","","5"
"Episode_Open_003","ItemAdd","","1"
