"TutorialMode","None","600","AlwaysAutoOff","AlwaysSpeedOff","OnlyPlay","True","1.35","0","1","500","90","1","1","1","1","1","1","1","0","",""
"ArenaMode","PvP","90","OnlyAuto","UserSetting","UserSetting","False","1.35","0","0","500","90","0","0","1","1","1","1","1.5","0","",""
"AdventureMode","Defalut","90","UserSetting","UserSetting","UserSetting","False","1.35","0","1","500","90","1","1","1","1","1","1","1","0","",""
"DungeonMode","Defalut","90","UserSetting","UserSetting","UserSetting","True","1.35","0","1","500","90","1","0","1","1","1","1","1","0","",""
"RuinsMode","Defalut","90","UserSetting","UserSetting","UserSetting","True","1.35","0","1","500","90","1","1","1","1","1","1","1","0","",""
"StoryMode","Defalut","90","OnlyAuto","UserSetting","UserSetting","False","1.35","0","1","500","90","1","1","1","1","1","1","1","0","",""
"TotalWarMode","Defalut","90","UserSetting","UserSetting","UserSetting","True","1.35","0","1","250","90","1","1","1","1","1","1","1","1","Str_UI_TotalWarMainPanel","FriendshipSupportSlot_Bg_TotalWar"
"EventAdventureMode","Defalut","90","UserSetting","UserSetting","UserSetting","True","1.35","0","1","500","90","1","1","1","1","1","1","1","0","",""
"EventBossMode","Defalut","90","UserSetting","UserSetting","UserSetting","True","1.35","0","1","500","90","1","1","1","1","1","1","1","1","Str_UI_SupportHero_EventAdventure_Name","FriendshipSupportSlot_Bg_EventAdventure"
"ToolMode","Defalut","90","UserSetting","UserSetting","UserSetting","False","1.35","0.175","1","500","90","1","1","1","1","1","1","1","0","",""
"HiveTest","Defalut","90","UserSetting","UserSetting","UserSetting","False","1.35","0.175","1","500","90","1","1","1","1","1","1","1","0","",""
"PracticeBookMode","Defalut","90","UserSetting","UserSetting","UserSetting","False","1.35","0","1","500","90","1","1","1","1","1","1","1","1","Str_UI_PracticeBook","FriendshipSupportSlot_Bg_PracticeBook"
