"EventSpecialCharacter_001","EventAdventure_001_Flask","Char_077_S01_G","10"
"EventSpecialCharacter_002","EventAdventure_001_Flask","Char_078_S01_R","10"
"EventSpecialCharacter_003","EventAdventure_001_Flask","Char_080_S01_G","10"
"EventSpecialCharacter_004","EventAdventure_001_Flask","Char_083_S01_B","10"
"EventSpecialCharacter_005","EventAdventure_001_Flask","Char_084_S01_G","10"
"EventSpecialCharacter_006","EventAdventure_001_Key","Char_084_S01_G","20"
"EventSpecialCharacter_007","EventAdventure_001_Key","Char_085_S01_B","20"
"EventSpecialCharacter_008","EventAdventure_001_Key","Char_088_S01_R","20"
"EventSpecialCharacter_009","EventAdventure_001_Key","Char_089_S01_D","20"
"EventSpecialCharacter_010","EventAdventure_001_Key","Char_090_S01_L","20"
"EventSpecialCharacter_011","EventAdventure_001_Key","Char_091_S01_G","20"
"EventSpecialCharacter_012","EventAdventure_001_FlagPen","Char_001_S01_B","30"
"EventSpecialCharacter_013","EventAdventure_001_FlagPen","Char_002_S01_R","30"
"EventSpecialCharacter_014","EventAdventure_001_FlagPen","Char_003_S01_B","30"
"EventSpecialCharacter_015","EventAdventure_001_FlagPen","Char_007_S01_D","30"
"EventSpecialCharacter_016","EventAdventure_001_FlagPen","Char_008_S01_B","30"
